"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Acerotella"	"boter"	"(Walker, 1838)"	1	43	1168	"2004.vi.16"
"2"	"Acerotella"	"evanescens"	"(Kieffer, 1914)"	2	3	84	"2003.vi.08 "
"3"	"Acerotella"	"evanescens"	"(Kieffer, 1914)"	3	6	376	"2003.xii.09"
"4"	"Acerotella"	"evanescens"	"(Kieffer, 1914)"	1	24	1310	"2004.vii.22"
"5"	"Allotropa"	"conventus"	"Maneval, 1936"	1	6	370	"2003.vii.29"
"6"	"Allotropa"	"conventus"	"Maneval, 1936"	1	6	371	"2003.viii.12"
"7"	"Allotropa"	"conventus"	"Maneval, 1936"	1	6	376	"2003.xii.09"
"8"	"Allotropa"	"conventus"	"Maneval, 1936"	3	43	1171	"2004.vii.28"
"9"	"Allotropa"	"conventus"	"Maneval, 1936"	3	48	1209	"2004.vii.29"
"10"	"Allotropa"	"conventus"	"Maneval, 1936"	1	1002	1380	"2005.viii.24"
"11"	"Allotropa"	"conventus"	"Maneval, 1936"	1	26	1692	"2005.vii.19"
"12"	"Allotropa"	"conventus"	"Maneval, 1936"	1	1007	1981	"2006.vi.26"
"13"	"Allotropa"	"mecrida"	"(Walker, 1836)"	24	2	82	"2003.vii.02"
"14"	"Allotropa"	"mecrida"	"(Walker, 1836)"	1	3	84	"2003.vi.08 "
"15"	"Allotropa"	"mecrida"	"(Walker, 1836)"	1	56	200	"2003.viii.18"
"16"	"Allotropa"	"mecrida"	"(Walker, 1836)"	2	6	370	"2003.vii.29"
"17"	"Allotropa"	"mecrida"	"(Walker, 1836)"	2	6	371	"2003.viii.12"
"18"	"Allotropa"	"mecrida"	"(Walker, 1836)"	3	41	626	"2003.vii.12"
"19"	"Allotropa"	"mecrida"	"(Walker, 1836)"	1	42	644	"2003.vii.16"
"20"	"Allotropa"	"mecrida"	"(Walker, 1836)"	7	22	778	"2004.vii.18"
"21"	"Allotropa"	"mecrida"	"(Walker, 1836)"	4	2	787	"2004.vi.21"
"22"	"Allotropa"	"mecrida"	"(Walker, 1836)"	3	2	788	"2004.vii.20"
"23"	"Allotropa"	"mecrida"	"(Walker, 1836)"	1	43	1168	"2004.vi.16"
"24"	"Allotropa"	"mecrida"	"(Walker, 1836)"	1	1001	1361	"2005.viii.24"
"25"	"Allotropa"	"mecrida"	"(Walker, 1836)"	1	22	1730	"2006.vii.03"
"26"	"Allotropa"	"mecrida"	"(Walker, 1836)"	2	49	2062	" 2003.vii.21"
"27"	"Amblyaspis"	"abas"	"(Walker, 1836)"	1	56	199	"2003.viii.01"
"28"	"Amblyaspis"	"abas"	"(Walker, 1836)"	1	10	396	"2003.vi.23"
"29"	"Amblyaspis"	"abas"	"(Walker, 1836)"	1	10	400	"2003.viii.26"
"30"	"Amblyaspis"	"belus"	"(Walker, 1836)"	2	54	193	"2003.ix.01"
"31"	"Amblyaspis"	"longicornis"	"Buhl, 2008"	3	60	216	"2003.viii.18"
"32"	"Amblyaspis"	"longicornis"	"Buhl, 2008"	2	39	607	"2003.ix.23"
"33"	"Amblyaspis"	"longicornis"	"Buhl, 2008"	1	50	1226	"2004.viii.19"
"34"	"Amblyaspis"	"nereus"	"(Walker, 1836)"	1	4	88	"2003.vii.02"
"35"	"Amblyaspis"	"nereus"	"(Walker, 1836)"	2	4	806	"2004.i.28"
"36"	"Amblyaspis"	"nereus"	"(Walker, 1836)"	1	37	833	"2004.vii.03"
"37"	"Amblyaspis"	"nereus"	"(Walker, 1836)"	1	38	1126	"2004.ix.22"
"38"	"Amblyaspis"	"nereus"	"(Walker, 1836)"	2	15	1662	"2005.viii.02"
"39"	"Amblyaspis"	"nereus"	"(Walker, 1836)"	1	1008	1739	"2006.vi.22"
"40"	"Amblyaspis"	"nereus"	"(Walker, 1836)"	2	1008	1746	"2006.viii.08"
"41"	"Amblyaspis"	"nereus"	"(Walker, 1836)"	1	2003	2037	"2006.viii.14"
"42"	"Amblyaspis"	"prorsa"	"(Walker, 1836)"	1	52	183	"2003.viii.01"
"43"	"Amblyaspis"	"prorsa"	"(Walker, 1836)"	1	54	192	"2003.viii.18"
"44"	"Amblyaspis"	"prorsa"	"(Walker, 1836)"	4	1002	1380	"2005.viii.24"
"45"	"Amblyaspis"	"roboris"	"(Haliday, 1836)"	1	3	84	"2003.vi.08 "
"46"	"Amblyaspis"	"roboris"	"(Haliday, 1836)"	13	54	191	"2003.viii.01"
"47"	"Amblyaspis"	"roboris"	"(Haliday, 1836)"	2	54	192	"2003.viii.18"
"48"	"Amblyaspis"	"roboris"	"(Haliday, 1836)"	1	60	216	"2003.viii.18"
"49"	"Amblyaspis"	"roboris"	"(Haliday, 1836)"	5	6	376	"2003.xii.09"
"50"	"Amblyaspis"	"roboris"	"(Haliday, 1836)"	4	10	396	"2003.vi.23"
"51"	"Amblyaspis"	"roboris"	"(Haliday, 1836)"	1	10	399	"2003.viii.04"
"52"	"Amblyaspis"	"roboris"	"(Haliday, 1836)"	4	10	400	"2003.viii.26"
"53"	"Amblyaspis"	"roboris"	"(Haliday, 1836)"	1	10	408	"2004.v.13"
"54"	"Amblyaspis"	"roboris"	"(Haliday, 1836)"	1	11	412	"2003.viii.04"
"55"	"Amblyaspis"	"roboris"	"(Haliday, 1836)"	1	37	571	"2003.viii.15"
"56"	"Amblyaspis"	"roboris"	"(Haliday, 1836)"	1	49	708	"2003.viii.05"
"57"	"Amblyaspis"	"roboris"	"(Haliday, 1836)"	3	3	795	"2004.i.28"
"58"	"Amblyaspis"	"roboris"	"(Haliday, 1836)"	2	4	807	"2004.iv.28"
"59"	"Amblyaspis"	"roboris"	"(Haliday, 1836)"	4	4	809	"2004.vi.21"
"60"	"Amblyaspis"	"roboris"	"(Haliday, 1836)"	1	37	831	"2004.v.20"
"61"	"Amblyaspis"	"roboris"	"(Haliday, 1836)"	1	1001	1329	"2005.vi.04"
"62"	"Amblyaspis"	"roboris"	"(Haliday, 1836)"	1	1001	1332	"2005.vii.02"
"63"	"Amblyaspis"	"roboris"	"(Haliday, 1836)"	1	1008	1352	"2005.viii.10"
"64"	"Amblyaspis"	"roboris"	"(Haliday, 1836)"	3	22	1365	"2005.ix.12"
"65"	"Amblyaspis"	"roboris"	"(Haliday, 1836)"	1	1001	1366	"2005.ix.12"
"66"	"Amblyaspis"	"roboris"	"(Haliday, 1836)"	3	1002	1371	"2005.v.14"
"67"	"Amblyaspis"	"roboris"	"(Haliday, 1836)"	8	1002	1376	"2005.vii.15"
"68"	"Amblyaspis"	"roboris"	"(Haliday, 1836)"	12	1002	1378	"2005.vii.23"
"69"	"Amblyaspis"	"roboris"	"(Haliday, 1836)"	2	1002	1380	"2005.viii.24"
"70"	"Amblyaspis"	"roboris"	"(Haliday, 1836)"	3	1003	1384	"2005.v.22"
"71"	"Amblyaspis"	"roboris"	"(Haliday, 1836)"	4	17	1517	"2005.vii.17"
"72"	"Amblyaspis"	"roboris"	"(Haliday, 1836)"	1	13	1646	"2005.vii.26"
"73"	"Amblyaspis"	"roboris"	"(Haliday, 1836)"	1	1008	1741	"2006.vii.04"
"74"	"Amblyaspis"	"roboris"	"(Haliday, 1836)"	1	33	1856	"2005.ix.26"
"75"	"Amblyaspis"	"roboris"	"(Haliday, 1836)"	2	2046	2056	"2008.viii.01"
"76"	"Amblyaspis"	"scelionoides"	"(Haliday, 1836)"	3	4	89	"2003.vii.21"
"77"	"Amblyaspis"	"scelionoides"	"(Haliday, 1836)"	6	54	191	"2003.viii.01"
"78"	"Amblyaspis"	"scelionoides"	"(Haliday, 1836)"	4	54	192	"2003.viii.18"
"79"	"Amblyaspis"	"scelionoides"	"(Haliday, 1836)"	5	54	193	"2003.ix.01"
"80"	"Amblyaspis"	"scelionoides"	"(Haliday, 1836)"	2	56	200	"2003.viii.18"
"81"	"Amblyaspis"	"scelionoides"	"(Haliday, 1836)"	1	57	206	"2003.ix.22"
"82"	"Amblyaspis"	"scelionoides"	"(Haliday, 1836)"	6	59	213	"2003.ix.01"
"83"	"Amblyaspis"	"scelionoides"	"(Haliday, 1836)"	1	60	217	"2003.ix.01"
"84"	"Amblyaspis"	"scelionoides"	"(Haliday, 1836)"	5	61	220	"2003.viii.18"
"85"	"Amblyaspis"	"scelionoides"	"(Haliday, 1836)"	3	61	221	"2003.ix.01"
"86"	"Amblyaspis"	"scelionoides"	"(Haliday, 1836)"	3	6	370	"2003.vii.29"
"87"	"Amblyaspis"	"scelionoides"	"(Haliday, 1836)"	2	10	396	"2003.vi.23"
"88"	"Amblyaspis"	"scelionoides"	"(Haliday, 1836)"	3	10	397	"2003.vii.08"
"89"	"Amblyaspis"	"scelionoides"	"(Haliday, 1836)"	2	10	401	"2003.ix.16"
"90"	"Amblyaspis"	"scelionoides"	"(Haliday, 1836)"	1	11	411	"2003.vii.23"
"91"	"Amblyaspis"	"scelionoides"	"(Haliday, 1836)"	1	26	460	"2003.x.03"
"92"	"Amblyaspis"	"scelionoides"	"(Haliday, 1836)"	2	37	571	"2003.viii.15"
"93"	"Amblyaspis"	"scelionoides"	"(Haliday, 1836)"	1	3	801	"2004.ix.07"
"94"	"Amblyaspis"	"scelionoides"	"(Haliday, 1836)"	1	4	810	"2004.vii.20"
"95"	"Amblyaspis"	"scelionoides"	"(Haliday, 1836)"	2	24	816	"2003.vi.26"
