"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Synopeas"	"craterus"	"(Walker, 1835)"	1	30	1055	"2004.vii.03"
"2"	"Synopeas"	"craterus"	"(Walker, 1835)"	2	1001	1332	"2005.vii.02"
"3"	"Synopeas"	"craterus"	"(Walker, 1835)"	1	1001	1361	"2005.viii.24"
"4"	"Synopeas"	"craterus"	"(Walker, 1835)"	4	9	1610	"2005.vi.24"
"5"	"Synopeas"	"craterus"	"(Walker, 1835)"	1	2046	2058	"2008.ix.01"
"6"	"Synopeas"	"curvicauda"	"(Förster, 1856)"	2	11	411	"2003.vii.23"
"7"	"Synopeas"	"curvicauda"	"(Förster, 1856)"	1	24	1310	"2004.vii.22"
"8"	"Synopeas"	"curvicauda"	"(Förster, 1856)"	1	1002	1376	"2005.vii.15"
"9"	"Synopeas"	"curvicauda"	"(Förster, 1856)"	3	1002	1378	"2005.vii.23"
"10"	"Synopeas"	"doczkali"	"Buhl, 2010"	1	7	858	"2004.vi.27"
"11"	"Synopeas"	"epigeios"	"Buhl, 2006"	1	6	370	"2003.vii.29"
"12"	"Synopeas"	"epigeios"	"Buhl, 2006"	1	1001	1361	"2005.viii.24"
"13"	"Synopeas"	"euryale"	"(Walker, 1835)"	1	12	175	"2003.vii.20"
"14"	"Synopeas"	"euryale"	"(Walker, 1835)"	2	6	370	"2003.vii.29"
"15"	"Synopeas"	"euryale"	"(Walker, 1835)"	2	6	371	"2003.viii.12"
"16"	"Synopeas"	"euryale"	"(Walker, 1835)"	2	11	411	"2003.vii.23"
"17"	"Synopeas"	"euryale"	"(Walker, 1835)"	2	11	412	"2003.viii.04"
"18"	"Synopeas"	"euryale"	"(Walker, 1835)"	1	2	788	"2004.vii.20"
"19"	"Synopeas"	"euryale"	"(Walker, 1835)"	3	30	1055	"2004.vii.03"
"20"	"Synopeas"	"euryale"	"(Walker, 1835)"	1	1002	1376	"2005.vii.15"
"21"	"Synopeas"	"euryale"	"(Walker, 1835)"	1	1002	1378	"2005.vii.23"
"22"	"Synopeas"	"euryale"	"(Walker, 1835)"	1	1006	1426	"2005.vii.30"
"23"	"Synopeas"	"euryale"	"(Walker, 1835)"	2	30	1717	"2005.vi.16"
"24"	"Synopeas"	"frontale"	"Buhl, 2010"	1	59	211	"2003.viii.01"
"25"	"Synopeas"	"frontale"	"Buhl, 2010"	1	48	1209	"2004.vii.29"
"26"	"Synopeas"	"gibberosum"	"Buhl, 1997"	1	1	80	"2003.vii..02"
"27"	"Synopeas"	"gibberosum"	"Buhl, 1997"	1	2	82	"2003.vii.02"
"28"	"Synopeas"	"gibberosum"	"Buhl, 1997"	2	54	191	"2003.viii.01"
"29"	"Synopeas"	"gibberosum"	"Buhl, 1997"	1	54	193	"2003.ix.01"
"30"	"Synopeas"	"gibberosum"	"Buhl, 1997"	2	37	571	"2003.viii.15"
"31"	"Synopeas"	"gibberosum"	"Buhl, 1997"	5	37	834	"2004.vii.14"
"32"	"Synopeas"	"gibberosum"	"Buhl, 1997"	4	1001	1332	"2005.vii.02"
"33"	"Synopeas"	"gibberosum"	"Buhl, 1997"	1	1003	1389	"2005.vii.24"
"34"	"Synopeas"	"gibberosum"	"Buhl, 1997"	1	17	1515	"2005.vi.15"
"35"	"Synopeas"	"gibberosum"	"Buhl, 1997"	23	17	1517	"2005.vii.17"
"36"	"Synopeas"	"gibberosum"	"Buhl, 1997"	6	9	1610	"2005.vi.24"
"37"	"Synopeas"	"gibberosum"	"Buhl, 1997"	3	9	1611	"2005.vii.16"
"38"	"Synopeas"	"gibberosum"	"Buhl, 1997"	1	9	1612	"2005.viii.06"
"39"	"Synopeas"	"gibberosum"	"Buhl, 1997"	3	13	1644	"2005.vii.12"
"40"	"Synopeas"	"gibberosum"	"Buhl, 1997"	2	13	1646	"2005.vii.26"
"41"	"Synopeas"	"gibberosum"	"Buhl, 1997"	1	15	1659	"2005.v.28"
"42"	"Synopeas"	"gibberosum"	"Buhl, 1997"	3	26	1692	"2005.vii.19"
"43"	"Synopeas"	"inerme"	"Thomson, 1859"	1	2	82	"2003.vii.02"
"44"	"Synopeas"	"inerme"	"Thomson, 1859"	2	2	106	"2003.ix.09"
"45"	"Synopeas"	"inerme"	"Thomson, 1859"	8	6	370	"2003.vii.29"
"46"	"Synopeas"	"inerme"	"Thomson, 1859"	6	6	371	"2003.viii.12"
"47"	"Synopeas"	"inerme"	"Thomson, 1859"	1	10	400	"2003.viii.26"
"48"	"Synopeas"	"inerme"	"Thomson, 1859"	2	10	401	"2003.ix.16"
"49"	"Synopeas"	"inerme"	"Thomson, 1859"	6	11	411	"2003.vii.23"
"50"	"Synopeas"	"inerme"	"Thomson, 1859"	1	28	488	"2003.vii.08"
"51"	"Synopeas"	"inerme"	"Thomson, 1859"	2	30	1055	"2004.vii.03"
"52"	"Synopeas"	"inerme"	"Thomson, 1859"	1	31	1063	"2004.viii.22"
"53"	"Synopeas"	"inerme"	"Thomson, 1859"	1	43	1171	"2004.vii.28"
"54"	"Synopeas"	"inerme"	"Thomson, 1859"	2	1002	1380	"2005.viii.24"
"55"	"Synopeas"	"inerme"	"Thomson, 1859"	2	28	1461	"2004.ix.06"
"56"	"Synopeas"	"inerme"	"Thomson, 1859"	2	2046	2058	"2008.ix.01"
"57"	"Synopeas"	"jasius"	"(Walker, 1835)"	1	38	577	"2003.vii.11"
"58"	"Synopeas"	"larides"	"(Walker, 1835)"	1	6	376	"2003.xii.09"
"59"	"Synopeas"	"larides"	"(Walker, 1835)"	3	31	515	"2004.iv.14"
"60"	"Synopeas"	"larides"	"(Walker, 1835)"	3	1008	1032	"2005.v.15"
"61"	"Synopeas"	"larides"	"(Walker, 1835)"	4	28	1461	"2004.ix.06"
"62"	"Synopeas"	"larides"	"(Walker, 1835)"	1	17	1515	"2005.vi.15"
"63"	"Synopeas"	"larides"	"(Walker, 1835)"	2	30	1717	"2005.vi.16"
"64"	"Synopeas"	"lugubre"	"Thomson, 1859"	1	12	175	"2003.vii.20"
"65"	"Synopeas"	"lugubre"	"Thomson, 1859"	1	54	191	"2003.viii.01"
"66"	"Synopeas"	"lugubre"	"Thomson, 1859"	1	54	192	"2003.viii.18"
"67"	"Synopeas"	"lugubre"	"Thomson, 1859"	3	54	193	"2003.ix.01"
"68"	"Synopeas"	"lugubre"	"Thomson, 1859"	2	59	213	"2003.ix.01"
"69"	"Synopeas"	"lugubre"	"Thomson, 1859"	1	1	314	"2004.iii.28"
"70"	"Synopeas"	"lugubre"	"Thomson, 1859"	3	1	315	"2004.v.12"
"71"	"Synopeas"	"lugubre"	"Thomson, 1859"	2	1	316	" 2004.v.28"
"72"	"Synopeas"	"lugubre"	"Thomson, 1859"	5	31	515	"2004.iv.14"
"73"	"Synopeas"	"lugubre"	"Thomson, 1859"	1	3	795	"2004.i.28"
