"Genus"	"Species"	"Author"	"GUID"	"Source"	"Notes..errors..synonyms..undescribed.etc."	"Taxon.name..computed."
"1"	"Amblyaspis"	"sp."	"Förster, 1856"	"http://dyntaxa.se/taxon/info/1014137"	"Dyntaxa"	NA	"Amblyaspis sp."
"2"	"Amblyaspis"	"abas"	"(Walker, 1836)"	"http://dyntaxa.se/taxon/info/251979"	"Dyntaxa"	NA	"Amblyaspis abas"
"3"	"Amblyaspis"	"angustula"	"Thomson, 1859"	"http://dyntaxa.se/taxon/info/251980"	"Dyntaxa"	NA	"Amblyaspis angustula"
"4"	"Amblyaspis"	"belus"	"(Walker, 1836)"	"http://dyntaxa.se/taxon/info/251981"	"Dyntaxa"	NA	"Amblyaspis belus"
"5"	"Amblyaspis"	"scelionoides"	"(Haliday, 1836)"	"http://dyntaxa.se/taxon/info/251982"	"Dyntaxa"	NA	"Amblyaspis scelionoides"
"6"	"Amblyaspis"	"longiventris"	"Thomson, 1859"	"http://dyntaxa.se/taxon/info/251983"	"Dyntaxa"	NA	"Amblyaspis longiventris"
"7"	"Amblyaspis"	"nereus"	"(Walker, 1836)"	"http://dyntaxa.se/taxon/info/251984"	"Dyntaxa"	NA	"Amblyaspis nereus"
"8"	"Amblyaspis"	"nodicornis"	"(Nees, 1834)"	"http://dyntaxa.se/taxon/info/251985"	"Dyntaxa"	NA	"Amblyaspis nodicornis"
"9"	"Amblyaspis"	"prorsa"	"(Walker, 1836)"	"http://dyntaxa.se/taxon/info/251986"	"Dyntaxa"	NA	"Amblyaspis prorsa"
"10"	"Amblyaspis"	"roboris"	"(Haliday, 1836)"	"http://dyntaxa.se/taxon/info/251987"	"Dyntaxa"	NA	"Amblyaspis roboris"
"11"	"Amblyaspis"	"tritici"	"(Walker, 1836)"	"http://dyntaxa.se/taxon/info/251988"	"Dyntaxa"	NA	"Amblyaspis tritici"
"12"	"Anopedias"	"sp."	"Förster, 1856"	"http://dyntaxa.se/taxon/info/1014138"	"Dyntaxa"	NA	"Anopedias sp."
"13"	"Anopedias"	"lacustris"	"Kieffer, 1926"	"http://dyntaxa.se/taxon/info/251989"	"Dyntaxa"	NA	"Anopedias lacustris"
"14"	"Anopedias"	"obscurus"	"Thomson, 1859"	"http://dyntaxa.se/taxon/info/251990"	"Dyntaxa"	NA	"Anopedias obscurus"
"15"	"Anopedias"	"sundholmi"	"Huggert, 1974"	"http://dyntaxa.se/taxon/info/251991"	"Dyntaxa"	NA	"Anopedias sundholmi"
"16"	"Anopedias"	"tritomus"	"Thomson, 1859"	"http://dyntaxa.se/taxon/info/251992"	"Dyntaxa"	NA	"Anopedias tritomus"
"17"	"Ceratacis"	"sp."	"Thomson, 1859"	"http://dyntaxa.se/taxon/info/1014139"	"Dyntaxa"	NA	"Ceratacis sp."
"18"	"Ceratacis"	"flavipes"	"Thomson, 1859"	"http://dyntaxa.se/taxon/info/251993"	"Dyntaxa"	NA	"Ceratacis flavipes"
"19"	"Euxestonotus"	"sp."	"Fouts, 1925"	"http://dyntaxa.se/taxon/info/1014140"	"Dyntaxa"	NA	"Euxestonotus sp."
"20"	"Euxestonotus"	"error"	"(Fitch, 1861)"	"http://dyntaxa.se/taxon/info/251994"	"Dyntaxa"	NA	"Euxestonotus error"
"21"	"Euxestonotus"	"hasselbalchi (auktor missing)"	NA	"http://dyntaxa.se/taxon/info/251995"	"Dyntaxa"	NA	"Euxestonotus hasselbalchi (auktor missing)"
"22"	"Euxestonotus"	"clavicornis"	"Buhl, 1995"	"http://dyntaxa.se/taxon/info/251996"	"Dyntaxa"	NA	"Euxestonotus clavicornis"
"23"	"Inostemma"	"sp."	"Haliday, 1833"	"http://dyntaxa.se/taxon/info/1014141"	"Dyntaxa"	NA	"Inostemma sp."
"24"	"Inostemma"	"acuminatum"	"Tomsík, 1950"	"http://dyntaxa.se/taxon/info/251997"	"Dyntaxa"	NA	"Inostemma acuminatum"
"25"	"Inostemma"	"austriacum"	"Szelényi, 1938"	"http://dyntaxa.se/taxon/info/251998"	"Dyntaxa"	NA	"Inostemma austriacum"
"26"	"Inostemma"	"boscii"	"(Jurine, 1807)"	"http://dyntaxa.se/taxon/info/251999"	"Dyntaxa"	NA	"Inostemma boscii"
"27"	"Inostemma"	"brevicornu"	"Vikberg, 1965"	"http://dyntaxa.se/taxon/info/252000"	"Dyntaxa"	NA	"Inostemma brevicornu"
"28"	"Inostemma"	"contariniae"	"Szelényi, 1938"	"http://dyntaxa.se/taxon/info/252001"	"Dyntaxa"	NA	"Inostemma contariniae"
"29"	"Inostemma"	"curtum"	"Szelényi, 1938"	"http://dyntaxa.se/taxon/info/252002"	"Dyntaxa"	NA	"Inostemma curtum"
"30"	"Inostemma"	"favo"	"Walker, 1838"	"http://dyntaxa.se/taxon/info/252003"	"Dyntaxa"	NA	"Inostemma favo"
"31"	"Inostemma"	"frivaldszkyi"	"Szelényi, 1938"	"http://dyntaxa.se/taxon/info/252004"	"Dyntaxa"	NA	"Inostemma frivaldszkyi"
