"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Diura"	"nanseni"	"(Kempny, 1900)"	3	46	1945	"2005.vi.27"
"2"	"Diura"	"nanseni"	"(Kempny, 1900)"	2	46	1199	"0"
"3"	"Isoperla"	"sp."	"Banks 1906"	1	37	1820	"0"
"4"	"Isoperla"	"difformis"	"(Klapálek, 1909)"	1	35	559	"0"
"5"	"Isoperla"	"grammatica"	"(Poda, 1761)"	1	35	553	"0"
"6"	"Isoperla"	"grammatica"	"(Poda, 1761)"	2	35	1101	"0"
"7"	"Isoperla"	"grammatica"	"(Poda, 1761)"	1	38	1446	"0"
"8"	"Isoperla"	"grammatica"	"(Poda, 1761)"	1	1003	1387	"0"
"9"	"Isoperla"	"obscura"	"(Zetterstedt, 1840)"	1	50	1224	"0"
"10"	"Isoperla"	"obscura"	"(Zetterstedt, 1840)"	4	1003	1384	"0"
"11"	"Siphonoperla"	"burmeisteri"	"(Pictet, 1841)"	2	1003	1384	"0"
"12"	"Siphonoperla"	"burmeisteri"	"(Pictet, 1841)"	1	1003	1385	"0"
"13"	"Taeniopteryx"	"nebulosa"	"(Linnaeus, 1758)"	1	35	559	"0"
"14"	"Taeniopteryx"	"nebulosa"	"(Linnaeus, 1758)"	3	35	1783	"0"
"15"	"Taeniopteryx"	"nebulosa"	"(Linnaeus, 1758)"	1	35	1785	"0"
"16"	"Brachyptera"	"risi"	"(Morton, 1896)"	2	35	559	"0"
"17"	"Brachyptera"	"risi"	"(Morton, 1896)"	2	35	1785	"0"
"18"	"Brachyptera"	"risi"	"(Morton, 1896)"	1	37	576	"0"
"19"	"Brachyptera"	"risi"	"(Morton, 1896)"	1	37	1820	"0"
"20"	"Brachyptera"	"risi"	"(Morton, 1896)"	2	44	676	"0"
"21"	"Brachyptera"	"risi"	"(Morton, 1896)"	6	1003	1383	"0"
"22"	"Brachyptera"	"risi"	"(Morton, 1896)"	3	1003	1384	"0"
"23"	"Brachyptera"	"risi"	"(Morton, 1896)"	6	1003	1385	"0"
"24"	"Amphinemura"	"borealis"	"(Morton, 1894)"	2	46	1201	"0"
"25"	"Amphinemura"	"borealis"	"(Morton, 1894)"	2	1003	1385	"0"
"26"	"Amphinemura"	"borealis"	"(Morton, 1894)"	3	1003	1387	"0"
"27"	"Amphinemura"	"standfussi"	"(Ris, 1902)"	1	38	1446	"0"
"28"	"Amphinemura"	"standfussi"	"(Ris, 1902)"	2	42	645	"0"
"29"	"Amphinemura"	"standfussi"	"(Ris, 1902)"	1	43	1173	"0"
"30"	"Amphinemura"	"standfussi"	"(Ris, 1902)"	14	43	1912	"0"
"31"	"Amphinemura"	"standfussi"	"(Ris, 1902)"	4	43	1913	"0"
"32"	"Amphinemura"	"standfussi"	"(Ris, 1902)"	3	43	1914	"0"
"33"	"Amphinemura"	"standfussi"	"(Ris, 1902)"	1	47	1959	"0"
"34"	"Amphinemura"	"standfussi"	"(Ris, 1902)"	8	1007	1986	"0"
"35"	"Amphinemura"	"standfussi"	"(Ris, 1902)"	11	1007	1987	"0"
"36"	"Amphinemura"	"standfussi"	"(Ris, 1902)"	22	1007	1988	"0"
"37"	"Amphinemura"	"standfussi"	"(Ris, 1902)"	45	1007	1989	"0"
"38"	"Amphinemura"	"standfussi"	"(Ris, 1902)"	2	1007	1990	"0"
"39"	"Amphinemura"	"sulcicollis"	"(Stephens, 1836)"	1	37	1820	"0"
"40"	"Nemoura"	"avicularis"	"Morton, 1894"	1	34	551	"0"
"41"	"Nemoura"	"avicularis"	"Morton, 1894"	14	35	559	"0"
"42"	"Nemoura"	"avicularis"	"Morton, 1894"	5	35	1784	"0"
"43"	"Nemoura"	"avicularis"	"Morton, 1894"	5	35	1785	"0"
"44"	"Nemoura"	"avicularis"	"Morton, 1894"	1	51	727	"0"
"45"	"Nemoura"	"cinerea"	"(Retzius, 1783)"	1	6	368	"0"
"46"	"Nemoura"	"cinerea"	"(Retzius, 1783)"	2	6	371	"0"
"47"	"Nemoura"	"cinerea"	"(Retzius, 1783)"	2	9	356	"0"
"48"	"Nemoura"	"cinerea"	"(Retzius, 1783)"	3	11	1633	"0"
"49"	"Nemoura"	"cinerea"	"(Retzius, 1783)"	1	11	1635	"0"
"50"	"Nemoura"	"cinerea"	"(Retzius, 1783)"	4	12	69	"0"
"51"	"Nemoura"	"cinerea"	"(Retzius, 1783)"	1	12	175	"0"
"52"	"Nemoura"	"cinerea"	"(Retzius, 1783)"	1	12	177	"0"
"53"	"Nemoura"	"cinerea"	"(Retzius, 1783)"	1	12	891	"0"
"54"	"Nemoura"	"cinerea"	"(Retzius, 1783)"	3	12	892	"0"
"55"	"Nemoura"	"cinerea"	"(Retzius, 1783)"	2	17	272	"0"
"56"	"Nemoura"	"cinerea"	"(Retzius, 1783)"	1	17	968	"0"
"57"	"Nemoura"	"cinerea"	"(Retzius, 1783)"	3	17	1517	"0"
"58"	"Nemoura"	"cinerea"	"(Retzius, 1783)"	1	22	1313	"0"
"59"	"Nemoura"	"cinerea"	"(Retzius, 1783)"	1	22	1314	"0"
"60"	"Nemoura"	"cinerea"	"(Retzius, 1783)"	1	22	1729	"0"
"61"	"Nemoura"	"cinerea"	"(Retzius, 1783)"	11	24	1308	"0"
"62"	"Nemoura"	"cinerea"	"(Retzius, 1783)"	11	24	1309	"0"
"63"	"Nemoura"	"cinerea"	"(Retzius, 1783)"	1	24	1672	"0"
"64"	"Nemoura"	"cinerea"	"(Retzius, 1783)"	11	24	1673	"0"
"65"	"Nemoura"	"cinerea"	"(Retzius, 1783)"	5	31	503	"0"
"66"	"Nemoura"	"cinerea"	"(Retzius, 1783)"	2	31	504	"0"
"67"	"Nemoura"	"cinerea"	"(Retzius, 1783)"	4	31	1544	"0"
"68"	"Nemoura"	"cinerea"	"(Retzius, 1783)"	4	34	551	"0"
"69"	"Nemoura"	"cinerea"	"(Retzius, 1783)"	1	34	1093	"0"
"70"	"Nemoura"	"cinerea"	"(Retzius, 1783)"	1	35	553	"0"
"71"	"Nemoura"	"cinerea"	"(Retzius, 1783)"	10	35	559	"0"
"72"	"Nemoura"	"cinerea"	"(Retzius, 1783)"	14	35	1101	"0"
"73"	"Nemoura"	"cinerea"	"(Retzius, 1783)"	1	37	571	"0"
"74"	"Nemoura"	"cinerea"	"(Retzius, 1783)"	1	37	1822	"0"
"75"	"Nemoura"	"cinerea"	"(Retzius, 1783)"	4	37	1823	"0"
"76"	"Nemoura"	"cinerea"	"(Retzius, 1783)"	1	38	1115	"0"
"77"	"Nemoura"	"cinerea"	"(Retzius, 1783)"	1	38	1446	"0"
"78"	"Nemoura"	"cinerea"	"(Retzius, 1783)"	1	41	1776	"0"
"79"	"Nemoura"	"cinerea"	"(Retzius, 1783)"	30	43	1169	"0"
"80"	"Nemoura"	"cinerea"	"(Retzius, 1783)"	41	43	1170	"0"
"81"	"Nemoura"	"cinerea"	"(Retzius, 1783)"	1	43	1174	"0"
"82"	"Nemoura"	"cinerea"	"(Retzius, 1783)"	51	43	1908	"0"
"83"	"Nemoura"	"cinerea"	"(Retzius, 1783)"	22	43	1909	"0"
"84"	"Nemoura"	"cinerea"	"(Retzius, 1783)"	26	43	1910	"0"
"85"	"Nemoura"	"cinerea"	"(Retzius, 1783)"	19	43	1911	"0"
