"Genus"	"Species"	"Author"	"GUID"	"Source"	"Taxon.name..computed."
"1"	"Arcynopteryx"	"sp."	"Klapalek 1904"	"urn:lsid:faunaeur.org:taxname:85916"	"Fauna Eurpaea"	"Arcynopteryx sp."
"2"	"Arcynopteryx"	"compacta"	"(McLachlan, 1872)"	"https://www.dyntaxa.se/taxon/info/226012"	"Dyntaxa"	"Arcynopteryx compacta"
"3"	"Diura"	"sp."	"Billberg 1820"	"urn:lsid:faunaeur.org:taxname:85903"	"Fauna Eurpaea"	"Diura sp."
"4"	"Diura"	"bicaudata"	"(Linnaeus, 1758)"	"https://www.dyntaxa.se/taxon/info/226019"	"Dyntaxa"	"Diura bicaudata"
"5"	"Diura"	"nanseni"	"(Kempny, 1900)"	"https://www.dyntaxa.se/taxon/info/226020"	"Dyntaxa"	"Diura nanseni"
"6"	"Isogenus"	"sp."	"Newman 1833"	"urn:lsid:faunaeur.org:taxname:85896"	"Fauna Eurpaea"	"Isogenus sp."
"7"	"Isogenus"	"nubecula"	"Newman, 1833"	"https://www.dyntaxa.se/taxon/info/101147"	"Dyntaxa"	"Isogenus nubecula"
"8"	"Isoperla"	"sp."	"Banks 1906"	"urn:lsid:faunaeur.org:taxname:85838"	"Fauna Eurpaea"	"Isoperla sp."
"9"	"Isoperla"	"difformis"	"(Klapálek, 1909)"	"https://www.dyntaxa.se/taxon/info/226022"	"Dyntaxa"	"Isoperla difformis"
"10"	"Isoperla"	"grammatica"	"(Poda, 1761)"	"https://www.dyntaxa.se/taxon/info/226023"	"Dyntaxa"	"Isoperla grammatica"
"11"	"Isoperla"	"obscura"	"(Zetterstedt, 1840)"	"https://www.dyntaxa.se/taxon/info/226024"	"Dyntaxa"	"Isoperla obscura"
"12"	"Perlodes"	"sp."	"Banks 1903"	"urn:lsid:faunaeur.org:taxname:85891"	"Fauna Eurpaea"	"Perlodes sp."
"13"	"Perlodes"	"dispar"	"(Rhambur, 1842)"	"https://www.dyntaxa.se/taxon/info/226036"	"Dyntaxa"	"Perlodes dispar"
"14"	"Dinocras"	"sp."	"Klapalek 1907"	"urn:lsid:faunaeur.org:taxname:85938"	"Fauna Eurpaea"	"Dinocras sp."
"15"	"Dinocras"	"cephalotes"	"(Curtis, 1827)"	"https://www.dyntaxa.se/taxon/info/226018"	"Dyntaxa"	"Dinocras cephalotes"
"16"	"Siphonoperla"	"sp."	"Zwick 1967"	"urn:lsid:faunaeur.org:taxname:85951"	"Fauna Eurpaea"	"Siphonoperla sp."
"17"	"Siphonoperla"	"burmeisteri"	"(Pictet, 1841)"	"https://www.dyntaxa.se/taxon/info/226038"	"Dyntaxa"	"Siphonoperla burmeisteri"
"18"	"Isoptena"	"sp."	"Enderlein 1909"	"urn:lsid:faunaeur.org:taxname:85960"	"Fauna Eurpaea"	"Isoptena sp."
"19"	"Isoptena"	"serricornis"	"(Pictet, 1841)"	"https://www.dyntaxa.se/taxon/info/101148"	"Dyntaxa"	"Isoptena serricornis"
"20"	"Xanthoperla"	"sp."	"Zwick 1967"	"urn:lsid:faunaeur.org:taxname:85949"	"Fauna Eurpaea"	"Xanthoperla sp."
"21"	"Xanthoperla"	"apicalis"	"Newman, 1836"	"https://www.dyntaxa.se/taxon/info/101977"	"Dyntaxa"	"Xanthoperla apicalis"
"22"	"Brachyptera"	"sp."	"Newport 1849"	"urn:lsid:faunaeur.org:taxname:85999"	"Fauna Eurpaea"	"Brachyptera sp."
"23"	"Brachyptera"	"braueri"	"(Klapálek, 1900)"	"https://www.dyntaxa.se/taxon/info/100505"	"Dyntaxa"	"Brachyptera braueri"
"24"	"Brachyptera"	"risi"	"(Morton, 1896)"	"https://www.dyntaxa.se/taxon/info/226013"	"Dyntaxa"	"Brachyptera risi"
"25"	"Taeniopteryx"	"sp."	"Pictet 1841"	"urn:lsid:faunaeur.org:taxname:85974"	"Fauna Eurpaea"	"Taeniopteryx sp."
"26"	"Taeniopteryx"	"nebulosa"	"(Linnaeus, 1758)"	"https://www.dyntaxa.se/taxon/info/226039"	"Dyntaxa"	"Taeniopteryx nebulosa"
"27"	"Amphinemura"	"sp."	"Ris 1902"	"urn:lsid:faunaeur.org:taxname:86156"	"Fauna Eurpaea"	"Amphinemura sp."
"28"	"Amphinemura"	"borealis"	"(Morton, 1894)"	"https://www.dyntaxa.se/taxon/info/226009"	"Dyntaxa"	"Amphinemura borealis"
"29"	"Amphinemura"	"standfussi"	"(Ris, 1902)"	"https://www.dyntaxa.se/taxon/info/226010"	"Dyntaxa"	"Amphinemura standfussi"
"30"	"Amphinemura"	"sulcicollis"	"(Stephens, 1836)"	"https://www.dyntaxa.se/taxon/info/226011"	"Dyntaxa"	"Amphinemura sulcicollis"
"31"	"Nemoura"	"sp."	"Latreille 1796"	"urn:lsid:faunaeur.org:taxname:85993"	"Fauna Eurpaea"	"Nemoura sp."
"32"	"Nemoura"	"arctica"	"Esben-Petersen, 1910"	"https://www.dyntaxa.se/taxon/info/101383"	"Dyntaxa"	"Nemoura arctica"
"33"	"Nemoura"	"dubitans"	"Morton, 1894"	"https://www.dyntaxa.se/taxon/info/101384"	"Dyntaxa"	"Nemoura dubitans"
"34"	"Nemoura"	"sahlbergi"	"Morton, 1896"	"https://www.dyntaxa.se/taxon/info/101385"	"Dyntaxa"	"Nemoura sahlbergi"
"35"	"Nemoura"	"viki"	"Lillehammer, 1972"	"https://www.dyntaxa.se/taxon/info/101386"	"Dyntaxa"	"Nemoura viki"
"36"	"Nemoura"	"avicularis"	"Morton, 1894"	"https://www.dyntaxa.se/taxon/info/226030"	"Dyntaxa"	"Nemoura avicularis"
"37"	"Nemoura"	"cinerea"	"(Retzius, 1783)"	"https://www.dyntaxa.se/taxon/info/226031"	"Dyntaxa"	"Nemoura cinerea"
"38"	"Nemoura"	"flexuosa"	"Aubert, 1949"	"https://www.dyntaxa.se/taxon/info/226033"	"Dyntaxa"	"Nemoura flexuosa"
"39"	"Nemurella"	"sp."	"Kempny 1898"	"urn:lsid:faunaeur.org:taxname:86024"	"Fauna Eurpaea"	"Nemurella sp."
"40"	"Nemurella"	"pictetii"	"Klapalek, 1900"	"https://www.dyntaxa.se/taxon/info/226035"	"Dyntaxa"	"Nemurella pictetii"
