"Genus"	"Species"	"Author"	"GUID"	"Source"	"Taxon.name..computed."
"1"	"Deuteroxorides"	"sp."	"Viereck, 1914"	"https://www.dyntaxa.se/taxon/info/1014857"	"Dyntaxa"	"Deuteroxorides sp."
"2"	"Deuteroxorides"	"elevator"	"(Panzer, 1799)"	"https://www.dyntaxa.se/taxon/info/256002"	"Dyntaxa"	"Deuteroxorides elevator"
"3"	"Neoxorides"	"sp."	"Clément, 1938"	"https://www.dyntaxa.se/taxon/info/1014858"	"Dyntaxa"	"Neoxorides sp."
"4"	"Neoxorides"	"collaris"	"(Gravenhorst, 1829)"	"https://www.dyntaxa.se/taxon/info/256003"	"Dyntaxa"	"Neoxorides collaris"
"5"	"Neoxorides"	"nitens"	"(Gravenhorst, 1829)"	"https://www.dyntaxa.se/taxon/info/256004"	"Dyntaxa"	"Neoxorides nitens"
"6"	"Neoxorides"	"varipes"	"(Holmgren, 1860)"	"https://www.dyntaxa.se/taxon/info/256005"	"Dyntaxa"	"Neoxorides varipes"
"7"	"Podoschistus"	"sp."	"Townes, 1957"	"https://www.dyntaxa.se/taxon/info/1014859"	"Dyntaxa"	"Podoschistus sp."
"8"	"Podoschistus"	"scutellaris"	"(Desvignes, 1856)"	"https://www.dyntaxa.se/taxon/info/256006"	"Dyntaxa"	"Podoschistus scutellaris"
"9"	"Poemenia"	"sp."	"Holmgren, 1859"	"https://www.dyntaxa.se/taxon/info/1014860"	"Dyntaxa"	"Poemenia sp."
"10"	"Poemenia"	"brachyura"	"Holmgren, 1860"	"https://www.dyntaxa.se/taxon/info/256007"	"Dyntaxa"	"Poemenia brachyura"
"11"	"Poemenia"	"collaris"	"(Haupt, 1917)"	"https://www.dyntaxa.se/taxon/info/256008"	"Dyntaxa"	"Poemenia collaris"
"12"	"Poemenia"	"hectica"	"(Gravenhorst, 1829)"	"https://www.dyntaxa.se/taxon/info/256009"	"Dyntaxa"	"Poemenia hectica"
"13"	"Poemenia"	"notata"	"Holmgren, 1859"	"https://www.dyntaxa.se/taxon/info/256010"	"Dyntaxa"	"Poemenia notata"
"14"	"Pseudorhyssa"	"sp."	"Merril, 1915"	"https://www.dyntaxa.se/taxon/info/1014861"	"Dyntaxa"	"Pseudorhyssa sp."
"15"	"Pseudorhyssa"	"alpestris"	"(Holmgren, 1860)"	"https://www.dyntaxa.se/taxon/info/256011"	"Dyntaxa"	"Pseudorhyssa alpestris"
"16"	"Pseudorhyssa"	"nigricornis"	"(Ratzeburg, 1852)"	"https://www.dyntaxa.se/taxon/info/256012"	"Dyntaxa"	"Pseudorhyssa nigricornis"
