"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Neoxorides"	"collaris"	"(Gravenhorst, 1829)"	1	56	1267	"2004.vii.23"
"2"	"Poemenia"	"hectica"	"(Gravenhorst, 1829)"	1	56	1267	"2004.vii.23"
"3"	"Deuteroxorides"	"elevator"	"(Panzer, 1799)"	2	3001	3052	"2014.vi.10"
"4"	"Poemenia"	"hectica"	"(Gravenhorst, 1829)"	1	3001	3052	"2014.vi.10"
"5"	"Neoxorides"	"collaris"	"(Gravenhorst, 1829)"	1	9	2064	"2003.viii.02"
"6"	"Deuteroxorides"	"elevator"	"(Panzer, 1799)"	1	36	824	"2004.vi.10"
"7"	"Deuteroxorides"	"elevator"	"(Panzer, 1799)"	1	37	831	"2004.v.20"
"8"	"Neoxorides"	"collaris"	"(Gravenhorst, 1829)"	1	4	88	"2003.vii.02"
"9"	"Deuteroxorides"	"elevator"	"(Panzer, 1799)"	1	4	88	"2003.vii.02"
"10"	"Neoxorides"	"collaris"	"(Gravenhorst, 1829)"	1	4	114	"2003.viii.04"
"11"	"Poemenia"	"hectica"	"(Gravenhorst, 1829)"	1	7	1592	"2005.vii.04"
"12"	"Deuteroxorides"	"elevator"	"(Panzer, 1799)"	1	3001	3054	"2014.vii.10"
"13"	"Deuteroxorides"	"elevator"	"(Panzer, 1799)"	1	15	945	"2004.vi.23"
"14"	"Poemenia"	"hectica"	"(Gravenhorst, 1829)"	1	5	65	"2003.vii.02"
"15"	"Deuteroxorides"	"elevator"	"(Panzer, 1799)"	1	40	625	"2004.iv.08"
"16"	"Poemenia"	"hectica"	"(Gravenhorst, 1829)"	1	5	90	"2003.viii.30"
"17"	"Neoxorides"	"varipes"	"(Holmgren, 1860)"	1	55	1261	"2004.viii.05"
"18"	"Poemenia"	"hectica"	"(Gravenhorst, 1829)"	1	1008	1741	"2006.vii.04"
"19"	"Poemenia"	"hectica"	"(Gravenhorst, 1829)"	2	8	1558	"2004.vi.28"
"20"	"Deuteroxorides"	"elevator"	"(Panzer, 1799)"	5	3002	3055	"2014.vii.10"
"21"	"Deuteroxorides"	"elevator"	"(Panzer, 1799)"	1	35	1104	"2004.viii.19"
"22"	"Deuteroxorides"	"elevator"	"(Panzer, 1799)"	1	8	1559	"2004.vii.13"
"23"	"Deuteroxorides"	"elevator"	"(Panzer, 1799)"	1	23	432	"2003.vii.24"
"24"	"Poemenia"	"hectica"	"(Gravenhorst, 1829)"	1	27	1035	"2004.vii.20"
"25"	"Poemenia"	"hectica"	"(Gravenhorst, 1829)"	1	27	467	"2003.vii.21"
"26"	"Deuteroxorides"	"elevator"	"(Panzer, 1799)"	1	8	1604	"2005.ix.05"
"27"	"Deuteroxorides"	"elevator"	"(Panzer, 1799)"	1	14	1999	"2004.v.25"
"28"	"Deuteroxorides"	"elevator"	"(Panzer, 1799)"	1	3002	3053	"2014.vi.10"
"29"	"Deuteroxorides"	"elevator"	"(Panzer, 1799)"	1	3001	3056	"2014.viii.06"
"30"	"Deuteroxorides"	"elevator"	"(Panzer, 1799)"	1	8	1603	"2005.vii.18"
"31"	"Poemenia"	"hectica"	"(Gravenhorst, 1829)"	1	27	1034	"2004.vii.01"
"32"	"Deuteroxorides"	"elevator"	"(Panzer, 1799)"	1	7	1594	"2005.viii.16"
"33"	"Poemenia"	"sp."	"Holmgren, 1859"	1	49	1218	"2004.vi.15"
"34"	"Deuteroxorides"	"elevator"	"(Panzer, 1799)"	1	37	831	"2004.v.20"
"35"	"Poemenia"	"hectica"	"(Gravenhorst, 1829)"	1	7	380	"2003.vii.29"
"36"	"Poemenia"	"hectica"	"(Gravenhorst, 1829)"	1	21	994	"2004.vii.26"
"37"	"Deuteroxorides"	"elevator"	"(Panzer, 1799)"	3	40	1145	"2004.vi.01"
"38"	"Neoxorides"	"collaris"	"(Gravenhorst, 1829)"	1	28	496	"2004.iv.15"
"39"	"Podoschistus"	"scutellaris"	"(Desvignes, 1856)"	1	31	1546	"2005.vi.23"
