"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	0	12	69	"2003.vi.24"
"2"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	1	2	81	"2003.vi.08"
"3"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	3	2	82	"2003.vii.02"
"4"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	5	3	84	"2003.vi.08 "
"5"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	10	3	85	"2003.vii.02"
"6"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	5	3	109	"2003.viii.04"
"7"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	1	20	234	"2003.vii.20"
"8"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	1	22	245	"2003.vii.13"
"9"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	1	22	246	"2003.vii.17"
"10"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	7	6	370	"2003.vii.29"
"11"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	1	6	371	"2003.viii.12"
"12"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	0	6	371	"2003.viii.12"
"13"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	1	7	382	"2003.viii.26"
"14"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	1	27	487	"2004.vi.02"
"15"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	6	28	488	"2003.vii.08"
"16"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	0	38	577	"2003.vii.11"
"17"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	1	5	764	"2004.vi.16"
"18"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	2	5	765	"2004.vi.30"
"19"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	1	5	768	"2004.viii.16"
"20"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	2	2	787	"2004.vi.21"
"21"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	1	2	789	"2004.viii.11"
"22"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	1	3	798	"2004.vi.21"
"23"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	1	3	798	"2004.vi.21"
"24"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	14	3	799	"2004.vii.20"
"25"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	1	3	800	"2004.viii.11"
"26"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	1	24	817	"2003.vii.15"
"27"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	1	24	818	"2003.viii.01"
"28"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	1	24	818	"2003.viii.01"
"29"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	2	12	890	"2004.vi.13"
"30"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	0	12	891	"2004.vi.27"
"31"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	1	12	895	"2004.viii.19"
"32"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	1	27	1038	"2004.ix.06"
"33"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	1	29	1047	"2004.vii.11"
"34"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	17	29	1048	"2004.vii.30"
"35"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	1	34	1094	"2004.vii.23"
"36"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	0	35	1101	"2004.vii.14"
"37"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	6	43	1171	"2004.vii.28"
"38"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	1	45	1194	"2004.viii.03"
"39"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	1	24	1310	"2004.vii.22"
"40"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	1	22	1314	"2005.vi.15"
"41"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	0	22	1315	"2005.vi.29"
"42"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	1	22	1316	"2005.vii.18"
"43"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	2	1001	1332	"2005.vii.02"
"44"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	0	1002	1375	"2005.vii.07"
"45"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	1	1002	1380	"2005.viii.24"
"46"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	3	29	1394	"2005.vi.04"
"47"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	5	29	1395	"2005.vi.21"
"48"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	1	29	1396	"2005.vii.12"
"49"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	2	1005	1421	"2005.vii.30"
"50"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	0	28	1458	"2004.vii.16"
"51"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	11	28	1459	"2004.viii.02"
"52"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	1	20	1498	"2005.vii.05"
"53"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	1	1001	1728	"2006.v.18"
"54"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	1	22	1731	"2006.vii.20"
"55"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	1	1008	1742	"2006.vii.10"
"56"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	0	43	1908	"2005.vi.29"
"57"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	1	43	1909	"2005.vii.14"
"58"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	1	43	1910	"2005.vii.27"
"59"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	0	2003	2033	"2006.vi.09"
"60"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	1	2046	2053	"2008.vi.15"
"61"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	1	2046	2054	"2008.vii.01"
