"Genus"	"Species"	"Author"	"GUID"	"Taxon.name..computed."
"1"	"Ceropales"	"sp."	"Latreille, 1796"	"https://www.dyntaxa.se/taxon/info/1006922"	"Ceropales sp."
"2"	"Ceropales"	"variegata"	"(Fabricius, 1798)"	"https://www.dyntaxa.se/taxon/info/100574"	"Ceropales variegata"
"3"	"Ceropales"	"maculata"	"(Fabricius, 1775)"	"https://www.dyntaxa.se/taxon/info/234175"	"Ceropales maculata"
"4"	"Auplopus"	"sp."	"Spinola, 1841"	"https://www.dyntaxa.se/taxon/info/1006921"	"Auplopus sp."
"5"	"Auplopus"	"albifrons"	"(Dalman, 1823)"	"https://www.dyntaxa.se/taxon/info/100435"	"Auplopus albifrons"
"6"	"Auplopus"	"carbonarius"	"(Scopoli, 1763)"	"https://www.dyntaxa.se/taxon/info/234176"	"Auplopus carbonarius"
"7"	"Dipogon"	"sp."	"Fox, 1897"	"https://www.dyntaxa.se/taxon/info/1006923"	"Dipogon sp."
"8"	"Dipogon"	"vechti"	"Day, 1979"	"https://www.dyntaxa.se/taxon/info/100840"	"Dipogon vechti"
"9"	"Dipogon"	"bifasciatus"	"(Geoffroy, 1785)"	"https://www.dyntaxa.se/taxon/info/234178"	"Dipogon bifasciatus"
"10"	"Dipogon"	"subintermedius"	"(Magretti, 1886)"	"https://www.dyntaxa.se/taxon/info/234179"	"Dipogon subintermedius"
"11"	"Dipogon"	"variegatus"	"(Linnaeus, 1758)"	"https://www.dyntaxa.se/taxon/info/234180"	"Dipogon variegatus"
"12"	"Priocnemis"	"sp."	"Schiødte, 1837"	"https://www.dyntaxa.se/taxon/info/1006929"	"Priocnemis sp."
"13"	"Priocnemis"	"minutalis"	"Wahis, 1979"	"https://www.dyntaxa.se/taxon/info/101626"	"Priocnemis minutalis"
"14"	"Priocnemis"	"minuta"	"(Vander Linden, 1827)"	"https://www.dyntaxa.se/taxon/info/101625"	"Priocnemis minuta"
"15"	"Priocnemis"	"agilis"	"(Shuckard, 1837)"	"https://www.dyntaxa.se/taxon/info/102645"	"Priocnemis agilis"
"16"	"Priocnemis"	"cordivalvata"	"Haupt, 1927"	"https://www.dyntaxa.se/taxon/info/234181"	"Priocnemis cordivalvata"
"17"	"Priocnemis"	"exaltata"	"(Fabricius, 1775)"	"https://www.dyntaxa.se/taxon/info/234182"	"Priocnemis exaltata"
"18"	"Priocnemis"	"fennica"	"Haupt, 1927"	"https://www.dyntaxa.se/taxon/info/234183"	"Priocnemis fennica"
"19"	"Priocnemis"	"confusor"	"Wahis, 2006"	"https://www.dyntaxa.se/taxon/info/234184"	"Priocnemis confusor"
"20"	"Priocnemis"	"hyalinata"	"(Fabricius, 1793)"	"https://www.dyntaxa.se/taxon/info/234185"	"Priocnemis hyalinata"
"21"	"Priocnemis"	"parvula"	"Dahlbom, 1845"	"https://www.dyntaxa.se/taxon/info/234186"	"Priocnemis parvula"
"22"	"Priocnemis"	"pusilla"	"(Schiødte, 1837)"	"https://www.dyntaxa.se/taxon/info/234187"	"Priocnemis pusilla"
"23"	"Priocnemis"	"schioedtei"	"Haupt, 1927"	"https://www.dyntaxa.se/taxon/info/234188"	"Priocnemis schioedtei"
"24"	"Priocnemis"	"coriacea"	"Dahlbom, 1843"	"https://www.dyntaxa.se/taxon/info/101623"	"Priocnemis coriacea"
"25"	"Priocnemis"	"vulgaris"	"(Dufour, 1841)"	"https://www.dyntaxa.se/taxon/info/101627"	"Priocnemis vulgaris"
"26"	"Priocnemis"	"perturbator"	"(Harris, 1780)"	"https://www.dyntaxa.se/taxon/info/234189"	"Priocnemis perturbator"
"27"	"Priocnemis"	"susterai"	"Haupt, 1927"	"https://www.dyntaxa.se/taxon/info/248736"	"Priocnemis susterai"
"28"	"Caliadurgus"	"sp."	"Pate, 1946"	"https://www.dyntaxa.se/taxon/info/1009574"	"Caliadurgus sp."
"29"	"Caliadurgus"	"fasciatellus"	"(Spinola, 1808)"	"https://www.dyntaxa.se/taxon/info/234177"	"Caliadurgus fasciatellus"
"30"	"Cryptocheilus"	"sp."	"Panzer, 1806"	"https://www.dyntaxa.se/taxon/info/1013483"	"Cryptocheilus sp."
"31"	"Cryptocheilus"	"fabricii"	"(Vander Linden, 1827)"	"https://www.dyntaxa.se/taxon/info/248733"	"Cryptocheilus fabricii"
"32"	"Agenioideus"	"sp."	"Ashmead, 1902"	"https://www.dyntaxa.se/taxon/info/1006917"	"Agenioideus sp."
"33"	"Agenioideus"	"sericeus"	"(Vander Linden, 1827)"	"https://www.dyntaxa.se/taxon/info/100201"	"Agenioideus sericeus"
"34"	"Agenioideus"	"apicalis"	"(Vander Linden, 1827)"	"https://www.dyntaxa.se/taxon/info/232209"	"Agenioideus apicalis"
"35"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	"https://www.dyntaxa.se/taxon/info/234190"	"Agenioideus cinctellus"
"36"	"Agenioideus"	"ciliatus"	"(Lepeletier, 1845)"	"https://www.dyntaxa.se/taxon/info/100200"	"Agenioideus ciliatus"
"37"	"Anoplius"	"sp."	"Dufour, 1834"	"https://www.dyntaxa.se/taxon/info/1006918"	"Anoplius sp."
"38"	"Anoplius"	"caviventris"	"(Aurivillius, 1907)"	"https://www.dyntaxa.se/taxon/info/100301"	"Anoplius caviventris"
"39"	"Anoplius"	"tenuicornis"	"(Tournier, 1889)"	"https://www.dyntaxa.se/taxon/info/100302"	"Anoplius tenuicornis"
"40"	"Anoplius"	"concinnus"	"(Dahlbom, 1843)"	"https://www.dyntaxa.se/taxon/info/234204"	"Anoplius concinnus"
"41"	"Anoplius"	"nigerrimus"	"(Scopoli, 1763)"	"https://www.dyntaxa.se/taxon/info/234205"	"Anoplius nigerrimus"
"42"	"Anoplius"	"alpinobalticus"	"Wolf, 1965"	"https://www.dyntaxa.se/taxon/info/248749"	"Anoplius alpinobalticus"
"43"	"Anoplius"	"aeruginosus"	"(Tournier, 1890)"	"https://www.dyntaxa.se/taxon/info/100300"	"Anoplius aeruginosus"
"44"	"Anoplius"	"infuscatus"	"(Vander Linden, 1827"	"https://www.dyntaxa.se/taxon/info/234206"	"Anoplius infuscatus"
"45"	"Anoplius"	"viaticus"	"(Linnaeus, 1758)"	"https://www.dyntaxa.se/taxon/info/234207"	"Anoplius viaticus"
"46"	"Aporinellus"	"sp."	"Banks, 1911"	"https://www.dyntaxa.se/taxon/info/1006919"	"Aporinellus sp."
"47"	"Aporinellus"	"sexmaculatus"	"(Spinola, 1805)"	"https://www.dyntaxa.se/taxon/info/100371"	"Aporinellus sexmaculatus"
"48"	"Arachnospila"	"sp."	"Kincaid, 1900"	"https://www.dyntaxa.se/taxon/info/1006920"	"Arachnospila sp."
"49"	"Arachnospila"	"abnormis"	"(Dahlbom, 1842)"	"https://www.dyntaxa.se/taxon/info/100373"	"Arachnospila abnormis"
"50"	"Arachnospila"	"alvarabnormis"	"(Wolf, 1965)"	"https://www.dyntaxa.se/taxon/info/100374"	"Arachnospila alvarabnormis"
"51"	"Arachnospila"	"opinata"	"(Tournier, 1890)"	"https://www.dyntaxa.se/taxon/info/100376"	"Arachnospila opinata"
"52"	"Arachnospila"	"hedickei"	"(Haupt, 1929)"	"https://www.dyntaxa.se/taxon/info/100377"	"Arachnospila hedickei"
"53"	"Arachnospila"	"wesmaeli"	"(Thomson, 1870)"	"https://www.dyntaxa.se/taxon/info/100378"	"Arachnospila wesmaeli"
"54"	"Arachnospila"	"consobrina"	"(Dahlbom, 1843)"	"https://www.dyntaxa.se/taxon/info/102643"	"Arachnospila consobrina"
"55"	"Arachnospila"	"westerlundi"	"(Morawitz, 1893)"	"https://www.dyntaxa.se/taxon/info/102644"	"Arachnospila westerlundi"
"56"	"Arachnospila"	"anceps"	"(Wesmael, 1851)"	"https://www.dyntaxa.se/taxon/info/234194"	"Arachnospila anceps"
"57"	"Arachnospila"	"trivialis"	"(Dahlbom, 1843)"	"https://www.dyntaxa.se/taxon/info/234195"	"Arachnospila trivialis"
"58"	"Arachnospila"	"virgilabnormis"	"Wolf, 1976"	"https://www.dyntaxa.se/taxon/info/248764"	"Arachnospila virgilabnormis"
"59"	"Arachnospila"	"fuscomarginata"	"(Thomson, 1870)"	"https://www.dyntaxa.se/taxon/info/100375"	"Arachnospila fuscomarginata"
"60"	"Arachnospila"	"minutula"	"(Dahlbom, 1842)"	"https://www.dyntaxa.se/taxon/info/234196"	"Arachnospila minutula"
"61"	"Arachnospila"	"spissa"	"(Schiødte, 1837)"	"https://www.dyntaxa.se/taxon/info/234197"	"Arachnospila spissa"
