"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	1	5	354	"2004.vi.07"
"2"	"Arachnospila"	"anceps"	"(Wesmael, 1851)"	1	5	354	"2004.vi.07"
"3"	"Priocnemis"	"hyalinata"	"(J.C.Fabricius, 1793)"	1	16	962	"2004.viii.08"
"4"	"Priocnemis"	"perturbator"	"(Harris, 1780)"	4	38	600	"2004.v.19"
"5"	"Priocnemis"	"coriacea"	"Dahlbom, 1843"	1	38	600	"2004.v.19"
"6"	"Anoplius"	"viaticus"	"(Linnaeus, 1758)"	1	38	600	"2004.v.19"
"7"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	4	29	255	"2003.vii.20"
"8"	"Priocnemis"	"pusilla"	"(Schiødte, 1837)"	6	29	255	"2003.vii.20"
"9"	"Evagetes"	"dubius"	"(Vander Linden, 1827)"	3	29	255	"2003.vii.20"
"10"	"Dipogon"	"subintermedius"	"(Magretti, 1886)"	6	29	255	"2003.vii.20"
"11"	"Priocnemis"	"exaltata"	"(J.C.Fabricius, 1775)"	6	29	255	"2003.vii.20"
"12"	"Episyron"	"rufipes"	"(Linnaeus, 1758)"	2	29	255	"2003.vii.20"
"13"	"Evagetes"	"pectinipes"	"(Linnaeus, 1758)"	3	29	255	"2003.vii.20"
"14"	"Ceropales"	"maculata"	"(J.C.Fabricius, 1775)"	4	29	255	"2003.vii.20"
"15"	"Arachnospila"	"trivialis"	"(Dahlbom, 1843)"	1	29	255	"2003.vii.20"
"16"	"Anoplius"	"viaticus"	"(Linnaeus, 1758)"	1	29	255	"2003.vii.20"
"17"	"Anoplius"	"viaticus"	"(Linnaeus, 1758)"	3	29	255	"2003.vii.20"
"18"	"Priocnemis"	"fennica"	"Haupt, 1927"	1	35	1102	"2004.vii.23"
"19"	"Priocnemis"	"exaltata"	"(J.C.Fabricius, 1775)"	2	35	1102	"2004.vii.23"
"20"	"Priocnemis"	"hyalinata"	"(J.C.Fabricius, 1793)"	5	35	1102	"2004.vii.23"
"21"	"Dipogon"	"subintermedius"	"(Magretti, 1886)"	2	35	1102	"2004.vii.23"
"22"	"Anoplius"	"viaticus"	"(Linnaeus, 1758)"	1	35	1102	"2004.vii.23"
"23"	"Priocnemis"	"schioedtei"	"Haupt, 1927"	1	35	1102	"2004.vii.23"
"24"	"Anoplius"	"nigerrimus"	"(Scopoli, 1763)"	2	35	1102	"2004.vii.23"
"25"	"Priocnemis"	"hyalinata"	"(J.C.Fabricius, 1793)"	3	39	602	"2003.vii.12"
"26"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	2	27	1037	"2004.viii.23"
"27"	"Dipogon"	"bifasciatus"	"(Geoffroy, 1785)"	2	27	486	"2004.v.17"
"28"	"Dipogon"	"variegatus"	"(Linnaeus, 1758)"	1	27	486	"2004.v.17"
"29"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	1	27	486	"2004.v.17"
"30"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	1	12	176	"2003.viii.02"
"31"	"Dipogon"	"subintermedius"	"(Magretti, 1886)"	1	31	1060	"2004.vii.14"
"32"	"Dipogon"	"subintermedius"	"(Magretti, 1886)"	1	1004	1898	"2005.viii.09"
"33"	"Dipogon"	"subintermedius"	"(Magretti, 1886)"	20	27	466	"2003.vii.07"
"34"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	21	27	466	"2003.vii.07"
"35"	"Dipogon"	"variegatus"	"(Linnaeus, 1758)"	1	27	466	"2003.vii.07"
"36"	"Dipogon"	"bifasciatus"	"(Geoffroy, 1785)"	9	27	466	"2003.vii.07"
"37"	"Priocnemis"	"exaltata"	"(J.C.Fabricius, 1775)"	1	27	466	"2003.vii.07"
"38"	"Arachnospila"	"hedickei"	"(Haupt, 1929)"	1	27	466	"2003.vii.07"
"39"	"Auplopus"	"carbonarius"	"(Scopoli, 1763)"	1	27	466	"2003.vii.07"
"40"	"Arachnospila"	"spissa"	"(Schiødte, 1837)"	3	27	466	"2003.vii.07"
"41"	"Evagetes"	"alamannicus"	"(Blüthgen, 1944)"	1	27	466	"2003.vii.07"
"42"	"Arachnospila"	"anceps"	"(Wesmael, 1851)"	1	27	466	"2003.vii.07"
"43"	"Priocnemis"	"perturbator"	"(Harris, 1780)"	2	27	485	"2004.v.03"
"44"	"Dipogon"	"subintermedius"	"(Magretti, 1886)"	1	39	1136	"2004.vi.12"
"45"	"Dipogon"	"variegatus"	"(Linnaeus, 1758)"	1	2006	2017	"2007.vii.24"
"46"	"Priocnemis"	"exaltata"	"(J.C.Fabricius, 1775)"	1	2006	2017	"2007.vii.24"
"47"	"Priocnemis"	"fennica"	"Haupt, 1927"	1	1008	1346	"2005.vii.10"
"48"	"Arachnospila"	"abnormis"	"(Dahlbom, 1842)"	1	12	889	"2004.v.16"
"49"	"Priocnemis"	"pusilla"	"(Schiødte, 1837)"	1	1004	1798	"2005.vii.30"
"50"	"Priocnemis"	"hyalinata"	"(J.C.Fabricius, 1793)"	1	1004	1798	"2005.vii.30"
"51"	"Priocnemis"	"exaltata"	"(J.C.Fabricius, 1775)"	1	1004	1798	"2005.vii.30"
"52"	"Priocnemis"	"schioedtei"	"Haupt, 1927"	1	1004	1798	"2005.vii.30"
"53"	"Arachnospila"	"spissa"	"(Schiødte, 1837)"	1	1004	1798	"2005.vii.30"
"54"	"Priocnemis"	"schioedtei"	"Haupt, 1927"	1	13	901	"2003.vi.24"
"55"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	1	13	901	"2003.vi.24"
"56"	"Priocnemis"	"exaltata"	"(J.C.Fabricius, 1775)"	1	13	901	"2003.vi.24"
"57"	"Priocnemis"	"hyalinata"	"(J.C.Fabricius, 1793)"	12	13	901	"2003.vi.24"
"58"	"Anoplius"	"viaticus"	"(Linnaeus, 1758)"	1	13	901	"2003.vi.24"
"59"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	7	1006	1425	"2005.vii.15"
"60"	"Dipogon"	"subintermedius"	"(Magretti, 1886)"	4	1006	1425	"2005.vii.15"
"61"	"Caliadurgus"	"fasciatellus"	"(Spinola, 1808)"	1	1006	1425	"2005.vii.15"
"62"	"Arachnospila"	"anceps"	"(Wesmael, 1851)"	1	1006	1425	"2005.vii.15"
"63"	"Arachnospila"	"spissa"	"(Schiødte, 1837)"	3	1006	1425	"2005.vii.15"
"64"	"Anoplius"	"nigerrimus"	"(Scopoli, 1763)"	1	1006	1425	"2005.vii.15"
"65"	"Evagetes"	"proximus"	"(Dahlbom, 1845)"	1	1006	1425	"2005.vii.15"
"66"	"Arachnospila"	"sogdiana"	"(Morawitz, 1893)"	1	1006	1425	"2005.vii.15"
"67"	"Ceropales"	"maculata"	"(J.C.Fabricius, 1775)"	1	1006	1425	"2005.vii.15"
"68"	"Priocnemis"	"perturbator"	"(Harris, 1780)"	4	1006	1425	"2005.vii.15"
"69"	"Anoplius"	"viaticus"	"(Linnaeus, 1758)"	1	1006	1425	"2005.vii.15"
"70"	"Auplopus"	"carbonarius"	"(Scopoli, 1763)"	1	1008	1342	"2005.vi.20"
"71"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	1	1008	1342	"2005.vi.20"
"72"	"Priocnemis"	"hyalinata"	"(J.C.Fabricius, 1793)"	3	13	911	"2004.vi.23"
"73"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	1	13	911	"2004.vi.23"
"74"	"Dipogon"	"subintermedius"	"(Magretti, 1886)"	1	23	1012	"2004.vii.29"
"75"	"Evagetes"	"pectinipes"	"(Linnaeus, 1758)"	6	29	502	"2004.vi.12"
"76"	"Dipogon"	"subintermedius"	"(Magretti, 1886)"	7	29	502	"2004.vi.12"
"77"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	5	29	502	"2004.vi.12"
"78"	"Evagetes"	"dubius"	"(Vander Linden, 1827)"	2	29	502	"2004.vi.12"
"79"	"Aporinellus"	"sexmaculatus"	"(Spinola, 1805)"	2	29	502	"0"
"80"	"Episyron"	"rufipes"	"(Linnaeus, 1758)"	19	29	502	"0"
"81"	"Caliadurgus"	"fasciatellus"	"(Spinola, 1808)"	1	29	502	"0"
"82"	"Arachnospila"	"rufa"	"(Haupt, 1927)"	7	29	502	"0"
"83"	"Ceropales"	"maculata"	"(J.C.Fabricius, 1775)"	2	29	502	"0"
"84"	"Arachnospila"	"sogdiana"	"(Morawitz, 1893)"	2	29	502	"0"
"85"	"Priocnemis"	"hyalinata"	"(J.C.Fabricius, 1793)"	8	13	912	"0"
"86"	"Priocnemis"	"exaltata"	"(J.C.Fabricius, 1775)"	1	13	912	"0"
"87"	"Anoplius"	"nigerrimus"	"(Scopoli, 1763)"	1	13	912	"0"
"88"	"Dipogon"	"bifasciatus"	"(Geoffroy, 1785)"	1	13	912	"0"
"89"	"Priocnemis"	"exaltata"	"(J.C.Fabricius, 1775)"	2	35	1104	"0"
"90"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	2	35	552	"0"
"91"	"Priocnemis"	"exaltata"	"(J.C.Fabricius, 1775)"	6	35	552	"2003.vii.11"
"92"	"Priocnemis"	"fennica"	"Haupt, 1927"	1	35	552	"2003.vii.11"
"93"	"Priocnemis"	"schioedtei"	"Haupt, 1927"	5	35	552	"2003.vii.11"
"94"	"Priocnemis"	"hyalinata"	"(J.C.Fabricius, 1793)"	2	35	552	"2003.vii.11"
"95"	"Caliadurgus"	"fasciatellus"	"(Spinola, 1808)"	1	35	552	"2003.vii.11"
"96"	"Arachnospila"	"spissa"	"(Schiødte, 1837)"	2	35	552	"2003.vii.11"
"97"	"Anoplius"	"nigerrimus"	"(Scopoli, 1763)"	1	35	552	"2003.vii.11"
"98"	"Anoplius"	"viaticus"	"(Linnaeus, 1758)"	2	35	552	"2003.vii.11"
"99"	"Anoplius"	"viaticus"	"(Linnaeus, 1758)"	1	35	552	"2003.vii.11"
"100"	"Auplopus"	"carbonarius"	"(Scopoli, 1763)"	1	18	68	"2003.vii.11"
"101"	"Priocnemis"	"pusilla"	"(Schiødte, 1837)"	1	38	581	"2003.viii.19"
"102"	"Priocnemis"	"exaltata"	"(J.C.Fabricius, 1775)"	2	5	77	"2003.viii.11"
"103"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	1	5	77	"2003.viii.11"
"104"	"Evagetes"	"crassicornis"	"(Shuckard, 1837)"	1	5	77	"2003.viii.11"
"105"	"Ceropales"	"maculata"	"(J.C.Fabricius, 1775)"	1	5	77	"2003.viii.11"
"106"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	5	5	64	"2003.vi.16"
"107"	"Dipogon"	"bifasciatus"	"(Geoffroy, 1785)"	1	5	64	"2003.vi.16"
"108"	"Dipogon"	"subintermedius"	"(Magretti, 1886)"	3	5	64	"2003.vi.16"
"109"	"Evagetes"	"sahlbergi"	"(Morawitz, 1893)"	1	5	64	"2003.vi.16"
"110"	"Auplopus"	"carbonarius"	"(Scopoli, 1763)"	4	5	64	"2003.vi.16"
"111"	"Anoplius"	"nigerrimus"	"(Scopoli, 1763)"	1	5	64	"2003.vi.16"
"112"	"Arachnospila"	"spissa"	"(Schiødte, 1837)"	1	5	64	"2003.vi.16"
"113"	"Priocnemis"	"schioedtei"	"Haupt, 1927"	2	13	1643	"2005.vii.05"
"114"	"Priocnemis"	"hyalinata"	"(J.C.Fabricius, 1793)"	23	13	1643	"2005.vii.05"
"115"	"Auplopus"	"carbonarius"	"(Scopoli, 1763)"	3	13	1643	"2005.vii.05"
"116"	"Dipogon"	"bifasciatus"	"(Geoffroy, 1785)"	1	13	1643	"2005.vii.05"
"117"	"Anoplius"	"nigerrimus"	"(Scopoli, 1763)"	1	13	1643	"2005.vii.05"
"118"	"Priocnemis"	"exaltata"	"(J.C.Fabricius, 1775)"	1	38	1121	"2004.viii.10"
"119"	"Dipogon"	"bifasciatus"	"(Geoffroy, 1785)"	2	7	1591	"2005.vi.14"
"120"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	2	7	1591	"2005.vi.14"
"121"	"Dipogon"	"subintermedius"	"(Magretti, 1886)"	1	7	1591	"2005.vi.14"
"122"	"Auplopus"	"carbonarius"	"(Scopoli, 1763)"	1	2006	2029	"2008.vi.05"
"123"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	1	12	894	"2004.viii.09"
"124"	"Arachnospila"	"anceps"	"(Wesmael, 1851)"	1	12	894	"2004.viii.09"
"125"	"Auplopus"	"carbonarius"	"(Scopoli, 1763)"	1	12	894	"2004.viii.09"
"126"	"Dipogon"	"subintermedius"	"(Magretti, 1886)"	1	8	1559	"2004.vii.13"
"127"	"Arachnospila"	"anceps"	"(Wesmael, 1851)"	1	30	1718	"2005.vii.17"
"128"	"Auplopus"	"carbonarius"	"(Scopoli, 1763)"	1	30	1718	"2005.vii.17"
"129"	"Anoplius"	"nigerrimus"	"(Scopoli, 1763)"	1	30	1718	"2005.vii.17"
"130"	"Evagetes"	"dubius"	"(Vander Linden, 1827)"	5	29	256	"2003.viii.03"
"131"	"Priocnemis"	"pusilla"	"(Schiødte, 1837)"	3	29	256	"2003.viii.03"
"132"	"Dipogon"	"subintermedius"	"(Magretti, 1886)"	2	29	256	"2003.viii.03"
"133"	"Arachnospila"	"anceps"	"(Wesmael, 1851)"	2	29	256	"2003.viii.03"
"134"	"Dipogon"	"variegatus"	"(Linnaeus, 1758)"	1	29	256	"2003.viii.03"
"135"	"Ceropales"	"maculata"	"(J.C.Fabricius, 1775)"	2	29	256	"2003.viii.03"
"136"	"Anoplius"	"viaticus"	"(Linnaeus, 1758)"	3	29	256	"2003.viii.03"
"137"	"Dipogon"	"variegatus"	"(Linnaeus, 1758)"	3	12	70	"2003.vii.05"
"138"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	7	12	70	"2003.vii.05"
"139"	"Dipogon"	"subintermedius"	"(Magretti, 1886)"	1	12	70	"2003.vii.05"
"140"	"Auplopus"	"carbonarius"	"(Scopoli, 1763)"	3	12	70	"2003.vii.05"
"141"	"Priocnemis"	"fennica"	"Haupt, 1927"	2	54	1253	"2004.vii.23"
"142"	"Anoplius"	"nigerrimus"	"(Scopoli, 1763)"	2	54	1253	"2004.vii.23"
"143"	"Dipogon"	"vechti"	"Day, 1979"	1	54	1253	"2004.vii.23"
"144"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	6	28	1466	"2005.vii.05"
"145"	"Dipogon"	"subintermedius"	"(Magretti, 1886)"	4	28	1466	"2005.vii.05"
"146"	"Ceropales"	"variegata"	"(J.C.Fabricius, 1798)"	3	28	1466	"2005.vii.05"
"147"	"Caliadurgus"	"fasciatellus"	"(Spinola, 1808)"	14	28	1466	"2005.vii.05"
"148"	"Auplopus"	"carbonarius"	"(Scopoli, 1763)"	1	28	1466	"2005.vii.05"
"149"	"Dipogon"	"bifasciatus"	"(Geoffroy, 1785)"	1	28	1466	"2005.vii.05"
"150"	"Anoplius"	"nigerrimus"	"(Scopoli, 1763)"	2	28	1466	"2005.vii.05"
"151"	"Ceropales"	"maculata"	"(J.C.Fabricius, 1775)"	2	28	1466	"2005.vii.05"
"152"	"Priocnemis"	"pusilla"	"(Schiødte, 1837)"	2	28	1466	"2005.vii.05"
"153"	"Arachnospila"	"spissa"	"(Schiødte, 1837)"	6	28	1466	"2005.vii.05"
"154"	"Anoplius"	"viaticus"	"(Linnaeus, 1758)"	9	28	1466	"2005.vii.05"
"155"	"Evagetes"	"crassicornis"	"(Shuckard, 1837)"	1	28	1466	"2005.vii.05"
"156"	"Priocnemis"	"exaltata"	"(J.C.Fabricius, 1775)"	1	28	1466	"2005.vii.05"
"157"	"Dipogon"	"subintermedius"	"(Magretti, 1886)"	5	27	467	"2003.vii.21"
"158"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	20	27	467	"2003.vii.21"
"159"	"Dipogon"	"bifasciatus"	"(Geoffroy, 1785)"	9	27	467	"2003.vii.21"
"160"	"Priocnemis"	"exaltata"	"(J.C.Fabricius, 1775)"	6	27	467	"2003.vii.21"
"161"	"Evagetes"	"sahlbergi"	"(Morawitz, 1893)"	2	27	467	"2003.vii.21"
"162"	"Anoplius"	"nigerrimus"	"(Scopoli, 1763)"	3	27	467	"2003.vii.21"
"163"	"Anoplius"	"viaticus"	"(Linnaeus, 1758)"	1	27	467	"2003.vii.21"
"164"	"Auplopus"	"carbonarius"	"(Scopoli, 1763)"	1	27	467	"2003.vii.21"
"165"	"Arachnospila"	"anceps"	"(Wesmael, 1851)"	1	27	467	"2003.vii.21"
"166"	"Arachnospila"	"spissa"	"(Schiødte, 1837)"	2	27	467	"2003.vii.21"
"167"	"Dipogon"	"subintermedius"	"(Magretti, 1886)"	1	23	432	"2003.vii.24"
