"Genus"	"Species"	"Author"	"GUID"	"Source"	"Taxon.name..computed."
"1"	"Ceropales"	"sp."	"Latreille, 1796"	"http://dyntaxa.se/taxon/info/1006922"	"Dyntaxa"	"Ceropales sp."
"2"	"Ceropales"	"variegata"	"(J.C.Fabricius, 1798)"	"http://dyntaxa.se/taxon/info/100574"	"Dyntaxa"	"Ceropales variegata"
"3"	"Ceropales"	"maculata"	"(J.C.Fabricius, 1775)"	"http://dyntaxa.se/taxon/info/234175"	"Dyntaxa"	"Ceropales maculata"
"4"	"Auplopus"	"sp."	"Spinola, 1841"	"http://dyntaxa.se/taxon/info/1006921"	"Dyntaxa"	"Auplopus sp."
"5"	"Auplopus"	"albifrons"	"(Dalman, 1823)"	"http://dyntaxa.se/taxon/info/100435"	"Dyntaxa"	"Auplopus albifrons"
"6"	"Auplopus"	"carbonarius"	"(Scopoli, 1763)"	"http://dyntaxa.se/taxon/info/234176"	"Dyntaxa"	"Auplopus carbonarius"
"7"	"Dipogon"	"sp."	"Fox, 1897"	"http://dyntaxa.se/taxon/info/1006923"	"Dyntaxa"	"Dipogon sp."
"8"	"Dipogon"	"vechti"	"Day, 1979"	"http://dyntaxa.se/taxon/info/100840"	"Dyntaxa"	"Dipogon vechti"
"9"	"Dipogon"	"bifasciatus"	"(Geoffroy, 1785)"	"http://dyntaxa.se/taxon/info/234178"	"Dyntaxa"	"Dipogon bifasciatus"
"10"	"Dipogon"	"subintermedius"	"(Magretti, 1886)"	"http://dyntaxa.se/taxon/info/234179"	"Dyntaxa"	"Dipogon subintermedius"
"11"	"Dipogon"	"variegatus"	"(Linnaeus, 1758)"	"http://dyntaxa.se/taxon/info/234180"	"Dyntaxa"	"Dipogon variegatus"
"12"	"Priocnemis"	"sp."	"Schiødte, 1837"	"http://dyntaxa.se/taxon/info/1006929"	"Dyntaxa"	"Priocnemis sp."
"13"	"Priocnemis"	"minuta"	"(Vander Linden, 1827)"	"http://dyntaxa.se/taxon/info/101625"	"Dyntaxa"	"Priocnemis minuta"
"14"	"Priocnemis"	"agilis"	"(Shuckard, 1837)"	"http://dyntaxa.se/taxon/info/102645"	"Dyntaxa"	"Priocnemis agilis"
"15"	"Priocnemis"	"cordivalvata"	"Haupt, 1927"	"http://dyntaxa.se/taxon/info/234181"	"Dyntaxa"	"Priocnemis cordivalvata"
"16"	"Priocnemis"	"exaltata"	"(J.C.Fabricius, 1775)"	"http://dyntaxa.se/taxon/info/234182"	"Dyntaxa"	"Priocnemis exaltata"
"17"	"Priocnemis"	"fennica"	"Haupt, 1927"	"http://dyntaxa.se/taxon/info/234183"	"Dyntaxa"	"Priocnemis fennica"
"18"	"Priocnemis"	"confusor"	"Wahis, 2006"	"http://dyntaxa.se/taxon/info/234184"	"Dyntaxa"	"Priocnemis confusor"
"19"	"Priocnemis"	"hyalinata"	"(J.C.Fabricius, 1793)"	"http://dyntaxa.se/taxon/info/234185"	"Dyntaxa"	"Priocnemis hyalinata"
"20"	"Priocnemis"	"parvula"	"Dahlbom, 1845"	"http://dyntaxa.se/taxon/info/234186"	"Dyntaxa"	"Priocnemis parvula"
"21"	"Priocnemis"	"pusilla"	"(Schiødte, 1837)"	"http://dyntaxa.se/taxon/info/234187"	"Dyntaxa"	"Priocnemis pusilla"
"22"	"Priocnemis"	"schioedtei"	"Haupt, 1927"	"http://dyntaxa.se/taxon/info/234188"	"Dyntaxa"	"Priocnemis schioedtei"
"23"	"Priocnemis"	"pellipleuris"	"Wahis, 1998"	"http://dyntaxa.se/taxon/info/6002761"	"Dyntaxa"	"Priocnemis pellipleuris"
"24"	"Priocnemis"	"coriacea"	"Dahlbom, 1843"	"http://dyntaxa.se/taxon/info/101623"	"Dyntaxa"	"Priocnemis coriacea"
"25"	"Priocnemis"	"vulgaris"	"(Dufour, 1841)"	"http://dyntaxa.se/taxon/info/101627"	"Dyntaxa"	"Priocnemis vulgaris"
"26"	"Priocnemis"	"perturbator"	"(Harris, 1780)"	"http://dyntaxa.se/taxon/info/234189"	"Dyntaxa"	"Priocnemis perturbator"
"27"	"Priocnemis"	"susterai"	"Haupt, 1927"	"http://dyntaxa.se/taxon/info/248736"	"Dyntaxa"	"Priocnemis susterai"
"28"	"Caliadurgus"	"sp."	"Pate, 1946"	"http://dyntaxa.se/taxon/info/1009574"	"Dyntaxa"	"Caliadurgus sp."
"29"	"Caliadurgus"	"fasciatellus"	"(Spinola, 1808)"	"http://dyntaxa.se/taxon/info/234177"	"Dyntaxa"	"Caliadurgus fasciatellus"
"30"	"Cryptocheilus"	"sp."	"Panzer, 1806"	"http://dyntaxa.se/taxon/info/1013483"	"Dyntaxa"	"Cryptocheilus sp."
"31"	"Cryptocheilus"	"fabricii"	"(Vander Linden, 1827)"	"http://dyntaxa.se/taxon/info/248733"	"Dyntaxa"	"Cryptocheilus fabricii"
"32"	"Agenioideus"	"sp."	"Ashmead, 1902"	"http://dyntaxa.se/taxon/info/1006917"	"Dyntaxa"	"Agenioideus sp."
"33"	"Agenioideus"	"sericeus"	"(Vander Linden, 1827)"	"http://dyntaxa.se/taxon/info/100201"	"Dyntaxa"	"Agenioideus sericeus"
"34"	"Agenioideus"	"apicalis"	"(Vander Linden, 1827)"	"http://dyntaxa.se/taxon/info/232209"	"Dyntaxa"	"Agenioideus apicalis"
"35"	"Agenioideus"	"cinctellus"	"(Spinola, 1808)"	"http://dyntaxa.se/taxon/info/234190"	"Dyntaxa"	"Agenioideus cinctellus"
"36"	"Agenioideus"	"ciliatus"	"(Lepeletier, 1845)"	"http://dyntaxa.se/taxon/info/100200"	"Dyntaxa"	"Agenioideus ciliatus"
"37"	"Anoplius"	"sp."	"Dufour, 1834"	"http://dyntaxa.se/taxon/info/1006918"	"Dyntaxa"	"Anoplius sp."
"38"	"Anoplius"	"caviventris"	"(Aurivillius, 1907)"	"http://dyntaxa.se/taxon/info/100301"	"Dyntaxa"	"Anoplius caviventris"
"39"	"Anoplius"	"tenuicornis"	"(Tournier, 1889)"	"http://dyntaxa.se/taxon/info/100302"	"Dyntaxa"	"Anoplius tenuicornis"
"40"	"Anoplius"	"concinnus"	"(Dahlbom, 1843)"	"http://dyntaxa.se/taxon/info/234204"	"Dyntaxa"	"Anoplius concinnus"
"41"	"Anoplius"	"nigerrimus"	"(Scopoli, 1763)"	"http://dyntaxa.se/taxon/info/234205"	"Dyntaxa"	"Anoplius nigerrimus"
"42"	"Anoplius"	"alpinobalticus"	"Wolf, 1965"	"http://dyntaxa.se/taxon/info/248749"	"Dyntaxa"	"Anoplius alpinobalticus"
"43"	"Anoplius"	"aeruginosus"	"(Tournier, 1890)"	"http://dyntaxa.se/taxon/info/100300"	"Dyntaxa"	"Anoplius aeruginosus"
"44"	"Anoplius"	"infuscatus"	"(Vander Linden, 1827"	"http://dyntaxa.se/taxon/info/234206"	"Dyntaxa"	"Anoplius infuscatus"
"45"	"Anoplius"	"viaticus"	"(Linnaeus, 1758)"	"http://dyntaxa.se/taxon/info/234207"	"Dyntaxa"	"Anoplius viaticus"
"46"	"Aporinellus"	"sp."	"Banks, 1911"	"http://dyntaxa.se/taxon/info/1006919"	"Dyntaxa"	"Aporinellus sp."
"47"	"Aporinellus"	"sexmaculatus"	"(Spinola, 1805)"	"http://dyntaxa.se/taxon/info/100371"	"Dyntaxa"	"Aporinellus sexmaculatus"
"48"	"Arachnospila"	"sp."	"Kincaid, 1900"	"http://dyntaxa.se/taxon/info/1006920"	"Dyntaxa"	"Arachnospila sp."
"49"	"Arachnospila"	"abnormis"	"(Dahlbom, 1842)"	"http://dyntaxa.se/taxon/info/100373"	"Dyntaxa"	"Arachnospila abnormis"
"50"	"Arachnospila"	"alvarabnormis"	"(Wolf, 1965)"	"http://dyntaxa.se/taxon/info/100374"	"Dyntaxa"	"Arachnospila alvarabnormis"
"51"	"Arachnospila"	"opinata"	"(Tournier, 1890)"	"http://dyntaxa.se/taxon/info/100376"	"Dyntaxa"	"Arachnospila opinata"
"52"	"Arachnospila"	"hedickei"	"(Haupt, 1929)"	"http://dyntaxa.se/taxon/info/100377"	"Dyntaxa"	"Arachnospila hedickei"
"53"	"Arachnospila"	"wesmaeli"	"(Thomson, 1870)"	"http://dyntaxa.se/taxon/info/100378"	"Dyntaxa"	"Arachnospila wesmaeli"
"54"	"Arachnospila"	"consobrina"	"(Dahlbom, 1843)"	"http://dyntaxa.se/taxon/info/102643"	"Dyntaxa"	"Arachnospila consobrina"
"55"	"Arachnospila"	"westerlundi"	"(Morawitz, 1893)"	"http://dyntaxa.se/taxon/info/102644"	"Dyntaxa"	"Arachnospila westerlundi"
"56"	"Arachnospila"	"anceps"	"(Wesmael, 1851)"	"http://dyntaxa.se/taxon/info/234194"	"Dyntaxa"	"Arachnospila anceps"
"57"	"Arachnospila"	"trivialis"	"(Dahlbom, 1843)"	"http://dyntaxa.se/taxon/info/234195"	"Dyntaxa"	"Arachnospila trivialis"
"58"	"Arachnospila"	"virgilabnormis"	"Wolf, 1976"	"http://dyntaxa.se/taxon/info/248764"	"Dyntaxa"	"Arachnospila virgilabnormis"
"59"	"Arachnospila"	"fuscomarginata"	"(Thomson, 1870)"	"http://dyntaxa.se/taxon/info/100375"	"Dyntaxa"	"Arachnospila fuscomarginata"
"60"	"Arachnospila"	"minutula"	"(Dahlbom, 1842)"	"http://dyntaxa.se/taxon/info/234196"	"Dyntaxa"	"Arachnospila minutula"
"61"	"Arachnospila"	"spissa"	"(Schiødte, 1837)"	"http://dyntaxa.se/taxon/info/234197"	"Dyntaxa"	"Arachnospila spissa"
"62"	"Arachnospila"	"fumipennis"	"(Zetterstedt, 1838)"	"http://dyntaxa.se/taxon/info/234191"	"Dyntaxa"	"Arachnospila fumipennis"
"63"	"Arachnospila"	"rufa"	"(Haupt, 1927)"	"http://dyntaxa.se/taxon/info/234192"	"Dyntaxa"	"Arachnospila rufa"
"64"	"Arachnospila"	"sogdiana"	"(Morawitz, 1893)"	"http://dyntaxa.se/taxon/info/234193"	"Dyntaxa"	"Arachnospila sogdiana"
"65"	"Entomobora"	"sp."	"Gistel, 1857"	"http://dyntaxa.se/taxon/info/1006924"	"Dyntaxa"	"Entomobora sp."
"66"	"Entomobora"	"crassitarsis"	"(Costa, 1887)"	"http://dyntaxa.se/taxon/info/100905"	"Dyntaxa"	"Entomobora crassitarsis"
"67"	"Episyron"	"sp."	"Schiødte, 1837"	"http://dyntaxa.se/taxon/info/1006925"	"Dyntaxa"	"Episyron sp."
"68"	"Episyron"	"albonotatum"	"(Vander Linden, 1827)"	"http://dyntaxa.se/taxon/info/100910"	"Dyntaxa"	"Episyron albonotatum"
"69"	"Episyron"	"gallicum"	"(Tournier, 1889)"	"http://dyntaxa.se/taxon/info/100911"	"Dyntaxa"	"Episyron gallicum"
