"Genus"	"Species"	"Author"	"GUID"	"Source"	"Taxon.name..computed."
"1"	"Megarhyssa"	"sp."	"Ashmead, 1900"	"https://www.dyntaxa.se/taxon/info/1014862"	"Dyntaxa"	"Megarhyssa sp."
"2"	"Megarhyssa"	"perlata"	"(Christ, 1791)"	"https://www.dyntaxa.se/taxon/info/256013"	"Dyntaxa"	"Megarhyssa perlata"
"3"	"Megarhyssa"	"rixator"	"(Schellenberg, 1802)"	"https://www.dyntaxa.se/taxon/info/256014"	"Dyntaxa"	"Megarhyssa rixator"
"4"	"Megarhyssa"	"superba"	"(Schrank, 1781)"	"https://www.dyntaxa.se/taxon/info/256015"	"Dyntaxa"	"Megarhyssa superba"
"5"	"Rhyssa"	"sp."	"Gravenhorst, 1829"	"https://www.dyntaxa.se/taxon/info/1014863"	"Dyntaxa"	"Rhyssa sp."
"6"	"Rhyssa"	"persuasoria"	"(Linnaeus, 1758)"	"https://www.dyntaxa.se/taxon/info/256016"	"Dyntaxa"	"Rhyssa persuasoria"
"7"	"Rhyssella"	"sp."	"Rohwer, 1920"	"https://www.dyntaxa.se/taxon/info/1014864"	"Dyntaxa"	"Rhyssella sp."
"8"	"Rhyssella"	"approximator"	"(Fabricius, 1793)"	"https://www.dyntaxa.se/taxon/info/256017"	"Dyntaxa"	"Rhyssella approximator"
"9"	"Rhyssella"	"obliterata"	"(Gravenhorst, 1829)"	"https://www.dyntaxa.se/taxon/info/256018"	"Dyntaxa"	"Rhyssella obliterata"
"10"	"Rhyssa"	"amoena"	"Gravenhorst 1829"	"http://www.faunaeur.org/full_results.php?id=330000"	"Fauna Europaea"	"Rhyssa amoena"
