"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Dichetophora"	"finlandica"	"Verbeke, 1964"	1	1	1574	"2005.viii.04"
"2"	"Euthycera"	"chaerophylli"	"(Fabricius, 1798)"	1	1	1574	"2005.viii.04"
"3"	"Pherbellia"	"pallidicarpa"	"(Rondani 1868)"	1	1	1574	"2005.viii.04"
"4"	"Pherbellia"	"rozkosnyi"	"Verbeke, 1967"	1	1	1574	"2005.viii.04"
"5"	"Hydromya"	"dorsalis"	"(Fabricius, 1775)"	1	5	353	"2004.v.18"
"6"	"Pherbellia"	"dubia"	"(Fallén, 1820)"	1	5	764	"2004.vi.16"
"7"	"Pherbellia"	"rozkosnyi"	"Verbeke, 1967"	2	5	768	"2004.viii.16"
"8"	"Ectinocera"	"borealis"	"Zetterstedt, 1838"	1	6	368	"2003.vi.17"
"9"	"Hydromya"	"dorsalis"	"(Fabricius, 1775)"	1	6	368	"2003.vi.17"
"10"	"Pherbellia"	"albocostata"	"(Fallén, 1820)"	1	6	368	"2003.vi.17"
"11"	"Renocera"	"pallida"	"(Fallén, 1820)"	1	6	368	"2003.vi.17"
"12"	"Renocera"	"stroblii"	"Hendel, 1900"	1	6	368	"2003.vi.17"
"13"	"Trypetoptera"	"punctulata"	"(Scopoli, 1763)"	1	6	368	"2003.vi.17"
"14"	"Trypetoptera"	"punctulata"	"(Scopoli, 1763)"	1	6	855	"2004.ix.20"
"15"	"Renocera"	"pallida"	"(Fallén, 1820)"	1	7	858	"2004.vi.27"
"16"	"Sepedon"	"sphegea"	"(Fabricius, 1775)"	1	7	386	"2003.xii.09"
"17"	"Sepedon"	"sphegea"	"(Fabricius, 1775)"	1	7	864	"2004.xi.01"
"18"	"Tetanocera"	"arrogans"	"Meigen, 1830"	1	7	858	"2004.vi.27"
"19"	"Tetanocera"	"elata"	"(Fabricius, 1781)"	4	7	379	"2003.vii.03"
"20"	"Tetanocera"	"elata"	"(Fabricius, 1781)"	15	7	858	"2004.vi.27"
"21"	"Tetanocera"	"phyllophora"	"Melander, 1920"	5	7	858	"2004.vi.27"
"22"	"Pherbellia"	"griseicollis"	"(Becker, 1900)"	1	8	393	"2003.viii.19"
"23"	"Renocera"	"stroblii"	"Hendel, 1900"	4	8	1602	"2005.vi.20"
"24"	"Tetanocera"	"sp."	"Duméril 1800"	2	8	1602	"2005.vi.20"
"25"	"Anticheta"	"analis"	"(Meigen, 1830)"	3	9	355	"2003.vi.18"
"26"	"Anticheta"	"analis"	"(Meigen, 1830)"	4	9	1610	"2005.vi.24"
"27"	"Anticheta"	"atriseta"	"(Loew, 1849)"	1	9	355	"2003.vi.18"
"28"	"Anticheta"	"atriseta"	"(Loew, 1849)"	2	9	1610	"2005.vi.24"
"29"	"Anticheta"	"brevipennis"	"(Zetterstedt, 1846)"	1	9	355	"2003.vi.18"
"30"	"Anticheta"	"brevipennis"	"(Zetterstedt, 1846)"	3	9	1610	"2005.vi.24"
"31"	"Anticheta"	"brevipennis"	"(Zetterstedt, 1846)"	1	9	1611	"2005.vii.16"
"32"	"Colobaea"	"bifasciella"	"(Fallén, 1820)"	1	9	355	"2003.vi.18"
"33"	"Colobaea"	"bifasciella"	"(Fallén, 1820)"	1	9	1610	"2005.vi.24"
"34"	"Colobaea"	"bifasciella"	"(Fallén, 1820)"	3	9	1611	"2005.vii.16"
"35"	"Elgiva"	"cucularia"	"(Linnaeus, 1767)"	4	9	355	"2003.vi.18"
"36"	"Elgiva"	"cucularia"	"(Linnaeus, 1767)"	2	9	1606	"2005.v.01"
"37"	"Hydromya"	"dorsalis"	"(Fabricius, 1775)"	2	9	355	"2003.vi.18"
"38"	"Hydromya"	"dorsalis"	"(Fabricius, 1775)"	4	9	1606	"2005.v.01"
"39"	"Hydromya"	"dorsalis"	"(Fabricius, 1775)"	2	9	1609	"2005.vi.11"
"40"	"Hydromya"	"dorsalis"	"(Fabricius, 1775)"	1	9	1611	"2005.vii.16"
