"Genus"	"Species"	"Author"	"GUID"	"Notes..errors..synonyms..undescribed.etc."	"Source"	"Taxon.name..computed."
"1"	"Anticheta"	"sp."	"Haliday 1838"	"urn:lsid:faunaeur.org:taxname:404897"	"Fauna Europaea"	"Dyntaxa"	"Anticheta sp."
"2"	"Anticheta"	"analis"	"(Meigen, 1830)"	"http://dyntaxa.se/taxon/info/241757"	"Dyntaxa"	"Dyntaxa"	"Anticheta analis"
"3"	"Anticheta"	"atriseta"	"(Loew, 1849)"	"http://dyntaxa.se/taxon/info/241758"	"Dyntaxa"	NA	"Anticheta atriseta"
"4"	"Anticheta"	"brevipennis"	"(Zetterstedt, 1846)"	"http://dyntaxa.se/taxon/info/241759"	"Dyntaxa"	NA	"Anticheta brevipennis"
"5"	"Anticheta"	"nigra"	"Karl, 1921"	"http://dyntaxa.se/taxon/info/241760"	"Dyntaxa"	NA	"Anticheta nigra"
"6"	"Anticheta"	"obliviosa"	"Enderlein, 1939"	"http://dyntaxa.se/taxon/info/241761"	"Dyntaxa"	NA	"Anticheta obliviosa"
"7"	"Colobaea"	"sp."	"Zetterstedt 1837"	"urn:lsid:faunaeur.org:taxname:404906"	"Fauna Europaea"	NA	"Colobaea sp."
"8"	"Colobaea"	"bifasciella"	"(Fallén, 1820)"	"http://dyntaxa.se/taxon/info/241762"	"Dyntaxa"	NA	"Colobaea bifasciella"
"9"	"Colobaea"	"distincta"	"(Meigen, 1830)"	"http://dyntaxa.se/taxon/info/241763"	"Dyntaxa"	NA	"Colobaea distincta"
"10"	"Colobaea"	"nigroaristata"	"Rozkosný, 1984"	"http://dyntaxa.se/taxon/info/241764"	"Dyntaxa"	NA	"Colobaea nigroaristata"
"11"	"Colobaea"	"pectoralis"	"(Zetterstedt, 1847)"	"http://dyntaxa.se/taxon/info/241765"	"Dyntaxa"	NA	"Colobaea pectoralis"
"12"	"Colobaea"	"punctata"	"(Lundbeck, 1923)"	"http://dyntaxa.se/taxon/info/241766"	"Dyntaxa"	NA	"Colobaea punctata"
"13"	"Coremacera"	"sp."	"Rondani 1856"	"urn:lsid:faunaeur.org:taxname:404916"	"Fauna Europaea"	NA	"Coremacera sp."
"14"	"Coremacera"	"fabricii"	"Rozkosný, 1981"	"http://dyntaxa.se/taxon/info/241767"	"Dyntaxa"	NA	"Coremacera fabricii"
"15"	"Coremacera"	"marginata"	"(Fabricius, 1775)"	"http://dyntaxa.se/taxon/info/241768"	"Dyntaxa"	NA	"Coremacera marginata"
"16"	"Dichetophora"	"sp."	"Rondani 1868"	"urn:lsid:faunaeur.org:taxname:404932"	"Fauna Europaea"	NA	"Dichetophora sp."
"17"	"Dichetophora"	"finlandica"	"Verbeke, 1964"	"http://dyntaxa.se/taxon/info/241769"	"Dyntaxa"	NA	"Dichetophora finlandica"
"18"	"Dictya"	"sp."	"Meigen 1803"	"urn:lsid:faunaeur.org:taxname:63083"	"Fauna Europaea"	NA	"Dictya sp."
"19"	"Dictya"	"umbrarum"	"(Linnaeus, 1758)"	"http://dyntaxa.se/taxon/info/241771"	"Dyntaxa"	NA	"Dictya umbrarum"
