"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Meroplius"	"fukuharai"	"(Iwasa, 1984)"	4	2003	2037	"2006.viii.14"
"2"	"Meroplius"	"fukuharai"	"(Iwasa, 1984)"	27	2003	2036	"2006.vii.24"
"3"	"Nemopoda"	"sp."	"Robineau-Desvoidy 1830"	4	2003	2031	"2006.iii.01"
"4"	"Nemopoda"	"sp."	"Robineau-Desvoidy 1830"	165	2003	2036	"2006.vii.24"
"5"	"Nemopoda"	"nitidula"	"(Fallén, 1820)"	3	5	353	"2004.v.18"
"6"	"Nemopoda"	"nitidula"	"(Fallén, 1820)"	1	5	764	"2004.vi.16"
"7"	"Nemopoda"	"nitidula"	"(Fallén, 1820)"	1	5	765	"2004.vi.30"
"8"	"Nemopoda"	"nitidula"	"(Fallén, 1820)"	3	5	768	"2004.viii.16"
"9"	"Nemopoda"	"nitidula"	"(Fallén, 1820)"	1	10	1625	"2005.viii.01"
"10"	"Nemopoda"	"nitidula"	"(Fallén, 1820)"	5	25	450	"2003.vi.29"
"11"	"Nemopoda"	"nitidula"	"(Fallén, 1820)"	1	25	451	"2003.vii.22"
"12"	"Nemopoda"	"nitidula"	"(Fallén, 1820)"	1	30	1055	"2004.vii.03"
"13"	"Nemopoda"	"nitidula"	"(Fallén, 1820)"	1	35	1787	"2005.v.25"
"14"	"Nemopoda"	"nitidula"	"(Fallén, 1820)"	1	35	1792	"2005.viii.04"
"15"	"Nemopoda"	"nitidula"	"(Fallén, 1820)"	1	42	646	"2003.ix.10"
"16"	"Nemopoda"	"nitidula"	"(Fallén, 1820)"	1	46	1199	"2004.vi.28"
"17"	"Nemopoda"	"nitidula"	"(Fallén, 1820)"	1	1001	1728	"2006.v.18"
"18"	"Nemopoda"	"nitidula"	"(Fallén, 1820)"	1	1002	1380	"2005.viii.24"
"19"	"Nemopoda"	"nitidula"	"(Fallén, 1820)"	1	1004	1899	"2005.ix.20"
"20"	"Nemopoda"	"nitidula"	"(Fallén, 1820)"	2	1008	1745	"2006.vii.28"
"21"	"Nemopoda"	"nitidula"	"(Fallén, 1820)"	1	2003	2034	"2006.vi.29 "
