"Genus"	"Species"	"Author"	"GUID"	"Source"	"Taxon.name..computed."
"1"	"Meroplius"	"sp."	"Rondani, 1874"	"http://dyntaxa.se/taxon/info/1011228"	"Dyntaxa"	"Meroplius sp."
"2"	"Meroplius"	"fukuharai"	"(Iwasa, 1984)"	"http://dyntaxa.se/taxon/info/241841"	"Dyntaxa"	"Meroplius fukuharai"
"3"	"Meroplius"	"minutus"	"(Wiedemann, 1830)"	"http://dyntaxa.se/taxon/info/241842"	"Dyntaxa"	"Meroplius minutus"
"4"	"Nemopoda"	"sp."	"Robineau-Desvoidy 1830"	"urn:lsid:faunaeur.org:taxname:64290"	"Fauna Europaea"	"Nemopoda sp."
"5"	"Nemopoda"	"nitidula"	"(Fallén, 1820)"	"http://dyntaxa.se/taxon/info/241843"	"Dyntaxa"	"Nemopoda nitidula"
"6"	"Nemopoda"	"pectinulata"	"Loew, 1873"	"http://dyntaxa.se/taxon/info/241844"	"Dyntaxa"	"Nemopoda pectinulata"
"7"	"Nemopoda"	"speiseri"	"(Duda, 1926)"	"http://dyntaxa.se/taxon/info/241845"	"Dyntaxa"	"Nemopoda speiseri"
"8"	"Ortalischema"	"sp."	NA	"http://dyntaxa.se/taxon/info/1011230"	"Dyntaxa"	"Ortalischema sp."
"9"	"Ortalischema"	"albitarse"	"(Zetterstedt, 1847)"	"http://dyntaxa.se/taxon/info/241846"	"Dyntaxa"	"Ortalischema albitarse"
"10"	"Orygma"	"sp."	"Meigen 1803"	"urn:lsid:faunaeur.org:taxname:64322"	"Fauna Europaea"	"Orygma sp."
"11"	"Orygma"	"luctuosum"	"Meigen, 1830"	"http://dyntaxa.se/taxon/info/241847"	"Dyntaxa"	"Orygma luctuosum"
"12"	"Saltella"	"sp."	"Robineau-Desvoidy 1830"	"urn:lsid:faunaeur.org:taxname:64295"	"Fauna Europaea"	"Saltella sp."
"13"	"Saltella"	"sphondylii"	"(Schrank, 1803)"	"http://dyntaxa.se/taxon/info/241848"	"Dyntaxa"	"Saltella sphondylii"
"14"	"Sepsis"	"sp."	"Fallen 1810"	"urn:lsid:faunaeur.org:taxname:64261"	"Fauna Europaea"	"Sepsis sp."
"15"	"Sepsis"	"biflexuosa"	"Strobl, 1893"	"http://dyntaxa.se/taxon/info/241849"	"Dyntaxa"	"Sepsis biflexuosa"
"16"	"Sepsis"	"cynipsea"	"(Linnaeus, 1758)"	"http://dyntaxa.se/taxon/info/241850"	"Dyntaxa"	"Sepsis cynipsea"
"17"	"Sepsis"	"duplicata"	"Haliday, 1838"	"http://dyntaxa.se/taxon/info/241851"	"Dyntaxa"	"Sepsis duplicata"
"18"	"Sepsis"	"flavimana"	"Meigen, 1826"	"http://dyntaxa.se/taxon/info/241852"	"Dyntaxa"	"Sepsis flavimana"
"19"	"Sepsis"	"fulgens"	"Meigen, 1826"	"http://dyntaxa.se/taxon/info/241853"	"Dyntaxa"	"Sepsis fulgens"
"20"	"Sepsis"	"luteipes"	"Melander & Spuler, 1917"	"http://dyntaxa.se/taxon/info/241854"	"Dyntaxa"	"Sepsis luteipes"
"21"	"Sepsis"	"nigripes"	"Meigen, 1826"	"http://dyntaxa.se/taxon/info/241855"	"Dyntaxa"	"Sepsis nigripes"
"22"	"Sepsis"	"orthocnemis"	"Frey, 1908"	"http://dyntaxa.se/taxon/info/241856"	"Dyntaxa"	"Sepsis orthocnemis"
"23"	"Sepsis"	"punctum"	"(Fabricius, 1794)"	"http://dyntaxa.se/taxon/info/241857"	"Dyntaxa"	"Sepsis punctum"
"24"	"Sepsis"	"setulosa"	"(Duda, 1926)"	"http://dyntaxa.se/taxon/info/241858"	"Dyntaxa"	"Sepsis setulosa"
