"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Halictophagus"	"sp 1"	"sp. indet."	1	2	81	"2003.vi.08"
"2"	"Halictophagus"	"sp 1"	"sp. indet."	1	38	601	"2004.v.27"
"3"	"Halictophagus"	"sp 1"	"sp. indet."	1	41	1777	"2005.vi.05"
"4"	"Halictophagus"	"sp 1"	"sp. indet."	5	41	643	"2004.v.19"
"5"	"Halictophagus"	"sp 1"	"sp. indet."	1	41	1775	"2005.v.07"
"6"	"Halictophagus"	"sp 1"	"sp. indet."	2	41	1776	"2005.v.21"
"7"	"Elenchus"	"tenuicornis"	"(Kirby, 1815)"	3	31	507	"2003.ix.05"
"8"	"Elenchus"	"tenuicornis"	"(Kirby, 1815)"	4	31	1546	"2005.vi.23"
"9"	"Elenchus"	"tenuicornis"	"(Kirby, 1815)"	1	31	1550	"2005.ix.05"
"10"	"Elenchus"	"tenuicornis"	"(Kirby, 1815)"	1	34	1096	"2004.viii.20"
"11"	"Elenchus"	"tenuicornis"	"(Kirby, 1815)"	1	35	1721	"2005.viii.30"
"12"	"Elenchus"	"tenuicornis"	"(Kirby, 1815)"	1	31	506	"2003.viii.21"
"13"	"Elenchus"	"tenuicornis"	"(Kirby, 1815)"	3	12	177	"2003.viii.09"
"14"	"Elenchus"	"tenuicornis"	"(Kirby, 1815)"	1	1008	1738	"2006.vi.16"
"15"	"Elenchus"	"tenuicornis"	"(Kirby, 1815)"	1	35	1100	"2004.vi.25"
"16"	"Elenchus"	"tenuicornis"	"(Kirby, 1815)"	1	35	560	"2004.v.20"
"17"	"Elenchus"	"tenuicornis"	"(Kirby, 1815)"	2	1004	1797	"2005.vi.27"
"18"	"Elenchus"	"tenuicornis"	"(Kirby, 1815)"	9	2046	2052	"2008.vi.01"
"19"	"Elenchus"	"tenuicornis"	"(Kirby, 1815)"	17	12	892	"2004.vii.17"
"20"	"Elenchus"	"tenuicornis"	"(Kirby, 1815)"	2	9	356	"2003.vii.06"
"21"	"Elenchus"	"tenuicornis"	"(Kirby, 1815)"	1	26	1681	"2004.vii.15"
"22"	"Elenchus"	"tenuicornis"	"(Kirby, 1815)"	2	2046	2057	"2008.viii.16"
"23"	"Elenchus"	"tenuicornis"	"(Kirby, 1815)"	1	1008	1345	"2005.vii.05"
"24"	"Elenchus"	"tenuicornis"	"(Kirby, 1815)"	1	17	1516	"2005.vii.01"
"25"	"Elenchus"	"tenuicornis"	"(Kirby, 1815)"	1	1008	1339	"2005.vi.05"
"26"	"Elenchus"	"tenuicornis"	"(Kirby, 1815)"	3	9	355	"2003.vi.18"
"27"	"Elenchus"	"tenuicornis"	"(Kirby, 1815)"	1	22	1363	"2005.viii.01"
