"Genus"	"Species"	"Author"	"GUID"	"Source"	"Notes..errors..synonyms..undescribed.etc."	"Taxon.name..computed."
"1"	"Halictophagus"	"sp 1"	"sp indet"	NA	"SMTP taxonomist"	"probably H. silwoodensis"	"Halictophagus sp 1"
"2"	"Malayaxenos"	"trapezonoti"	"Pohl & Melber, 1996"	"urn:lsid:faunaeur.org:taxname:170813"	"Fauna Europaea"	NA	"Malayaxenos trapezonoti"
"3"	"Elenchus"	"tenuicornis"	"(Kirby, 1815)"	"urn:lsid:faunaeur.org:taxname:170832"	"Fauna Europaea"	NA	"Elenchus tenuicornis"
"4"	"Halictophagus"	"agalliae"	"Abdul-Nour, 1969"	"urn:lsid:faunaeur.org:taxname:170824"	"Fauna Europaea"	NA	"Halictophagus agalliae"
"5"	"Halictophagus"	"curtisi"	"Dale, 1832"	"urn:lsid:faunaeur.org:taxname:170825"	"Fauna Europaea"	NA	"Halictophagus curtisi"
"6"	"Halictophagus"	"kuehnelti"	"Hofeneder, 1949"	"urn:lsid:faunaeur.org:taxname:170826"	"Fauna Europaea"	NA	"Halictophagus kuehnelti"
"7"	"Halictophagus"	"languedoci"	"Abdul-Nour, 1969"	"urn:lsid:faunaeur.org:taxname:170827"	"Fauna Europaea"	NA	"Halictophagus languedoci"
"8"	"Halictophagus"	"silwoodensis"	" Waloff, 1981"	"urn:lsid:faunaeur.org:taxname:170828"	"Fauna Europaea"	NA	"Halictophagus silwoodensis"
"9"	"Halictophagus"	"tettigometrae"	"Silvestri, 1934"	"urn:lsid:faunaeur.org:taxname:170829"	"Fauna Europaea"	NA	"Halictophagus tettigometrae"
"10"	"Stenocranophilus"	"anomalocerus"	"(Pierce, 1918)"	"urn:lsid:faunaeur.org:taxname:170821"	"Fauna Europaea"	NA	"Stenocranophilus anomalocerus"
"11"	"Stenocranophilus"	"quadratus"	"Pierce, 1914"	"urn:lsid:faunaeur.org:taxname:170822"	"Fauna Europaea"	NA	"Stenocranophilus quadratus"
"12"	"Tridactylophagus"	"harzi"	"Kinzelbach, 1971"	"urn:lsid:faunaeur.org:taxname:170816"	"Fauna Europaea"	NA	"Tridactylophagus harzi"
"13"	"Eoxenos"	"laboulbenei"	"de Peyerimhoff, 1919"	"urn:lsid:faunaeur.org:taxname:170807"	"Fauna Europaea"	NA	"Eoxenos laboulbenei"
"14"	"Mengenilla"	"chobauti"	"Hofeneder, 1910"	"urn:lsid:faunaeur.org:taxname:170809"	"Fauna Europaea"	NA	"Mengenilla chobauti"
"15"	"Mengenilla"	"parvula"	"Silvestri, 1941"	"urn:lsid:faunaeur.org:taxname:170810"	"Fauna Europaea"	NA	"Mengenilla parvula"
"16"	"Lychnocolax"	"hispanicus"	"Kathirithamby & Kifune, 1991"	"urn:lsid:faunaeur.org:taxname:170834"	"Fauna Europaea"	NA	"Lychnocolax hispanicus"
"17"	"Crawfordia"	"labiata"	"Ogloblin, 1924"	"urn:lsid:faunaeur.org:taxname:170861"	"Fauna Europaea"	NA	"Crawfordia labiata"
"18"	"Eurystylops"	"oenipontana"	"Hofeneder, 1949"	"urn:lsid:faunaeur.org:taxname:170859"	"Fauna Europaea"	NA	"Eurystylops oenipontana"
"19"	"Halictoxenos"	"arnoldi"	"Perkins, 1918"	"urn:lsid:faunaeur.org:taxname:170855"	"Fauna Europaea"	NA	"Halictoxenos arnoldi"
"20"	"Halictoxenos"	"spencei"	"Nassonow, 1893"	"urn:lsid:faunaeur.org:taxname:170856"	"Fauna Europaea"	NA	"Halictoxenos spencei"
"21"	"Halictoxenos"	"tumulorum"	" Perkins, 1918"	"urn:lsid:faunaeur.org:taxname:170857"	"Fauna Europaea"	NA	"Halictoxenos tumulorum"
"22"	"Hylecthrus"	"rubi"	"Saunders, 1850"	"urn:lsid:faunaeur.org:taxname:170863"	"Fauna Europaea"	NA	"Hylecthrus rubi"
"23"	"Stylops"	"melittae"	"Kirby, 1802"	"urn:lsid:faunaeur.org:taxname:170853"	"Fauna Europaea"	NA	"Stylops melittae"
"24"	"Ulrichia"	"friesei"	"(Hofeneder, 1949)"	"urn:lsid:faunaeur.org:taxname:170852"	"Fauna Europaea"	NA	"Ulrichia friesei"
"25"	"Paraxenos"	"erberi"	"Saunders, 1872"	"urn:lsid:faunaeur.org:taxname:170846"	"Fauna Europaea"	NA	"Paraxenos erberi"
"26"	"Paraxenos"	"hofenederi"	"(Pasteels, 1956)"	"urn:lsid:faunaeur.org:taxname:170847"	"Fauna Europaea"	NA	"Paraxenos hofenederi"
"27"	"Paraxenos"	"hungaricus"	"(Szekessy, 1955)"	"urn:lsid:faunaeur.org:taxname:170848"	"Fauna Europaea"	NA	"Paraxenos hungaricus"
"28"	"Paraxenos"	"sphecidarum"	"(Dufour, 1837)"	"urn:lsid:faunaeur.org:taxname:170849"	"Fauna Europaea"	NA	"Paraxenos sphecidarum"
"29"	"Pseudoxenos"	"heydeni"	"(Saunders, 1852)"	"urn:lsid:faunaeur.org:taxname:170840"	"Fauna Europaea"	NA	"Pseudoxenos heydeni"
"30"	"Xenos"	"minor"	"Kinzelbach, 1971"	"urn:lsid:faunaeur.org:taxname:170837"	"Fauna Europaea"	NA	"Xenos minor"
"31"	"Xenos"	"vesparum"	"Rossius, 1793"	"urn:lsid:faunaeur.org:taxname:170838"	"Fauna Europaea"	NA	"Xenos vesparum"
"32"	"Stylops"	"sp."	"Kirby 1802"	"urn:lsid:faunaeur.org:taxname:170831"	"Fauna Europaea"	NA	"Stylops sp."
