"Genus"	"Species"	"Author"	"GUID"	"Notes..errors..synonyms..undescribed.etc."	"Source"	"Taxon.name..computed."
"1"	"Stylops"	"sp."	"Kirby, 1802"	"https://www.dyntaxa.se/taxon/info/6005265"	NA	"Dyntaxa"	"Stylops sp."
"2"	"Stylops"	"melittae"	"Kirby, 1802"	"https://www.dyntaxa.se/taxon/info/6005266"	NA	"Dyntaxa"	"Stylops melittae"
"3"	"Neostylops"	"sp."	"Pierce, 1918"	"https://www.dyntaxa.se/taxon/info/6005267"	NA	"Dyntaxa"	"Neostylops sp."
"4"	"Halictoxenos"	"sp."	"Pierce, 1908"	"https://www.dyntaxa.se/taxon/info/6005271"	NA	"Dyntaxa"	"Halictoxenos sp."
"5"	"Halictoxenos"	"nitidiusculus"	"Ogloblin, 1924"	"https://www.dyntaxa.se/taxon/info/6005272"	NA	"Dyntaxa"	"Halictoxenos nitidiusculus"
"6"	"Halictoxenos"	"spencei"	"Nassonov, 1893"	"https://www.dyntaxa.se/taxon/info/6005274"	NA	"Dyntaxa"	"Halictoxenos spencei"
"7"	"Halictoxenos"	"tumulorum"	"Perkins, 1918"	"https://www.dyntaxa.se/taxon/info/6005275"	NA	"Dyntaxa"	"Halictoxenos tumulorum"
"8"	"Halictophagus"	"sp."	"Dale, 1832"	"https://www.dyntaxa.se/taxon/info/6005283"	NA	"Dyntaxa"	"Halictophagus sp."
"9"	"Halictophagus"	"silwoodensis"	"Waloff, 1981"	"https://www.dyntaxa.se/taxon/info/6005284"	NA	"Dyntaxa"	"Halictophagus silwoodensis"
"10"	"Halictophagus"	"curtisii"	"Dale, 1832"	"https://www.dyntaxa.se/taxon/info/6005285"	NA	"Dyntaxa"	"Halictophagus curtisii"
"11"	"Stenocranophilus"	"sp."	"Pierce, 1914"	"https://www.dyntaxa.se/taxon/info/6005286"	NA	"Dyntaxa"	"Stenocranophilus sp."
"12"	"Stenocranophilus"	"anomalocerus"	"(Pierce, 1918)"	"https://www.dyntaxa.se/taxon/info/6005287"	NA	"Dyntaxa"	"Stenocranophilus anomalocerus"
"13"	"Elenchus"	"sp."	"Curtis, 1831"	"https://www.dyntaxa.se/taxon/info/6005288"	NA	"Dyntaxa"	"Elenchus sp."
"14"	"Elenchus"	"tenuicornis"	"(Kirby, 1815)"	"https://www.dyntaxa.se/taxon/info/6005289"	NA	"Dyntaxa"	"Elenchus tenuicornis"
"15"	"Xenidae"	"sp."	"Pierce, 1908"	"https://www.dyntaxa.se/taxon/info/6005276"	NA	"Dyntaxa"	"Xenidae sp."
"16"	"Xenos"	"sp."	"Rossius, 1793"	"https://www.dyntaxa.se/taxon/info/6005278"	NA	"Dyntaxa"	"Xenos sp."
"17"	"Xenos"	"vesparum"	"Rossius, 1793"	"https://www.dyntaxa.se/taxon/info/6005279"	NA	"Dyntaxa"	"Xenos vesparum"
"18"	"Paraxenos"	"sp."	"Saunders, 1872"	"https://www.dyntaxa.se/taxon/info/6005281"	NA	"Dyntaxa"	"Paraxenos sp."
"19"	"Paraxenos"	"sphecidarum"	"(Dufour, 1837)"	"https://www.dyntaxa.se/taxon/info/6005282"	NA	"Dyntaxa"	"Paraxenos sphecidarum"
"20"	"Halictophagus"	"sp 1"	"sp indet"	NA	"probably H silwoodensis"	"SMTP taxonomist"	"Halictophagus sp 1"
