"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Abia"	"fasciata"	"(Linnaeus, 1758)"	1	27	466	"2003.vii.07"
"2"	"Aglaostigma"	"gibbosum"	"(Fallén, 1808)"	1	37	831	"2004.v.20"
"3"	"Ametastegia"	"pallipes"	"(Spinola, 1808)"	1	28	1459	"2004.viii.02"
"4"	"Ametastegia"	"perla"	"(Klug, 1818)"	1	7	1591	"2005.vi.14"
"5"	"Aneugmenus"	"coronatus"	"(Klug, 1818)"	1	39	1804	"2005.vii.06"
"6"	"Arge"	"ciliaris"	"(Linnaeus, 1767)"	1	9	355	"2003.vi.18"
"7"	"Arge"	"ciliaris"	"(Linnaeus, 1767)"	1	58	755	"2004.v.28"
"8"	"Arge"	"ciliaris"	"(Linnaeus, 1767)"	1	13	910	"2004.vi.08"
"9"	"Arge"	"dimidiata"	"(Fallén, 1808)"	1	31	1545	"2005.v.26"
"10"	"Arge"	"gracilicornis"	"(Klug, 1814)"	1	1000	1325	"2005.vii.18"
"11"	"Arge"	"gracilicornis"	"(Klug, 1814)"	2	1004	1898	"2005.viii.09"
"12"	"Arge"	"nigripes"	"(Retzius, 1783)"	1	22	1313	"2005.vi.01"
"13"	"Arge"	"pagana"	"(Panzer, 1797)"	2	1001	1332	"2005.vii.02"
"14"	"Arge"	"pagana"	"(Panzer, 1797)"	1	1008	1742	"2006.vii.10"
"15"	"Arge"	"ustulata"	"(Linnaeus, 1758)"	1	6	370	"2003.vii.29"
"16"	"Arge"	"ustulata"	"(Linnaeus, 1758)"	1	1000	1325	"2005.vii.18"
"17"	"Arge"	"ustulata"	"(Linnaeus, 1758)"	1	1008	1337	"2005.v.25"
"18"	"Arge"	"ustulata"	"(Linnaeus, 1758)"	1	1008	1338	"2005.v.30"
"19"	"Arge"	"ustulata"	"(Linnaeus, 1758)"	1	1001	1354	"2005.viii.02"
"20"	"Arge"	"ustulata"	"(Linnaeus, 1758)"	1	24	1672	"2005.iv.30"
"21"	"Arge"	"ustulata"	"(Linnaeus, 1758)"	1	43	1908	"2005.vi.29"
"22"	"Arge"	"ustulata"	"(Linnaeus, 1758)"	1	2003	2034	"2006.vi.29 "
"23"	"Calameuta"	"filiformis"	"(Eversmann, 1847)"	2	12	69	"2003.vi.24"
"24"	"Calameuta"	"filiformis"	"(Eversmann, 1847)"	2	12	891	"2004.vi.27"
"25"	"Calameuta"	"filiformis"	"(Eversmann, 1847)"	1	22	1729	"2006.vi.28"
"26"	"Calameuta"	"pallipes"	"(Klug, 1803)"	2	22	1313	"2005.vi.01"
"27"	"Cephalcia"	"abietis"	"(Linnaeus, 1758)"	1	47	1954	"2005.vi.15"
"28"	"Cephalcia"	"alpina"	"(Klug, 1808)"	1	44	675	"2004.v.05"
"29"	"Cephalcia"	"alpina"	"(Klug, 1808)"	2	30	1716	"2004.x.28"
"30"	"Cephalcia"	"pallidula"	"(Gussakovskij, 1935)"	1	4	807	"2004.iv.28"
"31"	"Cephus"	"nigrinus"	"Thomson, 1871"	1	7	387	"2004.iv.20"
"32"	"Cephus"	"nigrinus"	"Thomson, 1871"	1	9	1610	"2005.vi.24"
"33"	"Cephus"	"spinipes"	"(Panzer, 1800)"	1	22	1313	"2005.vi.01"
"34"	"Cimbex"	"connatus"	"(Schrank, 1776)"	1	44	1186	"2004.vii.05"
"35"	"Cladius"	"brullei"	"(Dahlbom, 1835)"	1	9	355	"2003.vi.18"
"36"	"Cladius"	"brullei"	"(Dahlbom, 1835)"	2	6	370	"2003.vii.29"
"37"	"Cladius"	"compressicornis"	"(Fabricius, 1804)"	3	6	368	"2003.vi.17"
"38"	"Cladius"	"pectinicornis"	"(Geoffroy, 1785)"	14	6	368	"2003.vi.17"
"39"	"Cladius"	"pectinicornis"	"(Geoffroy, 1785)"	3	6	369	"2003.vii.02"
"40"	"Cladius"	"pectinicornis"	"(Geoffroy, 1785)"	4	6	370	"2003.vii.29"
"41"	"Cladius"	"pectinicornis"	"(Geoffroy, 1785)"	5	3	801	"2004.ix.07"
"42"	"Cladius"	"pectinicornis"	"(Geoffroy, 1785)"	2	6	852	"2004.vii.26"
"43"	"Cladius"	"rufipes"	"Audinet-Serville, 1823"	1	1	80	"2003.vii..02"
"44"	"Dineura"	"pullior"	"Schmidt & Walter, 1995"	1	46	1945	"2005.vi.27"
"45"	"Dineura"	"stilata"	"(Klug, 1816)"	1	22	1313	"2005.vi.01"
"46"	"Dineura"	"stilata"	"(Klug, 1816)"	1	22	1725	"2006.v.20"
"47"	"Dineura"	"stilata"	"(Klug, 1816)"	1	2046	2051	"2008.v.01"
"48"	"Dineura"	"virididorsata"	"(Retzius, 1783)"	1	11	417	"2003.x.25"
