"Genus"	"Species"	"Author"	"GUID"	"Notes..errors..synonyms..undescribed.etc."	"Source"	"Taxon.name..computed."
"1"	"Xyelidae"	"sp."	"Newman, 1834"	"https://www.dyntaxa.se/taxon/info/2001121"	NA	"Dyntaxa"	"Xyelidae sp."
"2"	"Pleroneura"	"sp."	"Konow, 1897"	"https://www.dyntaxa.se/taxon/info/1009410"	NA	"Dyntaxa"	"Pleroneura sp."
"3"	"Pleroneura"	"coniferarum"	"(Hartig, 1837)"	"https://www.dyntaxa.se/taxon/info/233652"	NA	"Dyntaxa"	"Pleroneura coniferarum"
"4"	"Pleroneura"	"dahlii"	"(Hartig, 1837)"	"https://www.dyntaxa.se/taxon/info/233653"	NA	"Dyntaxa"	"Pleroneura dahlii"
"5"	"Xyela"	"sp."	"Dalman, 1819"	"https://www.dyntaxa.se/taxon/info/1009411"	NA	"Dyntaxa"	"Xyela sp."
"6"	"Xyela"	"julii"	"(Brébisson, 1818)"	"https://www.dyntaxa.se/taxon/info/233632"	NA	"Dyntaxa"	"Xyela julii"
"7"	"Xyela"	"longula"	"Dalman, 1819"	"https://www.dyntaxa.se/taxon/info/233651"	NA	"Dyntaxa"	"Xyela longula"
"8"	"Pamphiliidae"	"sp."	"Cameron, 1890"	"https://www.dyntaxa.se/taxon/info/2001126"	NA	"Dyntaxa"	"Pamphiliidae sp."
"9"	"Caenolyda"	"sp."	"Konow, 1897"	"https://www.dyntaxa.se/taxon/info/1009420"	NA	"Dyntaxa"	"Caenolyda sp."
"10"	"Caenolyda"	"reticulata"	"(Linnaeus, 1758)"	"https://www.dyntaxa.se/taxon/info/233657"	NA	"Dyntaxa"	"Caenolyda reticulata"
"11"	"Acantholyda"	"sp."	"Costa, 1894"	"https://www.dyntaxa.se/taxon/info/1009421"	NA	"Dyntaxa"	"Acantholyda sp."
"12"	"Acantholyda"	"hieroglyphica"	"(Christ, 1791)"	"https://www.dyntaxa.se/taxon/info/233660"	NA	"Dyntaxa"	"Acantholyda hieroglyphica"
"13"	"Acantholyda"	"posticalis"	"(Matsumura, 1912)"	"https://www.dyntaxa.se/taxon/info/233661"	NA	"Dyntaxa"	"Acantholyda posticalis"
"14"	"Acantholyda"	"laricis"	"(Giraud, 1861)"	"https://www.dyntaxa.se/taxon/info/233662"	NA	"Dyntaxa"	"Acantholyda laricis"
"15"	"Acantholyda"	"erythrocephala"	"(Linnaeus, 1758)"	"https://www.dyntaxa.se/taxon/info/233658"	NA	"Dyntaxa"	"Acantholyda erythrocephala"
"16"	"Acantholyda"	"flaviceps"	"(Retzius, 1783)"	"https://www.dyntaxa.se/taxon/info/233659"	NA	"Dyntaxa"	"Acantholyda flaviceps"
"17"	"Cephalcia"	"sp."	"Panzer, 1803"	"https://www.dyntaxa.se/taxon/info/1009423"	NA	"Dyntaxa"	"Cephalcia sp."
