"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Didea"	"intermedia"	"Loew, 1854"	2	24	816	"1899-12-30"
"2"	"Melanostoma"	"scalare"	"(Fabricius, 1794)"	1	24	816	"1899-12-30"
"3"	"Sphaerophoria"	"sp."	"Lepeletier & Serville, 1828"	2	24	816	"1899-12-30"
"4"	"Anasimyia"	"lineata"	"(Fabricius, 1787)"	1	24	816	"1899-12-30"
"5"	"Syrphus"	"ribesii"	"(Linnaeus, 1758)"	5	24	816	"1899-12-30"
"6"	"Parasyrphus"	"malinellus"	"(Collin, 1952)"	1	24	816	"1899-12-30"
"7"	"Xylota"	"meigeniana"	"Stackelberg, 1964"	1	24	816	"1899-12-30"
"8"	"Volucella"	"pellucens"	"(Linnaeus, 1758)"	1	24	816	"1899-12-30"
"9"	"Sphegina"	"clunipes"	"(Fallén, 1816)"	1	24	816	"1899-12-30"
"10"	"Chalcosyrphus"	"nemorum"	"(Fabricius, 1805)"	1	24	816	"1899-12-30"
"11"	"Parasyrphus"	"lineolus"	"(Zetterstedt, 1843)"	1	24	816	"1899-12-30"
"12"	"Platycheirus"	"albimanus"	"(Fabricius, 1781)"	1	24	816	"1899-12-30"
"13"	"Sericomyia"	"silentis"	"(Harris, 1776)"	1	24	817	"1899-12-30"
"14"	"Orthonevra"	"intermedia"	"(Lundbeck, 1916)"	1	24	817	"1899-12-30"
"15"	"Platycheirus"	"clypeatus"	"(Meigen, 1822)"	1	24	817	"1899-12-30"
"16"	"Pipiza"	"lugubris"	"(Fabricius, 1775)"	1	24	817	"1899-12-30"
"17"	"Meliscaeva"	"cinctella"	"(Zetterstedt, 1843)"	3	24	817	"1899-12-30"
"18"	"Meliscaeva"	"cinctella"	"(Zetterstedt, 1843)"	6	24	817	"1899-12-30"
"19"	"Parasyrphus"	"lineolus"	"(Zetterstedt, 1843)"	1	24	817	"1899-12-30"
"20"	"Sphaerophoria"	"sp."	"Lepeletier & Serville, 1828"	4	24	817	"1899-12-30"
"21"	"Episyrphus"	"balteatus"	"(De Geer, 1776)"	1	24	818	"1899-12-30"
"22"	"Sphaerophoria"	"sp."	"Lepeletier & Serville, 1828"	1	24	818	"1899-12-30"
"23"	"Meliscaeva"	"cinctella"	"(Zetterstedt, 1843)"	1	24	818	"1899-12-30"
"24"	"Meliscaeva"	"cinctella"	"(Zetterstedt, 1843)"	1	24	818	"1899-12-30"
"25"	"Chalcosyrphus"	"nemorum"	"(Fabricius, 1805)"	1	24	818	"1899-12-30"
"26"	"Didea"	"alneti"	"(Fallén, 1817)"	1	24	818	"1899-12-30"
"27"	"Meliscaeva"	"auricollis"	"(Meigen, 1822)"	1	24	820	"1899-12-30"
"28"	"Sericomyia"	"silentis"	"(Harris, 1776)"	1	24	820	"1899-12-30"
"29"	"Brachypalpus"	"laphriformis"	"(Fallén, 1816)"	1	24	823	"1899-12-30"
"30"	"Dasysyrphus"	"venustus"	"(Meigen, 1822)"	2	24	823	"1899-12-30"
"31"	"Chrysotoxum"	"bicinctum"	"(Linnaeus, 1758)"	1	24	1310	"1899-12-30"
"32"	"Sericomyia"	"silentis"	"(Harris, 1776)"	1	24	1310	"1899-12-30"
"33"	"Xylota"	"sylvarum"	"(Linnaeus, 1758)"	1	24	1310	"1899-12-30"
"34"	"Platycheirus"	"albimanus"	"(Fabricius, 1781)"	3	24	1310	"1899-12-30"
"35"	"Meliscaeva"	"cinctella"	"(Zetterstedt, 1843)"	2	24	1310	"1899-12-30"
"36"	"Meliscaeva"	"cinctella"	"(Zetterstedt, 1843)"	3	24	1310	"1899-12-30"
"37"	"Eupeodes"	"lundbecki"	"(Soot Ryen, 1946)"	1	24	1310	"1899-12-30"
"38"	"Melanostoma"	"scalare"	"(Fabricius, 1794)"	1	24	1310	"1899-12-30"
"39"	"Melanostoma"	"scalare"	"(Fabricius, 1794)"	4	24	1310	"1899-12-30"
"40"	"Parasyrphus"	"lineolus"	"(Zetterstedt, 1843)"	1	24	1310	"1899-12-30"
"41"	"Episyrphus"	"balteatus"	"(De Geer, 1776)"	5	24	1310	"1899-12-30"
"42"	"Episyrphus"	"balteatus"	"(De Geer, 1776)"	7	24	1310	"1899-12-30"
"43"	"Syrphus"	"vitripennis"	"Meigen, 1822"	4	24	1310	"1899-12-30"
"44"	"Sphaerophoria"	"sp."	"Lepeletier & Serville, 1828"	3	24	1310	"1899-12-30"
"45"	"Episyrphus"	"balteatus"	"(De Geer, 1776)"	1	24	1309	"1899-12-30"
"46"	"Baccha"	"elongata"	"(Fabricius, 1775)"	1	24	1309	"1899-12-30"
"47"	"Meliscaeva"	"cinctella"	"(Zetterstedt, 1843)"	1	24	1309	"1899-12-30"
"48"	"Didea"	"intermedia"	"Loew, 1854"	1	24	1309	"1899-12-30"
"49"	"Cheilosia"	"longula"	"(Zetterstedt, 1838)"	1	24	1309	"1899-12-30"
"50"	"Melanostoma"	"scalare"	"(Fabricius, 1794)"	1	24	1309	"1899-12-30"
"51"	"Parasyrphus"	"malinellus"	"(Collin, 1952)"	1	24	1309	"1899-12-30"
"52"	"Pipiza"	"quadrimaculata"	"(Panzer, 1804)"	1	24	1309	"1899-12-30"
"53"	"Pipiza"	"quadrimaculata"	"(Panzer, 1804)"	2	24	1309	"1899-12-30"
"54"	"Blera"	"fallax"	"(Linnaeus, 1758)"	1	24	1309	"1899-12-30"
"55"	"Myathropa"	"florea"	"(Linnaeus, 1758)"	1	24	1309	"1899-12-30"
"56"	"Cheilosia"	"albitarsis"	"(Meigen, 1822)"	1	24	1309	"1899-12-30"
"57"	"Criorhina"	"asilica"	"(Fallén, 1816)"	1	24	1309	"1899-12-30"
"58"	"Parasyrphus"	"malinellus"	"(Collin, 1952)"	1	24	1309	"1899-12-30"
"59"	"Chalcosyrphus"	"nemorum"	"(Fabricius, 1805)"	1	24	1309	"1899-12-30"
"60"	"Epistrophe"	"nitidicollis"	"(Meigen, 1822)"	1	24	1309	"1899-12-30"
"61"	"Fagisyrphus"	"cinctus"	"(Fallén, 1817)"	1	24	1673	"1899-12-30"
"62"	"Blera"	"fallax"	"(Linnaeus, 1758)"	1	24	1673	"1899-12-30"
"63"	"Brachypalpus"	"laphriformis"	"(Fallén, 1816)"	1	24	1673	"1899-12-30"
"64"	"Brachypalpus"	"laphriformis"	"(Fallén, 1816)"	3	24	1673	"1899-12-30"
"65"	"Chrysotoxum"	"bicinctum"	"(Linnaeus, 1758)"	2	24	1673	"1899-12-30"
"66"	"Xylota"	"segnis"	"(Linnaeus, 1758)"	1	24	1673	"1899-12-30"
"67"	"Pipiza"	"quadrimaculata"	"(Panzer, 1804)"	1	24	1673	"1899-12-30"
"68"	"Didea"	"fasciata"	"Macquart, 1834"	1	24	1673	"1899-12-30"
"69"	"Chrysotoxum"	"arcuatum"	"(Linnaeus, 1758)"	1	24	1673	"1899-12-30"
"70"	"Chrysotoxum"	"arcuatum"	"(Linnaeus, 1758)"	2	24	1673	"1899-12-30"
"71"	"Dasysyrphus"	"pinastri"	"(De Geer, 1776)"	1	24	1673	"1899-12-30"
"72"	"Dasysyrphus"	"venustus"	"(Meigen, 1822)"	2	24	1673	"1899-12-30"
"73"	"Pipizella"	"viduata"	"(Linnaeus, 1758)"	2	24	1673	"1899-12-30"
"74"	"Pipizella"	"viduata"	"(Linnaeus, 1758)"	1	24	1673	"1899-12-30"
"75"	"Heringia"	"pubescens"	"(Delucchi & Pschorn-Walcher, 1955)"	1	24	1673	"1899-12-30"
"76"	"Melanostoma"	"scalare"	"(Fabricius, 1794)"	2	24	1673	"1899-12-30"
"77"	"Melanostoma"	"scalare"	"(Fabricius, 1794)"	7	24	1673	"1899-12-30"
"78"	"Melanostoma"	"mellinum"	"(Linnaeus, 1758)"	2	24	1673	"1899-12-30"
"79"	"Melangyna"	"lasiophthalma"	"(Zetterstedt, 1843)"	1	24	1671	"1899-12-30"
