"Genus"	"Species"	"Author"	"GUID"	"Notes..errors..synonyms..undescribed.etc."	"Source"	"Taxon.name..computed."
"1"	"Syrphidae"	NA	NA	NA	"urn:lsid:dyntaxa.se:Taxon:2001327"	"Dyntaxa"	"Syrphidae"
"2"	"Anasimyia"	"sp."	"Schiner, 1864"	NA	"urn:lsid:dyntaxa.se:Taxon:1000328"	"Dyntaxa"	"Anasimyia sp."
"3"	"Anasimyia"	"contracta"	"Claussen & Torp, 1980"	NA	"urn:lsid:dyntaxa.se:Taxon:200434"	"Dyntaxa"	"Anasimyia contracta"
"4"	"Anasimyia"	"interpuncta"	"(Harris, 1776)"	NA	"urn:lsid:dyntaxa.se:Taxon:200435"	"Dyntaxa"	"Anasimyia interpuncta"
"5"	"Anasimyia"	"lineata"	"(Fabricius, 1787)"	NA	"urn:lsid:dyntaxa.se:Taxon:200436"	"Dyntaxa"	"Anasimyia lineata"
"6"	"Anasimyia"	"lunulata"	"(Meigen, 1822)"	NA	"urn:lsid:dyntaxa.se:Taxon:200437"	"Dyntaxa"	"Anasimyia lunulata"
"7"	"Anasimyia"	"transfuga"	"(Linnaeus, 1758)"	NA	"urn:lsid:dyntaxa.se:Taxon:200438"	"Dyntaxa"	"Anasimyia transfuga"
"8"	"Arctophila"	"sp."	"Schiner, 1860"	NA	"urn:lsid:dyntaxa.se:Taxon:1000329"	"Dyntaxa"	"Arctophila sp."
"9"	"Arctophila"	"bombiformis"	"(Fallén, 1810)"	NA	"urn:lsid:dyntaxa.se:Taxon:100394"	"Dyntaxa"	"Arctophila bombiformis"
"10"	"Arctophila"	"superbiens"	"(Müller, 1776)"	NA	"urn:lsid:dyntaxa.se:Taxon:100395"	"Dyntaxa"	"Arctophila superbiens"
"11"	"Baccha"	"sp."	"Fabricius, 1805"	NA	"urn:lsid:dyntaxa.se:Taxon:1000330"	"Dyntaxa"	"Baccha sp."
"12"	"Baccha"	"elongata"	"(Fabricius, 1775)"	NA	"urn:lsid:dyntaxa.se:Taxon:249052"	"Dyntaxa"	"Baccha elongata"
"13"	"Blera"	"sp."	"Billberg, 1820"	NA	"urn:lsid:dyntaxa.se:Taxon:1000331"	"Dyntaxa"	"Blera sp."
"14"	"Blera"	"eoa"	"(Stackelberg, 1928)"	NA	"urn:lsid:dyntaxa.se:Taxon:200443"	"Dyntaxa"	"Blera eoa"
"15"	"Blera"	"fallax"	"(Linnaeus, 1758)"	NA	"urn:lsid:dyntaxa.se:Taxon:200444"	"Dyntaxa"	"Blera fallax"
"16"	"Brachyopa"	"sp."	"Meigen, 1822"	NA	"urn:lsid:dyntaxa.se:Taxon:1000332"	"Dyntaxa"	"Brachyopa sp."
"17"	"Brachyopa"	"cinerea"	"Wahlberg, 1844"	NA	"urn:lsid:dyntaxa.se:Taxon:102526"	"Dyntaxa"	"Brachyopa cinerea"
"18"	"Brachyopa"	"panzeri"	"Goffe, 1945"	NA	"urn:lsid:dyntaxa.se:Taxon:102527"	"Dyntaxa"	"Brachyopa panzeri"
"19"	"Brachyopa"	"vittata"	"Zetterstedt, 1843"	NA	"urn:lsid:dyntaxa.se:Taxon:102528"	"Dyntaxa"	"Brachyopa vittata"
"20"	"Brachyopa"	"bicolor"	"(Fallén, 1817)"	NA	"urn:lsid:dyntaxa.se:Taxon:200445"	"Dyntaxa"	"Brachyopa bicolor"
"21"	"Brachyopa"	"dorsata"	"Zetterstedt, 1837"	NA	"urn:lsid:dyntaxa.se:Taxon:200447"	"Dyntaxa"	"Brachyopa dorsata"
"22"	"Brachyopa"	"insensilis"	"Collin, 1939"	NA	"urn:lsid:dyntaxa.se:Taxon:200448"	"Dyntaxa"	"Brachyopa insensilis"
"23"	"Brachyopa"	"obscura"	"Thompson & Torp, 1982"	NA	"urn:lsid:dyntaxa.se:Taxon:200449"	"Dyntaxa"	"Brachyopa obscura"
"24"	"Brachyopa"	"pilosa"	"Collin, 1939"	NA	"urn:lsid:dyntaxa.se:Taxon:200451"	"Dyntaxa"	"Brachyopa pilosa"
"25"	"Brachyopa"	"testacea"	"(Fallén, 1817)"	NA	"urn:lsid:dyntaxa.se:Taxon:200453"	"Dyntaxa"	"Brachyopa testacea"
"26"	"Brachyopa"	"zhelochovtzevi"	"Mutin, 1998"	NA	"urn:lsid:dyntaxa.se:Taxon:252424"	"Dyntaxa"	"Brachyopa zhelochovtzevi"
"27"	"Brachypalpoides"	"sp."	"Hippa, 1978"	NA	"urn:lsid:dyntaxa.se:Taxon:1000333"	"Dyntaxa"	"Brachypalpoides sp."
"28"	"Brachypalpoides"	"lentus"	"(Meigen, 1822)"	NA	"urn:lsid:dyntaxa.se:Taxon:200455"	"Dyntaxa"	"Brachypalpoides lentus"
"29"	"Brachypalpus"	"sp."	"Macquart, 1834"	NA	"urn:lsid:dyntaxa.se:Taxon:1000334"	"Dyntaxa"	"Brachypalpus sp."
"30"	"Brachypalpus"	"laphriformis"	"(Fallén, 1816)"	NA	"urn:lsid:dyntaxa.se:Taxon:200456"	"Dyntaxa"	"Brachypalpus laphriformis"
"31"	"Caliprobola"	"sp."	"Rondani, 1845"	NA	"urn:lsid:dyntaxa.se:Taxon:1000335"	"Dyntaxa"	"Caliprobola sp."
"32"	"Caliprobola"	"speciosa"	"(Rossi, 1790)"	NA	"urn:lsid:dyntaxa.se:Taxon:200457"	"Dyntaxa"	"Caliprobola speciosa"
"33"	"Callicera"	"sp."	"Panzer, 1809"	NA	"urn:lsid:dyntaxa.se:Taxon:1000336"	"Dyntaxa"	"Callicera sp."
"34"	"Callicera"	"aenea"	"(Fabricius, 1777)"	NA	"urn:lsid:dyntaxa.se:Taxon:100525"	"Dyntaxa"	"Callicera aenea"
"35"	"Callicera"	"aurata"	"(Rossi, 1790)"	NA	"urn:lsid:dyntaxa.se:Taxon:102557"	"Dyntaxa"	"Callicera aurata"
"36"	"Ceriana"	"sp."	"Rafinesque, 1815"	NA	"urn:lsid:dyntaxa.se:Taxon:1000337"	"Dyntaxa"	"Ceriana sp."
"37"	"Ceriana"	"conopsoides"	"(Linnaeus, 1758)"	NA	"urn:lsid:dyntaxa.se:Taxon:100573"	"Dyntaxa"	"Ceriana conopsoides"
"38"	"Chalcosyrphus"	"sp."	"Curran, 1925"	NA	"urn:lsid:dyntaxa.se:Taxon:1000338"	"Dyntaxa"	"Chalcosyrphus sp."
"39"	"Chalcosyrphus"	"jacobsoni"	"(Stackelberg, 1921)"	NA	"urn:lsid:dyntaxa.se:Taxon:102529"	"Dyntaxa"	"Chalcosyrphus jacobsoni"
"40"	"Chalcosyrphus"	"nigripes"	"(Zetterstedt, 1838)"	NA	"urn:lsid:dyntaxa.se:Taxon:102530"	"Dyntaxa"	"Chalcosyrphus nigripes"
"41"	"Chalcosyrphus"	"piger"	"(Fabricius, 1794)"	NA	"urn:lsid:dyntaxa.se:Taxon:102531"	"Dyntaxa"	"Chalcosyrphus piger"
"42"	"Chalcosyrphus"	"nemorum"	"(Fabricius, 1805)"	NA	"urn:lsid:dyntaxa.se:Taxon:200462"	"Dyntaxa"	"Chalcosyrphus nemorum"
"43"	"Chalcosyrphus"	"valgus"	"(Gmelin, 1790)"	NA	"urn:lsid:dyntaxa.se:Taxon:200465"	"Dyntaxa"	"Chalcosyrphus valgus"
"44"	"Chalcosyrphus"	"rufipes"	"(Loew, 1873)"	NA	"urn:lsid:dyntaxa.se:Taxon:261037"	"Dyntaxa"	"Chalcosyrphus rufipes"
"45"	"Cheilosia"	"sp."	"Meigen, 1822"	NA	"urn:lsid:dyntaxa.se:Taxon:1000340"	"Dyntaxa"	"Cheilosia sp."
"46"	"Cheilosia"	"albipila"	"Meigen, 1838"	NA	"urn:lsid:dyntaxa.se:Taxon:200470"	"Dyntaxa"	"Cheilosia albipila"
"47"	"Cheilosia"	"albitarsis"	"(Meigen, 1822)"	NA	"urn:lsid:dyntaxa.se:Taxon:200471"	"Dyntaxa"	"Cheilosia albitarsis"
"48"	"Cheilosia"	"alpina"	"(Zetterstedt, 1838)"	NA	"urn:lsid:dyntaxa.se:Taxon:200472"	"Dyntaxa"	"Cheilosia alpina"
"49"	"Cheilosia"	"angustigenis"	"(Becker, 1894)"	NA	"urn:lsid:dyntaxa.se:Taxon:200473"	"Dyntaxa"	"Cheilosia angustigenis"
"50"	"Cheilosia"	"bergenstammi"	"(Becker, 1894)"	NA	"urn:lsid:dyntaxa.se:Taxon:200476"	"Dyntaxa"	"Cheilosia bergenstammi"
"51"	"Cheilosia"	"canicularis"	"(Panzer, 1801)"	NA	"urn:lsid:dyntaxa.se:Taxon:200477"	"Dyntaxa"	"Cheilosia canicularis"
"52"	"Cheilosia"	"carbonaria"	"Egger, 1860"	NA	"urn:lsid:dyntaxa.se:Taxon:200478"	"Dyntaxa"	"Cheilosia carbonaria"
"53"	"Cheilosia"	"chlorus"	"(Meigen, 1822)"	NA	"urn:lsid:dyntaxa.se:Taxon:200479"	"Dyntaxa"	"Cheilosia chlorus"
"54"	"Cheilosia"	"chrysocoma"	"(Meigen, 1822)"	NA	"urn:lsid:dyntaxa.se:Taxon:200480"	"Dyntaxa"	"Cheilosia chrysocoma"
"55"	"Cheilosia"	"cynocephala"	"Loew, 1840"	NA	"urn:lsid:dyntaxa.se:Taxon:200481"	"Dyntaxa"	"Cheilosia cynocephala"
"56"	"Cheilosia"	"flavipes"	"(Panzer, 1798)"	NA	"urn:lsid:dyntaxa.se:Taxon:200483"	"Dyntaxa"	"Cheilosia flavipes"
"57"	"Cheilosia"	"fraterna"	"(Meigen, 1830)"	NA	"urn:lsid:dyntaxa.se:Taxon:200484"	"Dyntaxa"	"Cheilosia fraterna"
"58"	"Cheilosia"	"frontalis"	"Loew, 1857"	NA	"urn:lsid:dyntaxa.se:Taxon:200485"	"Dyntaxa"	"Cheilosia frontalis"
"59"	"Cheilosia"	"gigantea"	"(Zetterstedt, 1838)"	NA	"urn:lsid:dyntaxa.se:Taxon:200486"	"Dyntaxa"	"Cheilosia gigantea"
"60"	"Cheilosia"	"grossa"	"(Fallén, 1817)"	NA	"urn:lsid:dyntaxa.se:Taxon:200487"	"Dyntaxa"	"Cheilosia grossa"
