"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Palloptera"	"saltuum"	"(Linnaeus, 1758)"	1	44	1187	"2004.vii.25"
"2"	"Rivellia"	"syngenesiae"	"(Fabricius, 1781)"	1	11	411	"2003.vii.23"
"3"	"Rivellia"	"syngenesiae"	"(Fabricius, 1781)"	1	35	1790	"2005.vii.08"
"4"	"Acidia"	"cognata"	"(Wiedemann, 1817)"	2	6	370	"2003.vii.29"
"5"	"Acidia"	"cognata"	"(Wiedemann, 1817)"	1	6	371	"2003.viii.12"
"6"	"Acidia"	"cognata"	"(Wiedemann, 1817)"	1	25	450	"2003.vi.29"
"7"	"Acidia"	"cognata"	"(Wiedemann, 1817)"	2	25	451	"2003.vii.22"
"8"	"Acidia"	"cognata"	"(Wiedemann, 1817)"	1	44	670	"2003.vii.17"
"9"	"Actinoptera"	"discoidea"	"(Fallén, 1814)"	1	38	1113	"2004.vi.15"
"10"	"Anomoia"	"purmunda"	"(Harris, 1780)"	1	2046	2056	"2008.viii.01"
"11"	"Campiglossa"	"absinthii"	"(Fabricius, 1805)"	1	12	69	"2003.vi.24"
"12"	"Campiglossa"	"absinthii"	"(Fabricius, 1805)"	1	12	176	"2003.viii.02"
"13"	"Campiglossa"	"absinthii"	"(Fabricius, 1805)"	2	12	892	"2004.vii.17"
"14"	"Campiglossa"	"absinthii"	"(Fabricius, 1805)"	2	2046	2052	"2008.vi.01"
"15"	"Campiglossa"	"absinthii"	"(Fabricius, 1805)"	3	2046	2053	"2008.vi.15"
"16"	"Campiglossa"	"absinthii"	"(Fabricius, 1805)"	5	2046	2054	"2008.vii.01"
"17"	"Campiglossa"	"absinthii"	"(Fabricius, 1805)"	5	2046	2055	"2008.vii.16"
"18"	"Campiglossa"	"absinthii"	"(Fabricius, 1805)"	3	2046	2056	"2008.viii.01"
"19"	"Campiglossa"	"absinthii"	"(Fabricius, 1805)"	1	2046	2057	"2008.viii.16"
"20"	"Campiglossa"	"argyrocephala"	"(Loew, 1844)"	1	1003	1384	"2005.v.22"
"21"	"Campiglossa"	"guttella"	"(Rondani, 1870)"	1	7	379	"2003.vii.03"
"22"	"Campiglossa"	"guttella"	"(Rondani, 1870)"	1	7	858	"2004.vi.27"
"23"	"Campiglossa"	"guttella"	"(Rondani, 1870)"	6	46	1199	"2004.vi.28"
"24"	"Campiglossa"	"guttella"	"(Rondani, 1870)"	3	46	1200	"2004.vii.15"
"25"	"Campiglossa"	"guttella"	"(Rondani, 1870)"	1	46	1203	"2004.viii.30"
"26"	"Campiglossa"	"guttella"	"(Rondani, 1870)"	1	46	1204	"2004.ix.13"
"27"	"Campiglossa"	"guttella"	"(Rondani, 1870)"	1	46	1947	"2005.viii.14"
"28"	"Campiglossa"	"guttella"	"(Rondani, 1870)"	9	46	1949	"2005.ix.25"
"29"	"Campiglossa"	"guttella"	"(Rondani, 1870)"	2	1002	1371	"2005.v.14"
"30"	"Campiglossa"	"guttella"	"(Rondani, 1870)"	1	1003	1897	"2006.ii.19"
"31"	"Campiglossa"	"loewiana"	"(Hendel, 1927)"	1	6	370	"2003.vii.29"
"32"	"Campiglossa"	"loewiana"	"(Hendel, 1927)"	8	46	1199	"2004.vi.28"
"33"	"Campiglossa"	"loewiana"	"(Hendel, 1927)"	3	46	1200	"2004.vii.15"
"34"	"Campiglossa"	"loewiana"	"(Hendel, 1927)"	1	2046	2054	"2008.vii.01"
"35"	"Campiglossa"	"misella"	"(Loew, 1869)"	1	43	1914	"2005.ix.21"
"36"	"Campiglossa"	"misella"	"(Loew, 1869)"	1	50	1228	"2004.ix.12"
"37"	"Chaetostomella"	"cylindrica"	"(Robineau-Desvoidy, 1830)"	1	28	1467	"2005.vii.17"
"38"	"Chaetostomella"	"cylindrica"	"(Robineau-Desvoidy, 1830)"	2	61	1301	"2004.vii.09"
"39"	"Chaetostomella"	"cylindrica"	"(Robineau-Desvoidy, 1830)"	1	1001	1354	"2005.viii.02"
"40"	"Chaetostomella"	"cylindrica"	"(Robineau-Desvoidy, 1830)"	1	1003	1388	"2005.vii.10"
"41"	"Chaetostomella"	"cylindrica"	"(Robineau-Desvoidy, 1830)"	1	2003	2036	"2006.vii.24"
"42"	"Chetostoma"	"stackelbergi"	"(Rohdendorf, 1955)"	1	5	353	"2004.v.18"
"43"	"Chetostoma"	"stackelbergi"	"(Rohdendorf, 1955)"	1	15	1658	"2005.iii.03"
"44"	"Cryptaciura"	"rotundiventris"	"(Fallén, 1814)"	1	6	368	"2003.vi.17"
"45"	"Dioxyna"	"bidentis"	"(Robineau-Desvoidy, 1830)"	6	12	176	"2003.viii.02"
"46"	"Dioxyna"	"bidentis"	"(Robineau-Desvoidy, 1830)"	2	12	178	"2003.viii.25"
"47"	"Dioxyna"	"bidentis"	"(Robineau-Desvoidy, 1830)"	1	33	534	"2003.x.21"
"48"	"Dioxyna"	"bidentis"	"(Robineau-Desvoidy, 1830)"	1	39	608	"2003.x.13"
"49"	"Dioxyna"	"bidentis"	"(Robineau-Desvoidy, 1830)"	1	1004	1899	"2005.ix.20"
"50"	"Ensina"	"sonchi"	"(Linnaeus, 1767)"	1	11	412	"2003.viii.04"
"51"	"Ensina"	"sonchi"	"(Linnaeus, 1767)"	1	20	235	"2003.viii.12"
"52"	"Ensina"	"sonchi"	"(Linnaeus, 1767)"	1	28	488	"2003.vii.08"
"53"	"Ensina"	"sonchi"	"(Linnaeus, 1767)"	1	28	1458	"2004.vii.16"
"54"	"Ensina"	"sonchi"	"(Linnaeus, 1767)"	1	43	1913	"2005.ix.09"
"55"	"Ensina"	"sonchi"	"(Linnaeus, 1767)"	2	1002	1372	"2005.vi.04"
"56"	"Ensina"	"sonchi"	"(Linnaeus, 1767)"	1	2006	2025	"2008.i.01"
"57"	"Euleia"	"heraclei"	"(Linnaeus, 1758)"	3	32	1532	"2005.viii.03"
"58"	"Euleia"	"heraclei"	"(Linnaeus, 1758)"	2	32	1533	"2005.viii.18"
"59"	"Euphranta"	"connexa"	"(Fabricius, 1794)"	1	28	488	"2003.vii.08"
"60"	"Euphranta"	"connexa"	"(Fabricius, 1794)"	2	29	1048	"2004.vii.30"
"61"	"Heringina"	"guttata"	"(Fallén, 1814)"	1	38	1449	"2005.vii.02"
"62"	"Myoleja"	"lucida"	"(Fallén, 1826)"	3	6	368	"2003.vi.17"
"63"	"Myoleja"	"lucida"	"(Fallén, 1826)"	2	7	858	"2004.vi.27"
"64"	"Myoleja"	"lucida"	"(Fallén, 1826)"	3	9	355	"2003.vi.18"
"65"	"Myoleja"	"lucida"	"(Fallén, 1826)"	2	16	1666	"2005.v.28"
"66"	"Myoleja"	"lucida"	"(Fallén, 1826)"	1	16	1667	"2005.vii.05"
"67"	"Myoleja"	"lucida"	"(Fallén, 1826)"	1	22	1725	"2006.v.20"
"68"	"Myoleja"	"lucida"	"(Fallén, 1826)"	1	30	1055	"2004.vii.03"
"69"	"Myoleja"	"lucida"	"(Fallén, 1826)"	1	30	1717	"2005.vi.16"
"70"	"Noeeta"	"pupillata"	"(Fallén, 1814)"	2	12	892	"2004.vii.17"
"71"	"Noeeta"	"pupillata"	"(Fallén, 1814)"	1	29	1395	"2005.vi.21"
"72"	"Noeeta"	"pupillata"	"(Fallén, 1814)"	1	30	1716	"2004.x.28"
"73"	"Noeeta"	"pupillata"	"(Fallén, 1814)"	1	32	1531	"2005.vii.16"
"74"	"Noeeta"	"pupillata"	"(Fallén, 1814)"	1	28	1467	"2005.vii.17"
"75"	"Noeeta"	"pupillata"	"(Fallén, 1814)"	2	43	667	"2004.v.05"
"76"	"Noeeta"	"pupillata"	"(Fallén, 1814)"	1	1002	1371	"2005.v.14"
"77"	"Orellia"	"falcata"	"(Scopoli, 1763)"	1	22	244	"2003.vi.25"
"78"	"Philophylla"	"caesio"	"(Harris, 1780)"	1	8	390	"2003.vii.04"
"79"	"Philophylla"	"caesio"	"(Harris, 1780)"	1	12	69	"2003.vi.24"
"80"	"Philophylla"	"caesio"	"(Harris, 1780)"	1	12	175	"2003.vii.20"
"81"	"Philophylla"	"caesio"	"(Harris, 1780)"	1	12	891	"2004.vi.27"
"82"	"Philophylla"	"caesio"	"(Harris, 1780)"	1	12	892	"2004.vii.17"
"83"	"Philophylla"	"caesio"	"(Harris, 1780)"	4	17	272	"2003.vii.19"
"84"	"Philophylla"	"caesio"	"(Harris, 1780)"	1	21	1508	"2005.viii.01"
"85"	"Philophylla"	"caesio"	"(Harris, 1780)"	1	25	450	"2003.vi.29"
"86"	"Philophylla"	"caesio"	"(Harris, 1780)"	1	25	451	"2003.vii.22"
"87"	"Philophylla"	"caesio"	"(Harris, 1780)"	3	1003	1388	"2005.vii.10"
"88"	"Philophylla"	"caesio"	"(Harris, 1780)"	1	2046	2054	"2008.vii.01"
"89"	"Philophylla"	"caesio"	"(Harris, 1780)"	1	2046	2056	"2008.viii.01"
"90"	"Philophylla"	"caesio"	"(Harris, 1780)"	1	2046	2057	"2008.viii.16"
"91"	"Rhagoletis"	"alternata"	"(Fallén, 1814)"	1	12	175	"2003.vii.20"
"92"	"Rhagoletis"	"alternata"	"(Fallén, 1814)"	1	26	1692	"2005.vii.19"
"93"	"Rhagoletis"	"alternata"	"(Fallén, 1814)"	1	28	1458	"2004.vii.16"
"94"	"Rhagoletis"	"alternata"	"(Fallén, 1814)"	1	1001	1335	"2005.vii.25"
"95"	"Rhagoletis"	"alternata"	"(Fallén, 1814)"	3	2046	2055	"2008.vii.16"
"96"	"Rhagoletis"	"cerasi"	"(Linnaeus, 1758)"	1	29	1396	"2005.vii.12"
"97"	"Rhagoletis"	"cerasi"	"(Linnaeus, 1758)"	1	2006	2015	"2007.vii.02"
"98"	"Rhagoletis"	"cerasi"	"(Linnaeus, 1758)"	1	2006	2040	"2008.vii.12"
"99"	"Rhagoletis"	"cerasi"	"(Linnaeus, 1758)"	1	2046	2052	"2008.vi.01"
"100"	"Rhagoletis"	"cerasi"	"(Linnaeus, 1758)"	2	2046	2054	"2008.vii.01"
"101"	"Rhagoletis"	"cerasi"	"(Linnaeus, 1758)"	1	2046	2055	"2008.vii.16"
"102"	"Rhagoletis"	"meigenii"	"(Loew, 1844)"	1	6	370	"2003.vii.29"
"103"	"Rhagoletis"	"meigenii"	"(Loew, 1844)"	1	28	1458	"2004.vii.16"
