"Genus"	"Species"	"Author"	"GUID"	"Source"	"Taxon.name..computed."
"1"	"Chaetolonchaea"	"sp."	"Czerny 1934"	"urn:lsid:faunaeur.org:taxname:62702"	"Fauna Europaea"	"Chaetolonchaea sp."
"2"	"Chaetolonchaea"	"dasyops"	"(Meigen, 1826)"	"http://dyntaxa.se/taxon/info/240973"	"Dyntaxa"	"Chaetolonchaea dasyops"
"3"	"Chaetolonchaea"	"pallipennis"	"(Zetterstedt, 1855)"	"http://dyntaxa.se/taxon/info/240974"	"Dyntaxa"	"Chaetolonchaea pallipennis"
"4"	"Chaetolonchaea"	"brevipilosa"	"Czerny, 1934"	"http://dyntaxa.se/taxon/info/250227"	"Dyntaxa"	"Chaetolonchaea brevipilosa"
"5"	"Dasiops"	"sp."	"Rondani, 1856"	"http://dyntaxa.se/taxon/info/1011063"	"Dyntaxa"	"Dasiops sp."
"6"	"Dasiops"	"appendiculus"	"Morge, 1959"	"http://dyntaxa.se/taxon/info/240975"	"Dyntaxa"	"Dasiops appendiculus"
"7"	"Dasiops"	"facialis"	"Collin, 1953"	"http://dyntaxa.se/taxon/info/240976"	"Dyntaxa"	"Dasiops facialis"
"8"	"Dasiops"	"hennigi"	"Morge, 1959"	"http://dyntaxa.se/taxon/info/240977"	"Dyntaxa"	"Dasiops hennigi"
"9"	"Dasiops"	"laticeps"	"(Czerny, 1934)"	"http://dyntaxa.se/taxon/info/240978"	"Dyntaxa"	"Dasiops laticeps"
"10"	"Dasiops"	"occultus"	"Collin, 1953"	"http://dyntaxa.se/taxon/info/240979"	"Dyntaxa"	"Dasiops occultus"
"11"	"Dasiops"	"spatiosus"	"(Becker, 1895)"	"http://dyntaxa.se/taxon/info/240980"	"Dyntaxa"	"Dasiops spatiosus"
"12"	"Dasiops"	"trichosternalis"	"Morge, 1959"	"http://dyntaxa.se/taxon/info/240981"	"Dyntaxa"	"Dasiops trichosternalis"
"13"	"Dasiops"	"mucronatus"	"Morge, 1859"	"http://dyntaxa.se/taxon/info/250228"	"Dyntaxa"	"Dasiops mucronatus"
"14"	"Dasiops"	"perpropinquus"	"Morge, 1959"	"http://dyntaxa.se/taxon/info/6000105"	"Dyntaxa"	"Dasiops perpropinquus"
"15"	"Earomyia"	"sp."	"Zetterstedt, 1842"	"http://dyntaxa.se/taxon/info/1011064"	"Dyntaxa"	"Earomyia sp."
"16"	"Earomyia"	"lonchaeoides"	"Zetterstedt, 1848"	"http://dyntaxa.se/taxon/info/240982"	"Dyntaxa"	"Earomyia lonchaeoides"
"17"	"Earomyia"	"viridana"	"(Meigen, 1826)"	"http://dyntaxa.se/taxon/info/240983"	"Dyntaxa"	"Earomyia viridana"
"18"	"Earomyia"	"schistopyga"	"Collin, 1953"	"http://dyntaxa.se/taxon/info/6000106"	"Dyntaxa"	"Earomyia schistopyga"
"19"	"Earomyia"	"virilis"	"Collin, 1953"	"http://dyntaxa.se/taxon/info/6000108"	"Dyntaxa"	"Earomyia virilis"
"20"	"Lonchaea"	"sp."	"Fallén, 1820"	"http://dyntaxa.se/taxon/info/1011065"	"Dyntaxa"	"Lonchaea sp."
"21"	"Lonchaea"	"affinis"	"Malloch, 1920"	"http://dyntaxa.se/taxon/info/240984"	"Dyntaxa"	"Lonchaea affinis"
"22"	"Lonchaea"	"albitarsis"	"Zetterstedt, 1837"	"http://dyntaxa.se/taxon/info/240985"	"Dyntaxa"	"Lonchaea albitarsis"
"23"	"Lonchaea"	"bruggeri"	"Morge, 1967"	"http://dyntaxa.se/taxon/info/240987"	"Dyntaxa"	"Lonchaea bruggeri"
"24"	"Lonchaea"	"caledonica"	"MacGowan & Rotheray, 2000"	"http://dyntaxa.se/taxon/info/240988"	"Dyntaxa"	"Lonchaea caledonica"
"25"	"Lonchaea"	"carpatica"	"Kovalev, 1974"	"http://dyntaxa.se/taxon/info/240989"	"Dyntaxa"	"Lonchaea carpatica"
"26"	"Lonchaea"	"chorea"	"(Fabricius, 1781)"	"http://dyntaxa.se/taxon/info/240990"	"Dyntaxa"	"Lonchaea chorea"
"27"	"Lonchaea"	"collini"	"Hackman, 1956"	"http://dyntaxa.se/taxon/info/240991"	"Dyntaxa"	"Lonchaea collini"
"28"	"Lonchaea"	"contigua"	"Collin, 1953"	"http://dyntaxa.se/taxon/info/240992"	"Dyntaxa"	"Lonchaea contigua"
"29"	"Lonchaea"	"contraria"	"Czerny, 1934"	"http://dyntaxa.se/taxon/info/240993"	"Dyntaxa"	"Lonchaea contraria"
"30"	"Lonchaea"	"corusca"	"Czerny, 1934"	"http://dyntaxa.se/taxon/info/240994"	"Dyntaxa"	"Lonchaea corusca"
"31"	"Lonchaea"	"defecta"	"McAlpine, 1964"	"http://dyntaxa.se/taxon/info/240995"	"Dyntaxa"	"Lonchaea defecta"
"32"	"Lonchaea"	"deutschi"	"Zetterstedt, 1837"	"http://dyntaxa.se/taxon/info/240996"	"Dyntaxa"	"Lonchaea deutschi"
"33"	"Lonchaea"	"difficilis"	"Hackman, 1956"	"http://dyntaxa.se/taxon/info/240997"	"Dyntaxa"	"Lonchaea difficilis"
"34"	"Lonchaea"	"fraxina"	"MacGowan & Rotheray, 2000"	"http://dyntaxa.se/taxon/info/240998"	"Dyntaxa"	"Lonchaea fraxina"
"35"	"Lonchaea"	"fugax"	"Becker, 1895"	"http://dyntaxa.se/taxon/info/240999"	"Dyntaxa"	"Lonchaea fugax"
"36"	"Lonchaea"	"hirticeps"	"Zetterstedt, 1837"	"http://dyntaxa.se/taxon/info/241001"	"Dyntaxa"	"Lonchaea hirticeps"
"37"	"Lonchaea"	"hyalipennis"	"Zetterstedt, 1847"	"http://dyntaxa.se/taxon/info/241002"	"Dyntaxa"	"Lonchaea hyalipennis"
"38"	"Lonchaea"	"ipsiphaga"	"McAlpine, 1964"	"http://dyntaxa.se/taxon/info/241003"	"Dyntaxa"	"Lonchaea ipsiphaga"
"39"	"Lonchaea"	"limatula"	"Collin, 1953"	"http://dyntaxa.se/taxon/info/241004"	"Dyntaxa"	"Lonchaea limatula"
"40"	"Lonchaea"	"mallochi"	"MacGowan & Rotheray, 2000"	"http://dyntaxa.se/taxon/info/241005"	"Dyntaxa"	"Lonchaea mallochi"
"41"	"Lonchaea"	"nitens"	"Bigot, 1885"	"http://dyntaxa.se/taxon/info/241006"	"Dyntaxa"	"Lonchaea nitens"
"42"	"Lonchaea"	"obscuritarsis"	"Collin, 1953"	"http://dyntaxa.se/taxon/info/241007"	"Dyntaxa"	"Lonchaea obscuritarsis"
"43"	"Lonchaea"	"palposa"	"Zetterstedt, 1847"	"http://dyntaxa.se/taxon/info/241008"	"Dyntaxa"	"Lonchaea palposa"
"44"	"Lonchaea"	"patens"	"Collin, 1953"	"http://dyntaxa.se/taxon/info/241009"	"Dyntaxa"	"Lonchaea patens"
"45"	"Lonchaea"	"postica"	"Collin, 1953"	"http://dyntaxa.se/taxon/info/241011"	"Dyntaxa"	"Lonchaea postica"
"46"	"Lonchaea"	"ragnari"	"Hackman, 1956"	"http://dyntaxa.se/taxon/info/241012"	"Dyntaxa"	"Lonchaea ragnari"
"47"	"Lonchaea"	"scutellaris"	"Rondani, 1874"	"http://dyntaxa.se/taxon/info/241013"	"Dyntaxa"	"Lonchaea scutellaris"
"48"	"Lonchaea"	"serrata"	"MacGowan & Rotheray, 2000"	"http://dyntaxa.se/taxon/info/241014"	"Dyntaxa"	"Lonchaea serrata"
"49"	"Lonchaea"	"sororcula"	"Hackman, 1956"	"http://dyntaxa.se/taxon/info/241015"	"Dyntaxa"	"Lonchaea sororcula"
"50"	"Lonchaea"	"stackelbergi"	"Czerny, 1934"	"http://dyntaxa.se/taxon/info/241016"	"Dyntaxa"	"Lonchaea stackelbergi"
"51"	"Lonchaea"	"subneatosa"	"V.G.Kovalev, 1974"	"http://dyntaxa.se/taxon/info/241017"	"Dyntaxa"	"Lonchaea subneatosa"
"52"	"Lonchaea"	"sylvatica"	"Beling, 1873"	"http://dyntaxa.se/taxon/info/241018"	"Dyntaxa"	"Lonchaea sylvatica"
"53"	"Lonchaea"	"tarsata"	"Fallén, 1820"	"http://dyntaxa.se/taxon/info/241019"	"Dyntaxa"	"Lonchaea tarsata"
"54"	"Lonchaea"	"ultima"	"Collin, 1953"	"http://dyntaxa.se/taxon/info/241020"	"Dyntaxa"	"Lonchaea ultima"
"55"	"Lonchaea"	"zetterstedti"	"Becker, 1902"	"http://dyntaxa.se/taxon/info/241021"	"Dyntaxa"	"Lonchaea zetterstedti"
"56"	"Lonchaea"	"laticornis"	"Meigen, 1826"	"http://dyntaxa.se/taxon/info/250229"	"Dyntaxa"	"Lonchaea laticornis"
"57"	"Lonchaea"	"laxa"	"(Collin, 1953)"	"http://dyntaxa.se/taxon/info/250230"	"Dyntaxa"	"Lonchaea laxa"
"58"	"Lonchaea"	"albigena"	"Collin, 1953"	"http://dyntaxa.se/taxon/info/6000109"	"Dyntaxa"	"Lonchaea albigena"
"59"	"Lonchaea"	"gorodkovi"	"V.G.Kovalev, 1974"	"http://dyntaxa.se/taxon/info/6000110"	"Dyntaxa"	"Lonchaea gorodkovi"
"60"	"Lonchaea"	"helvetica"	"MacGowan, 2001"	"http://dyntaxa.se/taxon/info/6000111"	"Dyntaxa"	"Lonchaea helvetica"
"61"	"Lonchaea"	"tenuicornis"	"V.G.Kovalev, 1978"	"http://dyntaxa.se/taxon/info/6000112"	"Dyntaxa"	"Lonchaea tenuicornis"
"62"	"Lonchaea"	"iona"	"MacGowan, 2001"	"http://dyntaxa.se/taxon/info/6000122"	"Dyntaxa"	"Lonchaea iona"
"63"	"Lonchaea"	"caucasica"	"V.G.Kovalev, 1974"	"http://dyntaxa.se/taxon/info/6000125"	"Dyntaxa"	"Lonchaea caucasica"
"64"	"Lonchaea"	"peregrina"	"T.Becker, 1895"	"http://dyntaxa.se/taxon/info/6000126"	"Dyntaxa"	"Lonchaea peregrina"
"65"	"Lonchaea"	"hackmani"	"V.G.Kovalev, 1981"	"http://dyntaxa.se/taxon/info/6000127"	"Dyntaxa"	"Lonchaea hackmani"
"66"	"Lonchaea"	"bukowskii"	"Czerny, 1934"	"http://dyntaxa.se/taxon/info/6001290"	"Dyntaxa"	"Lonchaea bukowskii"
"67"	"Protearomyia"	"sp."	"McAlpine 1962"	"urn:lsid:faunaeur.org:taxname:62706"	"Fauna Europaea"	"Protearomyia sp."
"68"	"Protearomyia"	"nigra"	"(Meigen, 1826)"	"http://dyntaxa.se/taxon/info/241022"	"Dyntaxa"	"Protearomyia nigra"
"69"	"Setisquamalonchaea"	"sp."	"Morge 1963"	"urn:lsid:faunaeur.org:taxname:62602"	"Fauna Europaea"	"Setisquamalonchaea sp."
"70"	"Setisquamalonchaea"	"fumosa"	"(Egger, 1862)"	"http://dyntaxa.se/taxon/info/241023"	"Dyntaxa"	"Setisquamalonchaea fumosa"
"71"	"Eurygnathomyia"	"sp."	"Czerny 1904"	"urn:lsid:faunaeur.org:taxname:62208"	"Fauna Europaea"	"Eurygnathomyia sp."
"72"	"Eurygnathomyia"	"bicolor"	"(Zetterstedt, 1837)"	"http://dyntaxa.se/taxon/info/241024"	"Dyntaxa"	"Eurygnathomyia bicolor"
"73"	"Palloptera"	"sp."	"Fallen 1820"	"urn:lsid:faunaeur.org:taxname:62213"	"Fauna Europaea"	"Palloptera sp."
"74"	"Palloptera"	"ambusta"	"(Meigen, 1826)"	"http://dyntaxa.se/taxon/info/241025"	"Dyntaxa"	"Palloptera ambusta"
"75"	"Palloptera"	"anderssoni"	"Rotheray & MacGowan, 1998"	"http://dyntaxa.se/taxon/info/241026"	"Dyntaxa"	"Palloptera anderssoni"
