"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Neorhacodes"	"enslini"	"(Ruschka, 1922)"	1	27	466	"2003.vii.07"
"2"	"Neorhacodes"	"enslini"	"(Ruschka, 1922)"	1	39	1802	"2005.vi.20"
"3"	"Neorhacodes"	"enslini"	"(Ruschka, 1922)"	1	30	1054	"2003.viii.13"
"4"	"Neorhacodes"	"enslini"	"(Ruschka, 1922)"	2	1003	1387	"2005.vi.27"
"5"	"Neorhacodes"	"enslini"	"(Ruschka, 1922)"	1	9	1609	"2005.vi.11"
"6"	"Neorhacodes"	"enslini"	"(Ruschka, 1922)"	1	1001	1333	"2005.vii.12"
"7"	"Neorhacodes"	"enslini"	"(Ruschka, 1922)"	1	15	1660	"2005.vii.05"
"8"	"Neorhacodes"	"enslini"	"(Ruschka, 1922)"	2	28	1465	"2005.vi.06"
"9"	"Neorhacodes"	"enslini"	"(Ruschka, 1922)"	1	1003	1388	"2005.vii.10"
"10"	"Neorhacodes"	"enslini"	"(Ruschka, 1922)"	6	9	355	"2003.vi.18"
"11"	"Neorhacodes"	"enslini"	"(Ruschka, 1922)"	7	9	356	"2003.vii.06"
"12"	"Neorhacodes"	"enslini"	"(Ruschka, 1922)"	1	12	892	"2004.vii.17"
