"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Thereva"	"handlirschi"	"Kröber, 1912"	2	3	800	"2004.viii.11"
"2"	"Thereva"	"handlirschi"	"Kröber, 1912"	6	1001	1355	"2005.viii.13"
"3"	"Thereva"	"handlirschi"	"Kröber, 1912"	5	24	1310	"2004.vii.22"
"4"	"Thereva"	"handlirschi"	"Kröber, 1912"	1	4	811	"2004.viii.11"
"5"	"Thereva"	"handlirschi"	"Kröber, 1912"	2	44	1188	"2004.viii.09"
"6"	"Thereva"	"handlirschi"	"Kröber, 1912"	1	1	310	"2003.viii.29"
"7"	"Thereva"	"handlirschi"	"Kröber, 1912"	1	10	398	"2003.vii.21"
"8"	"Thereva"	"microcephala"	"Loew, 1847"	8	4	89	"2003.vii.21"
"9"	"Thereva"	"microcephala"	"Loew, 1847"	2	44	670	"2003.vii.17"
"10"	"Thereva"	"nobilitata"	"(Fabricius, 1775)"	3	21	238	"2003.vi.25"
"11"	"Thereva"	"nobilitata"	"(Fabricius, 1775)"	1	23	431	"2003.vii.10"
"12"	"Thereva"	"nobilitata"	"(Fabricius, 1775)"	1	1	308	"2003.vii.11"
"13"	"Thereva"	"nobilitata"	"(Fabricius, 1775)"	1	1005	1421	"2005.vii.30"
"14"	"Thereva"	"strigata"	"(Fabricius, 1794)"	1	38	1443	"2005.v.24"
"15"	"Thereva"	"unica"	"(Harris, 1780)"	1	29	1047	"2004.vii.11"
"16"	"Thereva"	"valida"	"Loew, 1847"	1	1	80	"2003.vii..02"
