"Genus"	"Species"	"Author"	"GUID"	"Source"	"Taxon.name..computed."
"1"	"Cliorismia"	"sp."	"Enderlein, 1927"	"http://www.faunaeur.org/full_results.php?id=66585"	"Fauna Europaea"	"Cliorismia sp."
"2"	"Cliorismia"	"ardea"	"(Fabricius, 1794)"	"http://dyntaxa.se/taxon/info/100664"	"Dyntaxa"	"Cliorismia ardea"
"3"	"Cliorismia"	"rustica"	"(Panzer, 1804)"	"http://dyntaxa.se/taxon/info/236295"	"Dyntaxa"	"Cliorismia rustica"
"4"	"Psilocephala"	"sp."	"Zetterstedt, 1838"	"http://www.faunaeur.org/full_results.php?id=66556"	"Fauna Europaea"	"Psilocephala sp."
"5"	"Psilocephala"	"imberbis"	"(Fallén, 1814)"	"http://dyntaxa.se/taxon/info/101654"	"Dyntaxa"	"Psilocephala imberbis"
"6"	"Thereva"	"sp."	"Latreille, 1797"	"http://www.faunaeur.org/full_results.php?id=65773"	"Fauna Europaea"	"Thereva sp."
"7"	"Thereva"	"marginula"	"Meigen, 1820"	"http://dyntaxa.se/taxon/info/101897"	"Dyntaxa"	"Thereva marginula"
"8"	"Thereva"	"microcephala"	"Loew, 1847"	"http://dyntaxa.se/taxon/info/102091"	"Dyntaxa"	"Thereva microcephala"
"9"	"Thereva"	"fuscinervis"	"Zetterstedt, 1838"	"http://dyntaxa.se/taxon/info/236305"	"Dyntaxa"	"Thereva fuscinervis"
"10"	"Thereva"	"handlirschi"	"Kröber, 1912"	"http://dyntaxa.se/taxon/info/236306"	"Dyntaxa"	"Thereva handlirschi"
"11"	"Thereva"	"inornata"	"Verall, 1909"	"http://dyntaxa.se/taxon/info/236307"	"Dyntaxa"	"Thereva inornata"
"12"	"Thereva"	"lanata"	"Zetterstedt, 1838"	"http://dyntaxa.se/taxon/info/236308"	"Dyntaxa"	"Thereva lanata"
"13"	"Thereva"	"nobilitata"	"(Fabricius, 1775)"	"http://dyntaxa.se/taxon/info/236309"	"Dyntaxa"	"Thereva nobilitata"
"14"	"Thereva"	"plebeja"	"(Linnaeus, 1758)"	"http://dyntaxa.se/taxon/info/236310"	"Dyntaxa"	"Thereva plebeja"
"15"	"Thereva"	"strigata"	"(Fabricius, 1794)"	"http://dyntaxa.se/taxon/info/236311"	"Dyntaxa"	"Thereva strigata"
"16"	"Thereva"	"unica"	"(Harris, 1780)"	"http://dyntaxa.se/taxon/info/236313"	"Dyntaxa"	"Thereva unica"
"17"	"Thereva"	"valida"	"Loew, 1847"	"http://dyntaxa.se/taxon/info/236314"	"Dyntaxa"	"Thereva valida"
"18"	"Thereva"	"cinifera"	"Meigen, 1830"	"http://dyntaxa.se/taxon/info/250291"	"Dyntaxa"	"Thereva cinifera"
"19"	"Acrosathe"	"sp."	"Irwin & Lyneborg, 1981"	"http://www.faunaeur.org/full_results.php?id=66606"	"Fauna Europaea"	"Acrosathe sp."
"20"	"Acrosathe"	"baltica"	"Andersson, 1994"	"http://dyntaxa.se/taxon/info/102089"	"Dyntaxa"	"Acrosathe baltica"
"21"	"Acrosathe"	"annulata"	"(Fabricius, 1805)"	"http://dyntaxa.se/taxon/info/236296"	"Dyntaxa"	"Acrosathe annulata"
"22"	"Pandivirilia"	"sp."	"Irwin & Lyneborg, 1981"	"http://www.faunaeur.org/full_results.php?id=66560"	"Fauna Europaea"	"Pandivirilia sp."
"23"	"Pandivirilia"	"melaleuca"	"(Loew, 1847)"	"http://dyntaxa.se/taxon/info/102090"	"Dyntaxa"	"Pandivirilia melaleuca"
"24"	"Pandivirilia"	"eximia"	"(Meigen, 1820)"	"http://dyntaxa.se/taxon/info/236299"	"Dyntaxa"	"Pandivirilia eximia"
"25"	"Dialineura"	"sp."	"Rondani, 1856"	"http://www.faunaeur.org/full_results.php?id=66578"	"Fauna Europaea"	"Dialineura sp."
"26"	"Dialineura"	"analis"	"(Linnaeus, 1761)"	"http://dyntaxa.se/taxon/info/236297"	"Dyntaxa"	"Dialineura analis"
"27"	"Dichoglena"	"sp."	"Irwin & Lyneborg, 1981"	"http://www.faunaeur.org/full_results.php?id=66575"	"Fauna Europaea"	"Dichoglena sp."
"28"	"Dichoglena"	"nigripennis"	"(Ruthe, 1831)"	"http://dyntaxa.se/taxon/info/236298"	"Dyntaxa"	"Dichoglena nigripennis"
"29"	"Spiriverpa"	"sp."	"Irwin & Lyneborg, 1981"	"http://www.faunaeur.org/full_results.php?id=66552"	"Fauna Europaea"	"Spiriverpa sp."
"30"	"Spiriverpa"	"lunulata"	"(Zetterstedt, 1838)"	"http://dyntaxa.se/taxon/info/236301"	"Dyntaxa"	"Spiriverpa lunulata"
