"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Thrips"	"minutissimus"	"Linnaeus, 1758"	1	1	78	"2003.vi.08"
"2"	"Oxythrips"	"bicolor"	"(O. M. Reuter, 1879)"	1	1	78	"2003.vi.08"
"3"	"Dendrothrips"	"degeeri"	"Uzel, 1895"	1	1	78	"2003.vi.08"
"4"	"Thrips"	"major"	"Uzel, 1895"	1	1	308	"2003.vii.11"
"5"	"Thrips"	"tabaci"	"Lindeman, 1889"	1	1	309	"2003.viii.04"
"6"	"Oxythrips"	"ulmifoliorum"	"(Haliday, 1836)"	2	1	314	"2004.iii.28"
"7"	"Acanthothrips"	"nodicornis"	"(O. M. Reuter, 1880)"	1	2	81	"2003.vi.08"
"8"	"Thrips"	"trehernei"	"(O. M. Reuter, 1880)"	8	2	81	"2003.vi.08"
"9"	"Frankliniella"	"intonsa"	"(Trybom, 1895)"	4	2	81	"2003.vi.08"
"10"	"Oxythrips"	"ajugae"	"Uzel, 1895"	2	2	81	"2003.vi.08"
"11"	"Thrips"	"major"	"Uzel, 1895"	115	2	81	"2003.vi.08"
"12"	"Thrips"	"atratus"	"Haliday, 1836"	1	2	81	"2003.vi.08"
"13"	"Stenothrips"	"graminum"	"Uzel, 1895"	1	2	81	"2003.vi.08"
"14"	"Thrips"	"trehernei"	"(O. M. Reuter, 1880)"	2	2	82	"2003.vii.02"
"15"	"Thrips"	"fuscipennis"	"Haliday, 1836"	1	2	82	"2003.vii.02"
"16"	"Thrips"	"major"	"Uzel, 1895"	1	2	82	"2003.vii.02"
"17"	"Frankliniella"	"intonsa"	"(Trybom, 1895)"	2	2	82	"2003.vii.02"
"18"	"Ceratothrips"	"ericae"	"(Haliday, 1836)"	1	2	105	"2003.viii.26"
"19"	"Frankliniella"	"intonsa"	"(Trybom, 1895)"	3	2	105	"2003.viii.26"
"20"	"Thrips"	"major"	"Uzel, 1895"	2	2	105	"2003.viii.26"
"21"	"Oxythrips"	"ajugae"	"Uzel, 1895"	1	2	785	"2004.i.28"
"22"	"Thrips"	"major"	"Uzel, 1895"	1	2	787	"2004.vi.21"
"23"	"Oxythrips"	"bicolor"	"(O. M. Reuter, 1879)"	2	2	789	"2004.viii.11"
"24"	"Haplothrips"	"hukkineni"	"Priesner, 1939"	1	2	789	"2004.viii.11"
