"Genus"	"Species"	"Author"	"GUID"	"Source"	"Taxon.name..computed."
"1"	"Acanthothrips"	"nodicornis"	"(O. M. Reuter, 1880)"	"urn:lsid:dyntaxa.se:TaxonName:28668"	"DynTaxa"	"Acanthothrips nodicornis"
"2"	"Thrips"	"trehernei"	"(O. M. Reuter, 1880)"	"urn:lsid:dyntaxa.se:TaxonName:2866"	"DynTaxa"	"Thrips trehernei"
"3"	"Frankliniella"	"intonsa"	"(Trybom, 1895)"	"http://dyntaxa.se/Taxon/Info/264180?changeRoot=True"	"DynTaxa"	"Frankliniella intonsa"
"4"	"Oxythrips"	"ajugae"	"Uzel, 1895"	"urn:lsid:dyntaxa.se:TaxonName:28632"	"DynTaxa"	"Oxythrips ajugae"
"5"	"Thrips"	"major"	"Uzel, 1895"	"urn:lsid:dyntaxa.se:TaxonName:28657"	"DynTaxa"	"Thrips major"
"6"	"Thrips"	"atratus"	"Haliday, 1836"	"urn:lsid:dyntaxa.se:TaxonName:28651"	"DynTaxa"	"Thrips atratus"
"7"	"Stenothrips"	"graminum"	"Uzel, 1895"	"urn:lsid:dyntaxa.se:TaxonName:28646"	"DynTaxa"	"Stenothrips graminum"
"8"	"Thrips"	"fuscipennis"	"Haliday, 1836"	"urn:lsid:dyntaxa.se:TaxonName:28655"	"DynTaxa"	"Thrips fuscipennis"
"9"	"Oxythrips"	"bicolor"	"(O. M. Reuter, 1879)"	"urn:lsid:dyntaxa.se:TaxonName:28633"	"DynTaxa"	"Oxythrips bicolor"
"10"	"Dendrothrips"	"degeeri"	"Uzel, 1895"	"urn:lsid:dyntaxa.se:TaxonName:28608"	"DynTaxa"	"Dendrothrips degeeri"
"11"	"Thrips"	"tabaci"	"Lindeman, 1889"	"urn:lsid:dyntaxa.se:TaxonName:28663"	"DynTaxa"	"Thrips tabaci"
"12"	"Oxythrips"	"ulmifoliorum"	"(Haliday, 1836)"	"urn:lsid:dyntaxa.se:TaxonName:28634"	"DynTaxa"	"Oxythrips ulmifoliorum"
"13"	"Thrips"	"fuscipennis"	"Haliday, 1836"	"urn:lsid:dyntaxa.se:TaxonName:28655"	"DynTaxa"	"Thrips fuscipennis"
"14"	"Frankliniella"	"intonsa"	"(Trybom, 1895)"	"urn:lsid:dyntaxa.se:TaxonName:28614"	"DynTaxa"	"Frankliniella intonsa"
"15"	"Ceratothrips"	"ericae"	"(Haliday, 1836)"	"urn:lsid:dyntaxa.se:TaxonName:28603"	"DynTaxa"	"Ceratothrips ericae"
"16"	"Haplothrips"	"hukkineni"	"Priesner, 1939"	"urn:lsid:dyntaxa.se:TaxonName:28678"	"DynTaxa"	"Haplothrips hukkineni"
"17"	"Limothrips"	"denticornis"	"Haliday, 1836"	"urn:lsid:dyntaxa.se:TaxonName:28623"	"DynTaxa"	"Limothrips denticornis"
"18"	"Taeniothrips"	"picipes"	"(Zetterstedt, 1828)"	"urn:lsid:dyntaxa.se:TaxonName:28648"	"DynTaxa"	"Taeniothrips picipes"
"19"	"Thrips"	"validus"	"Uzel, 1895"	"urn:lsid:dyntaxa.se:TaxonName:28665"	"DynTaxa"	"Thrips validus"
"20"	"Limothrips"	"cerealium"	"Haliday, 1836"	"urn:lsid:dyntaxa.se:TaxonName:28622"	"DynTaxa"	"Limothrips cerealium"
"21"	"Mycterothrips"	"latus"	"(Bagnall, 1912)"	"urn:lsid:dyntaxa.se:TaxonName:28625"	"DynTaxa"	"Mycterothrips latus"
"22"	"Hoplothrips"	"corticis"	"(De Geer, 1773)"	"urn:lsid:dyntaxa.se:TaxonName:28687"	"DynTaxa"	"Hoplothrips corticis"
"23"	"Aeolothrips"	"melaleucus"	"Haliday, 1852"	"urn:lsid:dyntaxa.se:TaxonName:28588"	"DynTaxa"	"Aeolothrips melaleucus"
"24"	"Thrips"	"vulgatissimus"	"Haliday, 1836"	"urn:lsid:dyntaxa.se:TaxonName:28667"	"DynTaxa"	"Thrips vulgatissimus"
"25"	"Thrips"	"angusticeps"	"Uzel, 1895"	"urn:lsid:dyntaxa.se:TaxonName:28650"	"DynTaxa"	"Thrips angusticeps"
"26"	"Odontothrips"	"confusus"	"Priesner, 1926"	"http://www.eu-nomen.eu/portal/taxon.php?GUID=urn:lsid:faunaeur.org:taxname:89712"	"Pesi"	"Odontothrips confusus"
"27"	"Taeniothrips"	"inconsequens"	"(Uzel, 1895)"	"urn:lsid:dyntaxa.se:TaxonName:28647"	"DynTaxa"	"Taeniothrips inconsequens"
"28"	"Cephalothrips"	"monilicornis"	"(O. M. Reuter, 1880)"	"urn:lsid:dyntaxa.se:TaxonName:28671"	"DynTaxa"	"Cephalothrips monilicornis"
"29"	"Thrips"	"nigropilosus"	"Uzel, 1895"	"urn:lsid:dyntaxa.se:TaxonName:28659"	"DynTaxa"	"Thrips nigropilosus"
"30"	"Chirothrips"	"manicatus"	"Haliday, 1836"	"urn:lsid:dyntaxa.se:TaxonName:28606"	"DynTaxa"	"Chirothrips manicatus"
"31"	"Phlaeothrips"	"coriaceus"	"Haliday, 1836"	"urn:lsid:dyntaxa.se:TaxonName:28699"	"DynTaxa"	"Phlaeothrips coriaceus"
"32"	"Haplothrips"	"distinguendus"	"(Uzel, 1895)"	"urn:lsid:dyntaxa.se:TaxonName:28677"	"DynTaxa"	"Haplothrips distinguendus"
"33"	"Haplothrips"	"aculeatus"	"(Fabricius, 1803)"	"urn:lsid:dyntaxa.se:TaxonName:28674"	"DynTaxa"	"Haplothrips aculeatus"
"34"	"Thrips"	"minutissimus"	"Linnaeus, 1758"	"urn:lsid:dyntaxa.se:TaxonName:28658"	"DynTaxa"	"Thrips minutissimus"
"35"	"Thrips"	"pini"	"(Uzel, 1895)"	"urn:lsid:dyntaxa.se:TaxonName:28662"	"DynTaxa"	"Thrips pini"
"36"	"Hercinothrips"	"femoralis"	"(O. M. Reuter, 1891)"	"urn:lsid:dyntaxa.se:TaxonName:28619"	"DynTaxa"	"Hercinothrips femoralis"
