"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Tiphia"	"femorata"	"J.C.Fabricius, 1775"	1	22	245	"2003.vii.13"
"2"	"Tiphia"	"femorata"	"J.C.Fabricius, 1775"	2	22	246	"2003.vii.17"
"3"	"Tiphia"	"femorata"	"J.C.Fabricius, 1775"	29	38	577	"2003.vii.11"
"4"	"Tiphia"	"femorata"	"J.C.Fabricius, 1775"	1	38	1449	"2005.vii.02"
"5"	"Tiphia"	"femorata"	"J.C.Fabricius, 1775"	1	38	1450	"2005.vii.09"
"6"	"Tiphia"	"minuta"	"(Vander Linden, 1827)"	2	20	233	"2003.vi.25"
"7"	"Tiphia"	"minuta"	"(Vander Linden, 1827)"	1	22	1315	"2005.vi.29"
"8"	"Tiphia"	"minuta"	"(Vander Linden, 1827)"	1	24	816	"2003.vi.26"
"9"	"Tiphia"	"minuta"	"(Vander Linden, 1827)"	2	34	1092	"2004.vi.15"
"10"	"Tiphia"	"minuta"	"(Vander Linden, 1827)"	2	34	1093	"2004.vii.09"
"11"	"Tiphia"	"minuta"	"(Vander Linden, 1827)"	3	1002	1374	"2005.vi.25"
"12"	"Tiphia"	"minuta"	"(Vander Linden, 1827)"	10	1002	1375	"2005.vii.07"
