"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Ecnomus"	"tenellus"	"(Rambur, 1842)"	94	8	1560	"2004.vii.29"
"2"	"Hydropsyche"	"angustipennis"	"(Curtis, 1834)"	5	25	450	"2003.vi.29"
"3"	"Hydropsyche"	"contubernalis"	"McLachlan, 1865"	2	16	1668	"2005.vii.19"
"4"	"Hydropsyche"	"siltalai"	"Döhler, 1963"	8	25	450	"2003.vi.29"
"5"	"Cyrnus"	"trimaculatus"	"(Curtis, 1834)"	8	7	379	"2003.vii.03"
"6"	"Cyrnus"	"trimaculatus"	"(Curtis, 1834)"	3	7	382	"2003.viii.26"
"7"	"Cyrnus"	"trimaculatus"	"(Curtis, 1834)"	1	12	891	"2004.vi.27"
"8"	"Cyrnus"	"trimaculatus"	"(Curtis, 1834)"	9	16	1668	"2005.vii.19"
"9"	"Holocentropus"	"dubius"	"(Rambur, 1842)"	1	6	373	"2003.ix.09"
"10"	"Holocentropus"	"dubius"	"(Rambur, 1842)"	1	41	1777	"2005.vi.05"
"11"	"Holocentropus"	"picicornis"	"(Stephens, 1836)"	1	30	1054	"2003.viii.13"
"12"	"Holocentropus"	"picicornis"	"(Stephens, 1836)"	1	41	1157	"2004.vii.09"
"13"	"Holocentropus"	"stagnalis"	"(Albarda, 1874)"	1	2006	2011	"2007.v.10"
"14"	"Plectrocnemia"	"conspersa"	"(Curtis, 1834)"	35	25	450	"2003.vi.29"
"15"	"Plectrocnemia"	"conspersa"	"(Curtis, 1834)"	3	43	1171	"2004.vii.28"
"16"	"Plectrocnemia"	"conspersa"	"(Curtis, 1834)"	1	43	1174	"2004.ix.08"
"17"	"Plectrocnemia"	"conspersa"	"(Curtis, 1834)"	3	43	1909	"2005.vii.14"
"18"	"Plectrocnemia"	"conspersa"	"(Curtis, 1834)"	5	43	1910	"2005.vii.27"
"19"	"Plectrocnemia"	"conspersa"	"(Curtis, 1834)"	1	46	1200	"2004.vii.15"
"20"	"Polycentropus"	"flavomaculatus"	"(Pictet, 1834)"	1	7	382	"2003.viii.26"
"21"	"Polycentropus"	"flavomaculatus"	"(Pictet, 1834)"	4	16	1668	"2005.vii.19"
"22"	"Polycentropus"	"flavomaculatus"	"(Pictet, 1834)"	1	1003	1385	"2005.vi.05"
"23"	"Lype"	"phaeopa"	"(Stephens, 1836)"	1036	16	1668	"2005.vii.19"
"24"	"Lype"	"phaeopa"	"(Stephens, 1836)"	6	25	450	"2003.vi.29"
"25"	"Tinodes"	"waeneri"	"(Linnaeus, 1758)"	1	7	379	"2003.vii.03"
"26"	"Tinodes"	"waeneri"	"(Linnaeus, 1758)"	1	7	382	"2003.viii.26"
"27"	"Tinodes"	"waeneri"	"(Linnaeus, 1758)"	24	16	1668	"2005.vii.19"
"28"	"Philopotamus"	"montanus"	"(Donovan, 1813)"	2	44	676	"2004.vi.03"
"29"	"Rhyacophila"	"fasciata"	"Hagen, 1859"	1	25	450	"2003.vi.29"
"30"	"Rhyacophila"	"nubila"	"(Zetterstedt 1840)"	1	7	382	"2003.viii.26"
"31"	"Rhyacophila"	"nubila"	"(Zetterstedt 1840)"	1	7	861	"2004.ix.04"
"32"	"Rhyacophila"	"nubila"	"(Zetterstedt 1840)"	1	7	862	"2004.ix.20"
"33"	"Rhyacophila"	"nubila"	"(Zetterstedt 1840)"	1	16	1668	"2005.vii.19"
"34"	"Rhyacophila"	"nubila"	"(Zetterstedt 1840)"	1	46	1947	"2005.viii.14"
"35"	"Rhyacophila"	"nubila"	"(Zetterstedt 1840)"	3	1003	1385	"2005.vi.05"
"36"	"Rhyacophila"	"nubila"	"(Zetterstedt 1840)"	5	1003	1387	"2005.vi.27"
"37"	"Agapetus"	"ochripes"	"Curtis, 1834"	15	38	1446	"2005.vi.13"
"38"	"Agapetus"	"ochripes"	"Curtis, 1834"	1	1003	1385	"2005.vi.05"
"39"	"Agapetus"	"ochripes"	"Curtis, 1834"	1	1003	1387	"2005.vi.27"
"40"	"Hydroptila"	"angulata"	"Mosely, 1922"	888	16	1668	"2005.vii.19"
"41"	"Hydroptila"	"forcipata"	"(Eaton, 1873)"	240	16	1668	"2005.vii.19"
"42"	"Hydroptila"	"pulchricornis"	"Pictet, 1834"	1	7	382	"2003.viii.26"
"43"	"Hydroptila"	"pulchricornis"	"Pictet, 1834"	1	30	1054	"2003.viii.13"
"44"	"Hydroptila"	"sparsa"	"Curtis, 1834"	21	11	418	"2004.vi.08"
"45"	"Hydroptila"	"tineoides"	"Dalman, 1819"	1	16	1668	"2005.vii.19"
"46"	"Ithytrichia"	"lamellaris"	"Eaton, 1873"	1	41	1157	"2004.vii.09"
"47"	"Ithytrichia"	"lamellaris"	"Eaton, 1873"	2	1002	1375	"2005.vii.07"
"48"	"Orthotrichia"	"costalis"	"(Curtis, 1834)"	2	8	1560	"2004.vii.29"
"49"	"Oxyethira"	"flavicornis"	"(Pictet, 1834)"	1	7	382	"2003.viii.26"
"50"	"Oxyethira"	"flavicornis"	"(Pictet, 1834)"	4	8	1560	"2004.vii.29"
"51"	"Oxyethira"	"tristella"	"Klapálek, 1895"	9	11	418	"2004.vi.08"
"52"	"Oxyethira"	"tristella"	"Klapálek, 1895"	2	11	1633	"2005.v.22"
"53"	"Goera"	"pilosa"	"(Fabricius, 1775)"	50	16	1668	"2005.vii.19"
"54"	"Ironoquia"	"dubia"	"(Stephens, 1837)"	1	9	360	"2003.ix.01"
"55"	"Apatania"	"stigmatella"	"(Zetterstedt, 1840)"	1	46	1201	"2004.vii.26"
"56"	"Apatania"	"stigmatella"	"(Zetterstedt, 1840)"	24	50	715	"2003.viii.07"
"57"	"Apatania"	"stylata"	"Navas, 1916"	2	7	861	"2004.ix.04"
