"Genus"	"Species"	"Author"	"GUID"	"Source"	"Taxon.name..computed."
"1"	"Agapetus"	"ochripes"	"Curtis, 1834"	"urn:lsid:dyntaxa.se:TaxonName:53523"	"Dyntaxa"	"Agapetus ochripes"
"2"	"Agrypnia"	"obsoleta"	"(Hagen, 1864)"	"urn:lsid:dyntaxa.se:TaxonName:53608"	"Dyntaxa"	"Agrypnia obsoleta"
"3"	"Agrypnia"	"picta"	"Kolenati, 1848"	"urn:lsid:dyntaxa.se:TaxonName:53610"	"Dyntaxa"	"Agrypnia picta"
"4"	"Agrypnia"	"varia"	"(Fabricius, 1793)"	"urn:lsid:dyntaxa.se:TaxonName:53613"	"Dyntaxa"	"Agrypnia varia"
"5"	"Anabolia"	"concentrica"	"(Zetterstedt, 1840)"	"urn:lsid:dyntaxa.se:TaxonName:53644"	"Dyntaxa"	"Anabolia concentrica"
"6"	"Apatania"	"stigmatella"	"(Zetterstedt, 1840)"	"urn:lsid:dyntaxa.se:TaxonName:53634"	"Dyntaxa"	"Apatania stigmatella"
"7"	"Apatania"	"stylata"	"Navas, 1916"	"urn:lsid:dyntaxa.se:TaxonName:53635"	"Dyntaxa"	"Apatania stylata"
"8"	"Asynarchus"	"lapponicus"	"(Zetterstedt, 1840)"	"urn:lsid:dyntaxa.se:TaxonName:53651"	"Dyntaxa"	"Asynarchus lapponicus"
"9"	"Beraea"	"pullata"	"(Curtis, 1834)"	"urn:lsid:dyntaxa.se:TaxonName:53718"	"Dyntaxa"	"Beraea pullata"
"10"	"Beraeodes"	"minutus"	"(Linnaeus, 1761)"	"urn:lsid:dyntaxa.se:TaxonName:53719"	"Dyntaxa"	"Beraeodes minutus"
"11"	"Brachypsyche"	"sibirica"	"(Martynov, 1924)"	"urn:lsid:dyntaxa.se:TaxonName:53642"	"Dyntaxa"	"Brachypsyche sibirica"
"12"	"Chaetopteryx"	"villosa"	"(Fabricius, 1798)"	"urn:lsid:dyntaxa.se:TaxonName:53641"	"Dyntaxa"	"Chaetopteryx villosa"
"13"	"Cyrnus"	"trimaculatus"	"(Curtis, 1834)"	"urn:lsid:dyntaxa.se:TaxonName:53587"	"Dyntaxa"	"Cyrnus trimaculatus"
"14"	"Ecnomus"	"tenellus"	"(Rambur, 1842)"	"urn:lsid:dyntaxa.se:TaxonName:53583"	"Dyntaxa"	"Ecnomus tenellus"
"15"	"Erotesis"	"baltica"	"McLachlan, 1877"	"urn:lsid:dyntaxa.se:TaxonName:53742"	"Dyntaxa"	"Erotesis baltica"
"16"	"Glyphotaelius"	"pellucidus"	"(Retzius, 1783)"	"urn:lsid:dyntaxa.se:TaxonName:53654"	"Dyntaxa"	"Glyphotaelius pellucidus"
"17"	"Goera"	"pilosa"	"(Fabricius, 1775)"	"urn:lsid:dyntaxa.se:TaxonName:53715"	"Dyntaxa"	"Goera pilosa"
"18"	"Grammotaulius"	"nigropunctatus"	"(Retzius, 1783)"	"urn:lsid:dyntaxa.se:TaxonName:53655"	"Dyntaxa"	"Grammotaulius nigropunctatus"
"19"	"Hagenella"	"clathrata"	"(Kolenati, 1848)"	"urn:lsid:dyntaxa.se:TaxonName:53614"	"Dyntaxa"	"Hagenella clathrata"
"20"	"Halesus"	"digitatus"	"(Schrank, 1781)"	"urn:lsid:dyntaxa.se:TaxonName:53703"	"Dyntaxa"	"Halesus digitatus"
"21"	"Holocentropus"	"dubius"	"(Rambur, 1842)"	"urn:lsid:dyntaxa.se:TaxonName:53588"	"Dyntaxa"	"Holocentropus dubius"
"22"	"Holocentropus"	"picicornis"	"(Stephens, 1836)"	"urn:lsid:dyntaxa.se:TaxonName:53590"	"Dyntaxa"	"Holocentropus picicornis"
"23"	"Holocentropus"	"stagnalis"	"(Albarda, 1874)"	"urn:lsid:dyntaxa.se:TaxonName:53591"	"Dyntaxa"	"Holocentropus stagnalis"
"24"	"Hydropsyche"	"angustipennis"	"(Curtis, 1834)"	"urn:lsid:dyntaxa.se:TaxonName:53600"	"Dyntaxa"	"Hydropsyche angustipennis"
"25"	"Hydropsyche"	"contubernalis"	"McLachlan, 1865"	"urn:lsid:dyntaxa.se:TaxonName:53601"	"Dyntaxa"	"Hydropsyche contubernalis"
"26"	"Hydropsyche"	"siltalai"	"Döhler, 1963"	"urn:lsid:dyntaxa.se:TaxonName:53604"	"Dyntaxa"	"Hydropsyche siltalai"
"27"	"Hydroptila"	"angulata"	"Mosely, 1922"	"urn:lsid:dyntaxa.se:TaxonName:53527"	"Dyntaxa"	"Hydroptila angulata"
"28"	"Hydroptila"	"forcipata"	"(Eaton, 1873)"	"urn:lsid:dyntaxa.se:TaxonName:53529"	"Dyntaxa"	"Hydroptila forcipata"
"29"	"Hydroptila"	"pulchricornis"	"Pictet, 1834"	"urn:lsid:dyntaxa.se:TaxonName:53531"	"Dyntaxa"	"Hydroptila pulchricornis"
"30"	"Hydroptila"	"sparsa"	"Curtis, 1834"	"urn:lsid:dyntaxa.se:TaxonName:53533"	"Dyntaxa"	"Hydroptila sparsa"
"31"	"Hydroptila"	"tineoides"	"Dalman, 1819"	"urn:lsid:dyntaxa.se:TaxonName:53534"	"Dyntaxa"	"Hydroptila tineoides"
"32"	"Ironoquia"	"dubia"	"(Stephens, 1837)"	"urn:lsid:dyntaxa.se:TaxonName:53628"	"Dyntaxa"	"Ironoquia dubia"
"33"	"Ithytrichia"	"lamellaris"	"Eaton, 1873"	"urn:lsid:dyntaxa.se:TaxonName:53537"	"Dyntaxa"	"Ithytrichia lamellaris"
"34"	"Limnephilus"	"affinis"	"Curtis, 1834"	"urn:lsid:dyntaxa.se:TaxonName:53660"	"Dyntaxa"	"Limnephilus affinis"
"35"	"Limnephilus"	"auricula"	"Curtis, 1834"	"urn:lsid:dyntaxa.se:TaxonName:53662"	"Dyntaxa"	"Limnephilus auricula"
"36"	"Limnephilus"	"bipunctatus"	"Curtis, 1834"	"urn:lsid:dyntaxa.se:TaxonName:53664"	"Dyntaxa"	"Limnephilus bipunctatus"
"37"	"Limnephilus"	"borealis"	"(Zetterstedt, 1840)"	"urn:lsid:dyntaxa.se:TaxonName:53665"	"Dyntaxa"	"Limnephilus borealis"
"38"	"Limnephilus"	"centralis"	"Curtis, 1834"	"urn:lsid:dyntaxa.se:TaxonName:53666"	"Dyntaxa"	"Limnephilus centralis"
"39"	"Limnephilus"	"elegans"	"Curtis, 1834"	"urn:lsid:dyntaxa.se:TaxonName:53671"	"Dyntaxa"	"Limnephilus elegans"
"40"	"Limnephilus"	"externus"	"Hagen, 1861"	"urn:lsid:dyntaxa.se:TaxonName:53672"	"Dyntaxa"	"Limnephilus externus"
"41"	"Limnephilus"	"extricatus"	"McLachlan, 1865"	"urn:lsid:dyntaxa.se:TaxonName:53673"	"Dyntaxa"	"Limnephilus extricatus"
"42"	"Limnephilus"	"fenestratus"	"(Zetterstedt, 1840)"	"urn:lsid:dyntaxa.se:TaxonName:53676"	"Dyntaxa"	"Limnephilus fenestratus"
"43"	"Limnephilus"	"flavicornis"	"(Fabricius, 1787)"	"urn:lsid:dyntaxa.se:TaxonName:53677"	"Dyntaxa"	"Limnephilus flavicornis"
"44"	"Limnephilus"	"fuscicornis"	"Rambur, 1842"	"urn:lsid:dyntaxa.se:TaxonName:53678"	"Dyntaxa"	"Limnephilus fuscicornis"
"45"	"Limnephilus"	"germanus"	"McLachlan, 1875"	"urn:lsid:dyntaxa.se:TaxonName:53680"	"Dyntaxa"	"Limnephilus germanus"
"46"	"Limnephilus"	"griseus"	"(Linnaeus, 1758)"	"urn:lsid:dyntaxa.se:TaxonName:53681"	"Dyntaxa"	"Limnephilus griseus"
"47"	"Limnephilus"	"ignavus"	"McLachlan, 1865"	"urn:lsid:dyntaxa.se:TaxonName:53683"	"Dyntaxa"	"Limnephilus ignavus"
"48"	"Limnephilus"	"luridus"	"Curtis, 1834"	"urn:lsid:dyntaxa.se:TaxonName:53685"	"Dyntaxa"	"Limnephilus luridus"
"49"	"Limnephilus"	"marmoratus"	"Curtis, 1834"	"urn:lsid:dyntaxa.se:TaxonName:53686"	"Dyntaxa"	"Limnephilus marmoratus"
"50"	"Limnephilus"	"nigriceps"	"(Zetterstedt, 1840)"	"urn:lsid:dyntaxa.se:TaxonName:53687"	"Dyntaxa"	"Limnephilus nigriceps"
"51"	"Limnephilus"	"rhombicus"	"(Linnaeus, 1758)"	"urn:lsid:dyntaxa.se:TaxonName:53692"	"Dyntaxa"	"Limnephilus rhombicus"
"52"	"Limnephilus"	"sericeus"	"(Say, 1824)"	"urn:lsid:dyntaxa.se:TaxonName:53693"	"Dyntaxa"	"Limnephilus sericeus"
"53"	"Limnephilus"	"sparsus"	"Curtis, 1834"	"urn:lsid:dyntaxa.se:TaxonName:53694"	"Dyntaxa"	"Limnephilus sparsus"
"54"	"Limnephilus"	"stigma"	"Curtis, 1834"	"urn:lsid:dyntaxa.se:TaxonName:53695"	"Dyntaxa"	"Limnephilus stigma"
"55"	"Limnephilus"	"subcentralis"	"Brauer, 1857"	"urn:lsid:dyntaxa.se:TaxonName:53696"	"Dyntaxa"	"Limnephilus subcentralis"
"56"	"Limnephilus"	"vittatus"	"(Fabricius, 1798)"	"urn:lsid:dyntaxa.se:TaxonName:53699"	"Dyntaxa"	"Limnephilus vittatus"
"57"	"Limnephilus "	"coenosus"	"Curtis, 1834"	"urn:lsid:dyntaxa.se:TaxonName:53667"	"Dyntaxa"	"Limnephilus  coenosus"
"58"	"Lype"	"phaeopa"	"(Stephens, 1836)"	"urn:lsid:dyntaxa.se:TaxonName:53578"	"Dyntaxa"	"Lype phaeopa"
"59"	"Micropterna"	"lateralis"	"(Stephens, 1837)"	"urn:lsid:dyntaxa.se:TaxonName:53707"	"Dyntaxa"	"Micropterna lateralis"
"60"	"Micropterna"	"sequax"	"McLachlan, 1875"	"urn:lsid:dyntaxa.se:TaxonName:53708"	"Dyntaxa"	"Micropterna sequax"
"61"	"Mystacides"	"azurea"	"(Linnaeus, 1761)"	"urn:lsid:dyntaxa.se:TaxonName:53744"	"Dyntaxa"	"Mystacides azurea"
"62"	"Oecetis"	"lacustris"	"(Pictet, 1834)"	"urn:lsid:dyntaxa.se:TaxonName:53748"	"Dyntaxa"	"Oecetis lacustris"
"63"	"Oligotricha"	"striata"	"(Linnaeus, 1758)"	"urn:lsid:dyntaxa.se:TaxonName:53617"	"Dyntaxa"	"Oligotricha striata"
"64"	"Orthotrichia"	"costalis"	"(Curtis, 1834)"	"urn:lsid:dyntaxa.se:TaxonName:53539"	"Dyntaxa"	"Orthotrichia costalis"
"65"	"Oxyethira"	"flavicornis"	"(Pictet, 1834)"	"urn:lsid:dyntaxa.se:TaxonName:53545"	"Dyntaxa"	"Oxyethira flavicornis"
"66"	"Oxyethira"	"tristella"	"Klapálek, 1895"	"urn:lsid:dyntaxa.se:TaxonName:53571"	"Dyntaxa"	"Oxyethira tristella"
"67"	"Phacopteryx"	"brevipennis"	"(Curtis, 1834)"	"urn:lsid:dyntaxa.se:TaxonName:53701"	"Dyntaxa"	"Phacopteryx brevipennis"
"68"	"Philopotamus"	"montanus"	"(Donovan, 1813)"	"urn:lsid:dyntaxa.se:TaxonName:53574"	"Dyntaxa"	"Philopotamus montanus"
"69"	"Phryganea"	"grandis"	"Linnaeus, 1758"	"urn:lsid:dyntaxa.se:TaxonName:53619"	"Dyntaxa"	"Phryganea grandis"
"70"	"Plectrocnemia"	"conspersa"	"(Curtis, 1834)"	"urn:lsid:dyntaxa.se:TaxonName:53594"	"Dyntaxa"	"Plectrocnemia conspersa"
"71"	"Polycentropus"	"flavomaculatus"	"(Pictet, 1834)"	"urn:lsid:dyntaxa.se:TaxonName:53595"	"Dyntaxa"	"Polycentropus flavomaculatus"
"72"	"Potamophylax"	"latipennis"	"(Curtis, 1834)"	"urn:lsid:dyntaxa.se:TaxonName:53711"	"Dyntaxa"	"Potamophylax latipennis"
"73"	"Rhadicoleptus"	"alpestris"	"(Kolenati, 1848)"	"urn:lsid:dyntaxa.se:TaxonName:53702"	"Dyntaxa"	"Rhadicoleptus alpestris"
"74"	"Rhyacophila"	"fasciata"	"Hagen, 1859"	"urn:lsid:dyntaxa.se:TaxonName:53517"	"Dyntaxa"	"Rhyacophila fasciata"
"75"	"Rhyacophila"	"nubila"	"(Zetterstedt, 1840)"	"urn:lsid:dyntaxa.se:TaxonName:53518"	"Dyntaxa"	"Rhyacophila nubila"
"76"	"Stenophylax"	"permistus"	"McLachlan, 1895"	"urn:lsid:dyntaxa.se:TaxonName:53714"	"Dyntaxa"	"Stenophylax permistus"
"77"	"Tinodes"	"waeneri"	"(Linnaeus, 1758)"	"urn:lsid:dyntaxa.se:TaxonName:53582"	"Dyntaxa"	"Tinodes waeneri"
"78"	"Trichostegia"	"minor"	"(Curtis, 1834)"	"urn:lsid:dyntaxa.se:TaxonName:53622"	"Dyntaxa"	"Trichostegia minor"
"79"	"Limnephilus"	"coenosus"	"(Curtis, 1834)"	"http://dyntaxa.se/Taxon/Info/206424?changeRoot=True"	NA	"Limnephilus coenosus"
