"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Limnephilus"	"sparsus"	"Curtis, 1834"	5	21	238	"2003.vi.25"
"2"	"Limnephilus"	"coenosus"	"Curtis, 1834"	1	2	789	"2004.viii.11"
"3"	"Micropterna"	"lateralis"	"(Stephens, 1837)"	1	2	82	"2003.vii.02"
"4"	"Plectrocnemia"	"conspersa"	"(Curtis, 1834)"	2	2	82	"2003.vii.02"
"5"	"Limnephilus"	"coenosus"	"Curtis, 1834"	3	2	788	"2004.vii.20"
"6"	"Limnephilus"	"coenosus"	"Curtis, 1834"	2	2	787	"2004.vi.21"
"7"	"Micropterna"	"sequax"	"McLachlan, 1875"	1	2	787	"2004.vi.21"
"8"	"Plectrocnemia"	"conspersa"	"(Curtis, 1834)"	1	2	787	"2004.vi.21"
"9"	"Limnephilus"	"sp."	"Leach, 1815"	1	2	787	"2004.vi.21"
"10"	"Halesus"	"tesselatus"	"(Rambur, 1842)"	6	4	88	"2003.vii.02"
"11"	"Plectrocnemia"	"conspersa"	"(Curtis, 1834)"	3	4	88	"2003.vii.02"
"12"	"Limnephilus"	"flavicornis"	"(Fabricius, 1787)"	1	4	88	"2003.vii.02"
"13"	"Limnephilus"	"sp."	"Leach, 1815"	1	4	88	"2003.vii.02"
"14"	"Micropterna"	"lateralis"	"(Stephens, 1837)"	1	4	88	"2003.vii.02"
"15"	"Micropterna"	"lateralis"	"(Stephens, 1837)"	5	4	88	"2003.vii.02"
"16"	"Plectrocnemia"	"conspersa"	"(Curtis, 1834)"	7	4	88	"2003.vii.02"
"17"	"Limnephilus"	"coenosus"	"Curtis, 1834"	1	4	88	"2003.vii.02"
"18"	"Grammotaulius"	"nigropunctatus"	"(Retzius, 1783)"	1	4	88	"2003.vii.02"
"19"	"Micropterna"	"lateralis"	"(Stephens, 1837)"	1	4	88	"2003.vii.02"
"20"	"Glyphotaelius"	"pellucidus"	"(Retzius, 1783)"	1	4	88	"2003.vii.02"
"21"	"Trichostegia"	"minor"	"(Curtis, 1834)"	1	22	246	"2003.vii.17"
"22"	"Limnephilus"	"auricula"	"Curtis, 1834"	2	22	250	"2003.ix.12"
"23"	"Limnephilus"	"bipunctatus"	"Curtis, 1834"	1	22	250	"2003.ix.12"
"24"	"Limnephilus"	"griseus"	"(Linnaeus, 1758)"	1	22	250	"2003.ix.12"
"25"	"Limnephilus"	"sparsus"	"Curtis, 1834"	15	22	250	"2003.ix.12"
"26"	"Stenophylax"	"permistus"	"McLachlan, 1895"	1	22	250	"2003.ix.12"
"27"	"Glyphotaelius"	"pellucidus"	"(Retzius, 1783)"	2	21	239	"2003.vii.24"
"28"	"Limnephilus"	"flavicornis"	"(Fabricius, 1787)"	1	22	244	"2003.vi.25"
"29"	"Limnephilus"	"sparsus"	"Curtis, 1834"	3	22	244	"2003.vi.25"
"30"	"Micropterna"	"lateralis"	"(Stephens, 1837)"	2	22	244	"2003.vi.25"
"31"	"Micropterna"	"sequax"	"McLachlan, 1875"	3	20	233	"2003.vi.25"
