"Genus"	"Species"	"Author"	"GUID"	"Source"	"Taxon.name..computed."
"1"	"Trichoptera"	"sp."	"Kirby, 1813"	"http://www.gbif.org/species/110501848"	"Dyntaxa"	"Trichoptera sp."
"2"	"Ecnomidae"	"sp."	"G.Ulmer, 1903"	"http://dyntaxa.se/taxon/info/2001184"	"Dyntaxa"	"Ecnomidae sp."
"3"	"Ecnomus"	"sp."	"McLachlan, 1878"	"http://www.faunaeur.org/full_results.php?id=409858"	NA	"Ecnomus sp."
"4"	"Ecnomus"	"tenellus"	"(Rambur, 1842)"	"http://dyntaxa.se/taxon/info/206340"	NA	"Ecnomus tenellus"
"5"	"Hydropsychidae"	"sp."	"J.Curtis, 1835"	"http://dyntaxa.se/taxon/info/2001185"	NA	"Hydropsychidae sp."
"6"	"Hydropsychinae"	"sp."	"J.Curtis, 1835"	"http://dyntaxa.se/taxon/info/6000552"	NA	"Hydropsychinae sp."
"7"	"Cheumatopsyche"	"sp."	"Wallengren, 1891"	"http://www.faunaeur.org/full_results.php?id=409986"	NA	"Cheumatopsyche sp."
"8"	"Cheumatopsyche"	"lepida"	"(Pictet, 1834)"	"http://dyntaxa.se/taxon/info/206354"	NA	"Cheumatopsyche lepida"
"9"	"Ceratopsyche"	"sp."	"Ross & Unzicker, 1977"	"http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=115570"	NA	"Ceratopsyche sp."
"10"	"Ceratopsyche"	"nevae"	"(Kolenati, 1858)"	"http://dyntaxa.se/taxon/info/206355"	NA	"Ceratopsyche nevae"
"11"	"Ceratopsyche"	"silfvenii"	"(Ulmer, 1906)"	"http://dyntaxa.se/taxon/info/206356"	NA	"Ceratopsyche silfvenii"
"12"	"Hydropsyche"	"sp."	"Pictet, 1834"	"http://dyntaxa.se/taxon/info/1001869"	NA	"Hydropsyche sp."
"13"	"Hydropsyche"	"contubernalis"	"McLachlan, 1865"	"http://dyntaxa.se/taxon/info/101098"	NA	"Hydropsyche contubernalis"
"14"	"Hydropsyche"	"saxonica"	"McLachlan, 1884"	"http://dyntaxa.se/taxon/info/101099"	NA	"Hydropsyche saxonica"
"15"	"Hydropsyche"	"angustipennis"	"(Curtis, 1834)"	"http://dyntaxa.se/taxon/info/206357"	NA	"Hydropsyche angustipennis"
"16"	"Hydropsyche"	"pellucidula"	"(Curtis, 1834)"	"http://dyntaxa.se/taxon/info/206359"	NA	"Hydropsyche pellucidula"
"17"	"Hydropsyche"	"siltalai"	"Döhler, 1963"	"http://dyntaxa.se/taxon/info/206361"	NA	"Hydropsyche siltalai"
"18"	"Arctopsychinae"	"sp."	"A.V.Martynov, 1924"	"http://dyntaxa.se/taxon/info/6000553"	NA	"Arctopsychinae sp."
"19"	"Arctopsyche"	"sp."	"McLachlan, 1868"	"http://www.faunaeur.org/full_results.php?id=409762"	NA	"Arctopsyche sp."
"20"	"Arctopsyche"	"ladogensis"	"(Kolenati, 1859)"	"http://dyntaxa.se/taxon/info/206362"	NA	"Arctopsyche ladogensis"
"21"	"Polycentropodidae"	"sp."	"G.Ulmer, 1903"	"http://dyntaxa.se/taxon/info/2001187"	NA	"Polycentropodidae sp."
"22"	"Cyrnus"	"sp."	"Stephens, 1836"	"http://www.faunaeur.org/full_results.php?id=171306"	NA	"Cyrnus sp."
"23"	"Cyrnus"	"crenaticornis"	"(Kolenati, 1859)"	"http://dyntaxa.se/taxon/info/206341"	NA	"Cyrnus crenaticornis"
"24"	"Cyrnus"	"flavidus"	"McLachlan, 1864"	"http://dyntaxa.se/taxon/info/206342"	NA	"Cyrnus flavidus"
"25"	"Cyrnus"	"insolutus"	"McLachlan, 1878"	"http://dyntaxa.se/taxon/info/206343"	NA	"Cyrnus insolutus"
