"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Trixoscelis"	"similis"	"Hackman, 1970"	1	1	1574	"2005.viii.04"
"2"	"Trixoscelis"	"similis"	"Hackman, 1970"	1	5	764	"2004.vi.16"
"3"	"Trixoscelis"	"similis"	"Hackman, 1970"	2	5	765	"2004.vi.30"
"4"	"Trixoscelis"	"frontalis"	"(Fallén, 1823)"	1	6	368	"2003.vi.17"
"5"	"Trixoscelis"	"similis"	"Hackman, 1970"	1	6	368	"2003.vi.17"
"6"	"Trixoscelis"	"frontalis"	"(Fallén, 1823)"	1	11	412	"2003.viii.04"
"7"	"Trixoscelis"	"frontalis"	"(Fallén, 1823)"	2	12	892	"2004.vii.17"
"8"	"Trixoscelis"	"frontalis"	"(Fallén, 1823)"	1	20	1499	"2005.viii.02"
"9"	"Trixoscelis"	"frontalis"	"(Fallén, 1823)"	1	21	1508	"2005.viii.01"
"10"	"Trixoscelis"	"frontalis"	"(Fallén, 1823)"	6	22	1725	"2006.v.20"
"11"	"Trixoscelis"	"marginella"	"(Fallén, 1823)"	3	22	1363	"2005.viii.01"
"12"	"Trixoscelis"	"similis"	"Hackman, 1970"	3	22	249	"2003.viii.31"
"13"	"Trixoscelis"	"similis"	"Hackman, 1970"	12	22	247	"2003.viii.07"
"14"	"Trixoscelis"	"similis"	"Hackman, 1970"	2	22	1363	"2005.viii.01"
"15"	"Trixoscelis"	"similis"	"Hackman, 1970"	6	22	1725	"2006.v.20"
"16"	"Trixoscelis"	"frontalis"	"(Fallén, 1823)"	1	22	1364	"2005.viii.19"
"17"	"Trixoscelis"	"frontalis"	"(Fallén, 1823)"	35	22	1725	"2006.v.20"
"18"	"Trixoscelis"	"marginella"	"(Fallén, 1823)"	1	28	488	"2003.vii.08"
"19"	"Trixoscelis"	"marginella"	"(Fallén, 1823)"	1	48	1967	"2005.viii.22"
"20"	"Trixoscelis"	"frontalis"	"(Fallén, 1823)"	1	28	488	"2003.vii.08"
"21"	"Trixoscelis"	"similis"	"Hackman, 1970"	6	30	1055	"2004.vii.03"
"22"	"Trixoscelis"	"frontalis"	"(Fallén, 1823)"	1	30	1717	"2005.vi.16"
"23"	"Trixoscelis"	"marginella"	"(Fallén, 1823)"	1	38	1115	"2004.vi.29"
"24"	"Trixoscelis"	"marginella"	"(Fallén, 1823)"	1	38	1450	"2005.vii.09"
"25"	"Trixoscelis"	"similis"	"Hackman, 1970"	1	1001	1333	"2005.vii.12"
"26"	"Trixoscelis"	"similis"	"Hackman, 1970"	1	1001	1335	"2005.vii.25"
"27"	"Trixoscelis"	"frontalis"	"(Fallén, 1823)"	2	1001	1332	"2005.vii.02"
"28"	"Trixoscelis"	"obscurella"	"(Fallén, 1823)"	2	1002	1376	"2005.vii.15"
"29"	"Trixoscelis"	"frontalis"	"(Fallén, 1823)"	1	1008	1747	"2006.viii.19"
"30"	"Trixoscelis"	"frontalis"	"(Fallén, 1823)"	1	2003	2034	"2006.vi.29 "
"31"	"Trixoscelis"	"frontalis"	"(Fallén, 1823)"	1	2003	2036	"2006.vii.24"
"32"	"Trixoscelis"	"frontalis"	"(Fallén, 1823)"	20	2006	2015	"2007.vii.02"
"33"	"Trixoscelis"	"frontalis"	"(Fallén, 1823)"	28	2006	2045	"2008.x.03"
"34"	"Trixoscelis"	"marginella"	"(Fallén, 1823)"	2	2006	2015	"2007.vii.02"
"35"	"Trixoscelis"	"similis"	"Hackman, 1970"	1	2006	2015	"2007.vii.02"
"36"	"Trixoscelis"	"frontalis"	"(Fallén, 1823)"	35	2006	2015	"2007.vii.02"
"37"	"Trixoscelis"	"marginella"	"(Fallén, 1823)"	1	2046	2055	"2008.vii.16"
"38"	"Trixoscelis"	"frontalis"	"(Fallén, 1823)"	2	2046	2051	"2008.v.01"
"39"	"Trixoscelis"	"frontalis"	"(Fallén, 1823)"	4	2046	2052	"2008.vi.01"
"40"	"Trixoscelis"	"frontalis"	"(Fallén, 1823)"	1	2046	2053	"2008.vi.15"
"41"	"Trixoscelis"	"frontalis"	"(Fallén, 1823)"	3	2046	2054	"2008.vii.01"
"42"	"Trixoscelis"	"frontalis"	"(Fallén, 1823)"	4	2046	2055	"2008.vii.16"
"43"	"Trixoscelis"	"obscurella"	"(Fallén, 1823)"	1	2046	2056	"2008.viii.01"
"44"	"Trixoscelis"	"similis"	"Hackman, 1970"	6	2046	2052	"2008.vi.01"
"45"	"Trixoscelis"	"similis"	"Hackman, 1970"	2	2046	2054	"2008.vii.01"
"46"	"Trixoscelis"	"similis"	"Hackman, 1970"	1	2046	2055	"2008.vii.16"
"47"	"Trixoscelis"	"similis"	"Hackman, 1970"	1	2046	2057	"2008.viii.16"
"48"	"Trixoscelis"	"frontalis"	"(Fallén, 1823)"	5	2046	2051	"2008.v.01"
"49"	"Trixoscelis"	"frontalis"	"(Fallén, 1823)"	6	2046	2052	"2008.vi.01"
"50"	"Trixoscelis"	"frontalis"	"(Fallén, 1823)"	6	2046	2053	"2008.vi.15"
"51"	"Trixoscelis"	"frontalis"	"(Fallén, 1823)"	8	2046	2054	"2008.vii.01"
"52"	"Trixoscelis"	"frontalis"	"(Fallén, 1823)"	5	2046	2055	"2008.vii.16"
"53"	"Trixoscelis"	"frontalis"	"(Fallén, 1823)"	1	2046	2056	"2008.viii.01"
"54"	"Trixoscelis"	"marginella"	"(Fallén, 1823)"	1	22	1364	"2005.viii.19"
"55"	"Trixoscelis"	"marginella"	"(Fallén, 1823)"	1	38	1113	"2004.vi.15"
