"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Vespula"	"vulgaris"	"(Linnaeus, 1758)"	1	47	696	"2003.ix.02"
"2"	"Vespula"	"vulgaris"	"(Linnaeus, 1758)"	1	55	745	"2004.v.28"
"3"	"Dolichovespula"	"saxonica"	"(J.C.Fabricius, 1793)"	1	55	745	"2004.v.28"
"4"	"Dolichovespula"	"norvegicoides"	"(Sladen, 1918)"	1	55	745	"2004.v.28"
"5"	"Vespula"	"rufa"	"(Linnaeus, 1758)"	1	55	745	"2004.v.28"
"6"	"Vespula"	"rufa"	"(Linnaeus, 1758)"	1	59	1289	"2004.viii.05"
"7"	"Vespula"	"rufa"	"(Linnaeus, 1758)"	1	32	1071	"2004.vii.31"
"8"	"Vespula"	"rufa"	"(Linnaeus, 1758)"	1	27	1036	"2004.viii.03"
"9"	"Vespula"	"rufa"	"(Linnaeus, 1758)"	1	27	1036	"2004.viii.03"
"10"	"Vespa"	"crabro"	"Linnaeus, 1758"	1	40	1145	"2004.vi.01"
"11"	"Dolichovespula"	"norvegicoides"	"(Sladen, 1918)"	1	42	650	"2004.v.21"
"12"	"Vespa"	"crabro"	"Linnaeus, 1758"	1	38	1112	"2004.vi.08"
"13"	"Vespa"	"crabro"	"Linnaeus, 1758"	1	40	1145	"2004.vi.01"
"14"	"Dolichovespula"	"adulterina"	"(du Buysson, 1905)"	1	43	1168	"2004.vi.16"
"15"	"Vespula"	"germanica"	"(J.C.Fabricius, 1793)"	1	12	70	"2003.vii.05"
"16"	"Vespula"	"germanica"	"(J.C.Fabricius, 1793)"	1	2046	2058	"2008.ix.01"
"17"	"Vespula"	"germanica"	"(J.C.Fabricius, 1793)"	1	39	1800	"2005.iv.22"
"18"	"Dolichovespula"	"saxonica"	"(J.C.Fabricius, 1793)"	1	12	70	"2003.vii.05"
"19"	"Vespula"	"rufa"	"(Linnaeus, 1758)"	1	29	1396	"2005.vii.12"
"20"	"Dolichovespula"	"saxonica"	"(J.C.Fabricius, 1793)"	1	1001	1333	"2005.vii.12"
"21"	"Dolichovespula"	"norwegica"	"(J.C.Fabricius, 1781)"	1	32	1071	"2004.vii.31"
"22"	"Dolichovespula"	"saxonica"	"(J.C.Fabricius, 1793)"	1	1004	1798	"2005.vii.30"
"23"	"Vespula"	"rufa"	"(Linnaeus, 1758)"	1	16	962	"2004.viii.08"
"24"	"Vespa"	"crabro"	"Linnaeus, 1758"	1	16	962	"2004.viii.08"
"25"	"Vespula"	"vulgaris"	"(Linnaeus, 1758)"	1	16	962	"2004.viii.08"
"26"	"Vespula"	"vulgaris"	"(Linnaeus, 1758)"	1	2046	2058	"2008.ix.01"
"27"	"Vespula"	"vulgaris"	"(Linnaeus, 1758)"	1	43	1168	"2004.vi.16"
"28"	"Vespula"	"vulgaris"	"(Linnaeus, 1758)"	1	31	507	"2003.ix.05"
"29"	"Dolichovespula"	"media"	"(Retzius, 1783)"	1	54	1253	"2004.vii.23"
"30"	"Dolichovespula"	"saxonica"	"(J.C.Fabricius, 1793)"	1	32	1071	"2004.vii.31"
"31"	"Vespula"	"vulgaris"	"(Linnaeus, 1758)"	1	32	1071	"2004.vii.31"
