"Genus"	"Species"	"Author"	"GUID"	"Source"	"Taxon.name..computed."
"1"	"Discoelius"	"sp."	"Latreille, 1809"	"http://dyntaxa.se/taxon/info/1006910"	"Dyntaxa"	"Discoelius sp."
"2"	"Discoelius"	"dufourii"	"Lepeletier, 1841"	"http://dyntaxa.se/taxon/info/100843"	"Dyntaxa"	"Discoelius dufourii"
"3"	"Discoelius"	"zonalis"	"(Panzer, 1801)"	"http://dyntaxa.se/taxon/info/100844"	"Dyntaxa"	"Discoelius zonalis"
"4"	"Eumenes"	"sp."	"Latreille, 1802"	"http://dyntaxa.se/taxon/info/1006911"	"Dyntaxa"	"Eumenes sp."
"5"	"Eumenes"	"papillarius"	"(Christ, 1791)"	"http://dyntaxa.se/taxon/info/100940"	"Dyntaxa"	"Eumenes papillarius"
"6"	"Eumenes"	"pedunculatus"	"(Panzer, 1799)"	"http://dyntaxa.se/taxon/info/232902"	"Dyntaxa"	"Eumenes pedunculatus"
"7"	"Eumenes"	"coarctatus"	"(Linnaeus, 1758)"	"http://dyntaxa.se/taxon/info/232903"	"Dyntaxa"	"Eumenes coarctatus"
"8"	"Eumenes"	"coronatus"	"(Panzer, 1799)"	"http://dyntaxa.se/taxon/info/232904"	"Dyntaxa"	"Eumenes coronatus"
"9"	"Pterocheilus"	"sp."	"Klug, 1805"	"http://dyntaxa.se/taxon/info/1006912"	"Dyntaxa"	"Pterocheilus sp."
"10"	"Pterocheilus"	"phaleratus"	"(Panzer, 1797)"	"http://dyntaxa.se/taxon/info/101668"	"Dyntaxa"	"Pterocheilus phaleratus"
"11"	"Stenodynerus"	"sp."	"Saussure, 1863"	"http://dyntaxa.se/taxon/info/1006913"	"Dyntaxa"	"Stenodynerus sp."
"12"	"Stenodynerus"	"bluethgeni"	"van der Vecht, 1971"	"http://dyntaxa.se/taxon/info/101827"	"Dyntaxa"	"Stenodynerus bluethgeni"
"13"	"Stenodynerus"	"dentisquama"	"(Thomson, 1870)"	"http://dyntaxa.se/taxon/info/101828"	"Dyntaxa"	"Stenodynerus dentisquama"
"14"	"Stenodynerus"	"picticrus"	"(Thomson, 1874)"	"http://dyntaxa.se/taxon/info/232884"	"Dyntaxa"	"Stenodynerus picticrus"
"15"	"Symmorphus"	"sp."	"Wesmael, 1836"	"http://dyntaxa.se/taxon/info/1006914"	"Dyntaxa"	"Symmorphus sp."
"16"	"Symmorphus"	"connexus"	"(Curtis, 1826)"	"http://dyntaxa.se/taxon/info/101864"	"Dyntaxa"	"Symmorphus connexus"
"17"	"Symmorphus"	"debilitatus"	"(Saussure, 1855)"	"http://dyntaxa.se/taxon/info/101865"	"Dyntaxa"	"Symmorphus debilitatus"
