"Genus"	"Species"	"Author"	"GUID"	"Source"	"Taxon.name..computed."
"1"	"Discoelius"	"sp."	"Latreille, 1809"	"http://dyntaxa.se/taxon/info/1006910"	"Dyntaxa"	"Discoelius sp."
"2"	"Discoelius"	"dufourii"	"Lepeletier, 1841"	"http://dyntaxa.se/taxon/info/100843"	"Dyntaxa"	"Discoelius dufourii"
"3"	"Discoelius"	"zonalis"	"(Panzer, 1801)"	"http://dyntaxa.se/taxon/info/100844"	NA	"Discoelius zonalis"
"4"	"Eumenes"	"sp."	"Latreille, 1802"	"http://dyntaxa.se/taxon/info/1006911"	NA	"Eumenes sp."
"5"	"Eumenes"	"pedunculatus"	"(Panzer, 1799)"	"http://dyntaxa.se/taxon/info/232902"	NA	"Eumenes pedunculatus"
"6"	"Eumenes"	"coarctatus"	"(Linnaeus, 1758)"	"http://dyntaxa.se/taxon/info/232903"	NA	"Eumenes coarctatus"
"7"	"Eumenes"	"coronatus"	"(Panzer, 1799)"	"http://dyntaxa.se/taxon/info/232904"	NA	"Eumenes coronatus"
"8"	"Pterocheilus"	"sp."	"Klug, 1805"	"http://dyntaxa.se/taxon/info/1006912"	NA	"Pterocheilus sp."
"9"	"Pterocheilus"	"phaleratus"	"(Panzer, 1797)"	"http://dyntaxa.se/taxon/info/101668"	NA	"Pterocheilus phaleratus"
"10"	"Stenodynerus"	"sp."	"Saussure, 1863"	"http://dyntaxa.se/taxon/info/1006913"	NA	"Stenodynerus sp."
"11"	"Stenodynerus"	"bluethgeni"	"van der Vecht, 1971"	"http://dyntaxa.se/taxon/info/101827"	NA	"Stenodynerus bluethgeni"
"12"	"Stenodynerus"	"dentisquama"	"(Thomson, 1870)"	"http://dyntaxa.se/taxon/info/101828"	NA	"Stenodynerus dentisquama"
"13"	"Stenodynerus"	"picticrus"	"(Thomson, 1874)"	"http://dyntaxa.se/taxon/info/232884"	NA	"Stenodynerus picticrus"
"14"	"Symmorphus"	"sp."	"Wesmael, 1836"	"http://dyntaxa.se/taxon/info/1006914"	NA	"Symmorphus sp."
"15"	"Symmorphus"	"connexus"	"(Curtis, 1826)"	"http://dyntaxa.se/taxon/info/101864"	NA	"Symmorphus connexus"
"16"	"Symmorphus"	"debilitatus"	"(Saussure, 1855)"	"http://dyntaxa.se/taxon/info/101865"	NA	"Symmorphus debilitatus"
"17"	"Symmorphus"	"fuscipes"	"(Herrich-Schäffer, 1838)"	"http://dyntaxa.se/taxon/info/101866"	NA	"Symmorphus fuscipes"
"18"	"Symmorphus"	"murarius"	"(Linnaeus, 1758)"	"http://dyntaxa.se/taxon/info/101867"	NA	"Symmorphus murarius"
