"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Ischnoceros"	"caligatus"	"(Gravenhorst, 1829)"	1	5	765	"2004.vi.30"
"2"	"Ischnoceros"	"caligatus"	"(Gravenhorst, 1829)"	1	31	503	"2003.vii.10"
"3"	"Ischnoceros"	"caligatus"	"(Gravenhorst, 1829)"	1	31	515	"2004.iv.14"
"4"	"Ischnoceros"	"caligatus"	"(Gravenhorst, 1829)"	1	40	1811	"2005.v.22"
"5"	"Ischnoceros"	"caligatus"	"(Gravenhorst, 1829)"	1	1000	1323	"2005.vii.02"
"6"	"Ischnoceros"	"caligatus"	"(Gravenhorst, 1829)"	1	1006	1423	"2005.v.01"
"7"	"Ischnoceros"	"rusticus"	"(Geoffroy, 1785)"	1	4	89	"2003.vii.21"
"8"	"Ischnoceros"	"rusticus"	"(Geoffroy, 1785)"	2	9	1609	"2005.vi.11"
"9"	"Ischnoceros"	"rusticus"	"(Geoffroy, 1785)"	1	10	399	"2003.viii.04"
"10"	"Ischnoceros"	"rusticus"	"(Geoffroy, 1785)"	1	10	407	"2004.iv.15"
"11"	"Ischnoceros"	"rusticus"	"(Geoffroy, 1785)"	1	10	408	"2004.v.13"
"12"	"Ischnoceros"	"rusticus"	"(Geoffroy, 1785)"	1	24	818	"2003.viii.01"
"13"	"Ischnoceros"	"rusticus"	"(Geoffroy, 1785)"	1	24	1308	"2004.v.19"
"14"	"Ischnoceros"	"rusticus"	"(Geoffroy, 1785)"	1	24	1672	"2005.iv.30"
"15"	"Ischnoceros"	"rusticus"	"(Geoffroy, 1785)"	2	24	1673	"2005.v.31"
"16"	"Ischnoceros"	"rusticus"	"(Geoffroy, 1785)"	2	27	487	"2004.vi.02"
"17"	"Ischnoceros"	"rusticus"	"(Geoffroy, 1785)"	2	31	515	"2004.iv.14"
"18"	"Ischnoceros"	"rusticus"	"(Geoffroy, 1785)"	1	33	1078	"2004.v.30"
"19"	"Ischnoceros"	"rusticus"	"(Geoffroy, 1785)"	1	37	834	"2004.vii.14"
"20"	"Ischnoceros"	"rusticus"	"(Geoffroy, 1785)"	2	40	1811	"2005.v.22"
"21"	"Ischnoceros"	"rusticus"	"(Geoffroy, 1785)"	1	44	1186	"2004.vii.05"
"22"	"Ischnoceros"	"rusticus"	"(Geoffroy, 1785)"	1	1000	1323	"2005.vii.02"
"23"	"Ischnoceros"	"rusticus"	"(Geoffroy, 1785)"	1	1001	1329	"2005.vi.04"
"24"	"Ischnoceros"	"rusticus"	"(Geoffroy, 1785)"	3	1003	1386	"2005.vi.18"
"25"	"Ischnoceros"	"rusticus"	"(Geoffroy, 1785)"	1	1006	1424	"2005.v.22"
"26"	"Ischnoceros"	"rusticus"	"(Geoffroy, 1785)"	2	1008	1340	"2005.vi.10"
"27"	"Ischnoceros"	"rusticus"	"(Geoffroy, 1785)"	1	1008	1739	"2006.vi.22"
"28"	"Ischnoceros"	"rusticus"	"(Geoffroy, 1785)"	1	2003	2034	"2006.vi.29 "
"29"	"Odontocolon"	"dentipes"	"(Gmelin, 1790)"	3	3	84	"2003.vi.08 "
"30"	"Odontocolon"	"dentipes"	"(Gmelin, 1790)"	1	3	85	"2003.vii.02"
"31"	"Odontocolon"	"dentipes"	"(Gmelin, 1790)"	2	3	109	"2003.viii.04"
"32"	"Odontocolon"	"dentipes"	"(Gmelin, 1790)"	7	3	796	"2004.iv.28"
"33"	"Odontocolon"	"dentipes"	"(Gmelin, 1790)"	2	3	799	"2004.vii.20"
"34"	"Odontocolon"	"dentipes"	"(Gmelin, 1790)"	4	3	800	"2004.viii.11"
"35"	"Odontocolon"	"dentipes"	"(Gmelin, 1790)"	2	4	88	"2003.vii.02"
"36"	"Odontocolon"	"dentipes"	"(Gmelin, 1790)"	3	4	89	"2003.vii.21"
"37"	"Odontocolon"	"dentipes"	"(Gmelin, 1790)"	7	7	858	"2004.vi.27"
