"Genus"	"Species"	"Author"	"GUID"	"Source"	"Taxon.name..computed."
"1"	"Ischnoceros"	"sp."	"Gravehorst, 1829"	"https://www.dyntaxa.se/taxon/info/1014907"	"Dyntaxa"	"Ischnoceros sp."
"2"	"Ischnoceros"	"caligatus"	"(Gravenhorst, 1829)"	"https://www.dyntaxa.se/taxon/info/256281"	"Dyntaxa"	"Ischnoceros caligatus"
"3"	"Ischnoceros"	"rusticus"	"(Geoffroy, 1785)"	"https://www.dyntaxa.se/taxon/info/256282"	"Dyntaxa"	"Ischnoceros rusticus"
"4"	"Odontocolon"	"sp."	"Cushman, 1942"	"https://www.dyntaxa.se/taxon/info/1014908"	"Dyntaxa"	"Odontocolon sp."
"5"	"Odontocolon"	"appendiculatum"	"(Gravenhorst, 1829)"	"https://www.dyntaxa.se/taxon/info/256283"	"Dyntaxa"	"Odontocolon appendiculatum"
"6"	"Odontocolon"	"dentipes"	"(Gmelin, 1790)"	"https://www.dyntaxa.se/taxon/info/256284"	"Dyntaxa"	"Odontocolon dentipes"
"7"	"Odontocolon"	"geniculatum"	"(Kriechbaumer, 1889)"	"https://www.dyntaxa.se/taxon/info/256285"	"Dyntaxa"	"Odontocolon geniculatum"
"8"	"Odontocolon"	"punctulatum"	"(Thomson, 1877)"	"https://www.dyntaxa.se/taxon/info/256286"	"Dyntaxa"	"Odontocolon punctulatum"
"9"	"Odontocolon"	"quercinum"	"(Thomson, 1877)"	"https://www.dyntaxa.se/taxon/info/256287"	"Dyntaxa"	"Odontocolon quercinum"
"10"	"Odontocolon"	"rufiventris"	"(Holmgren, 1860)"	"https://www.dyntaxa.se/taxon/info/256288"	"Dyntaxa"	"Odontocolon rufiventris"
"11"	"Odontocolon"	"spinipes"	"(Gravenhorst, 1829)"	"https://www.dyntaxa.se/taxon/info/256289"	"Dyntaxa"	"Odontocolon spinipes"
"12"	"Odontocolon"	"thomsoni"	"(Clément, 1938)"	"https://www.dyntaxa.se/taxon/info/256290"	"Dyntaxa"	"Odontocolon thomsoni"
"13"	"Xorides"	"sp."	"Latreille, 1809"	"https://www.dyntaxa.se/taxon/info/1014909"	"Dyntaxa"	"Xorides sp."
"14"	"Xorides"	"rufipes"	"(Gravenhorst, 1829)"	"https://www.dyntaxa.se/taxon/info/256291"	"Dyntaxa"	"Xorides rufipes"
"15"	"Xorides"	"alpestris"	"(Habermehl, 1903)"	"https://www.dyntaxa.se/taxon/info/256292"	"Dyntaxa"	"Xorides alpestris"
"16"	"Xorides"	"ater"	"(Gravenhorst, 1829)"	"https://www.dyntaxa.se/taxon/info/256293"	"Dyntaxa"	"Xorides ater"
"17"	"Xorides"	"brachylabis"	"(Kriechbaumer, 1889)"	"https://www.dyntaxa.se/taxon/info/256294"	"Dyntaxa"	"Xorides brachylabis"
"18"	"Xorides"	"depressus"	"(Holmgren, 1860)"	"https://www.dyntaxa.se/taxon/info/256295"	"Dyntaxa"	"Xorides depressus"
"19"	"Xorides"	"filiformis"	"(Gravenhorst, 1829)"	"https://www.dyntaxa.se/taxon/info/256296"	"Dyntaxa"	"Xorides filiformis"
"20"	"Xorides"	"fuligator"	"(Thunberg, 1824)"	"https://www.dyntaxa.se/taxon/info/256297"	"Dyntaxa"	"Xorides fuligator"
"21"	"Xorides"	"gracilicornis"	"(Gravenhorst, 1829)"	"https://www.dyntaxa.se/taxon/info/256298"	"Dyntaxa"	"Xorides gracilicornis"
"22"	"Xorides"	"gravenhorstii"	"(Curtis, 1831)"	"https://www.dyntaxa.se/taxon/info/256299"	"Dyntaxa"	"Xorides gravenhorstii"
"23"	"Xorides"	"indicatorius"	"(Latreille, 1806)"	"https://www.dyntaxa.se/taxon/info/256300"	"Dyntaxa"	"Xorides indicatorius"
"24"	"Xorides"	"irrigator"	"(Fabricius, 1793)"	"https://www.dyntaxa.se/taxon/info/256301"	"Dyntaxa"	"Xorides irrigator"
"25"	"Xorides"	"praecatorius"	"(Fabricius, 1793)"	"https://www.dyntaxa.se/taxon/info/256302"	"Dyntaxa"	"Xorides praecatorius"
"26"	"Xorides"	"sepulchralis"	"(Holmgren, 1860)"	"https://www.dyntaxa.se/taxon/info/256303"	"Dyntaxa"	"Xorides sepulchralis"
