"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"Order"	"AnalysisTaxon"	"SciName"
"1"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	5	353	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"2"	"Acartophthalmus"	"bicolor"	"Oldenberg, 1910"	1	5	764	"Diptera"	"Acartophthalmidae"	"Acartophthalmus bicolor"
"3"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	3	5	764	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"4"	"Acartophthalmus"	"bicolor"	"Oldenberg, 1910"	1	5	765	"Diptera"	"Acartophthalmidae"	"Acartophthalmus bicolor"
"5"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	9	5	768	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"6"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	9	1612	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"7"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	11	415	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"8"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	14	1656	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"9"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	2	16	1666	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"10"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	2	17	1517	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"11"	"Acartophthalmus"	"bicolor"	"Oldenberg, 1910"	1	24	1673	"Diptera"	"Acartophthalmidae"	"Acartophthalmus bicolor"
"12"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	24	1673	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"13"	"Acartophthalmus"	"bicolor"	"Oldenberg, 1910"	9	25	450	"Diptera"	"Acartophthalmidae"	"Acartophthalmus bicolor"
"14"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	4	25	450	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"15"	"Acartophthalmus"	"bicolor"	"Oldenberg, 1910"	2	25	451	"Diptera"	"Acartophthalmidae"	"Acartophthalmus bicolor"
"16"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	2	25	451	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"17"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	2	25	452	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"18"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	5	25	453	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"19"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	27	1038	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"20"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	28	1462	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"21"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	2	28	1464	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"22"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	30	1056	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"23"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	31	1063	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"24"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	32	1536	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"25"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	2	33	1082	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"26"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	2	34	548	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"27"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	2	37	571	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"28"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	3	38	580	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"29"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	38	1113	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"30"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	4	38	1115	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"31"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	4	38	1128	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"32"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	9	38	1443	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"33"	"Acartophthalmus"	"pusio"	"Frey, 1947"	4	38	1443	"Diptera"	"Acartophthalmidae"	"Acartophthalmus pusio"
"34"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	41	1155	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"35"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	14	42	644	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"36"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	22	42	645	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"37"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	43	1175	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"38"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	44	671	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"39"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	44	673	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"40"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	44	1188	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"41"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	2	45	291	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"42"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	3	45	292	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"43"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	45	1192	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"44"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	26	45	1194	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"45"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	2	46	1200	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"46"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	48	1208	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"47"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	5	48	1210	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"48"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	49	708	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"49"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	51	287	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"50"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	52	183	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"51"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	53	1248	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"52"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	57	1276	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"53"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	58	1285	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"54"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	5	1001	1361	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"55"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	2	1002	1371	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"56"	"Acartophthalmus"	"pusio"	"Frey, 1947"	1	1002	1371	"Diptera"	"Acartophthalmidae"	"Acartophthalmus pusio"
"57"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	1003	1384	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"58"	"Acartophthalmus"	"bicolor"	"Oldenberg, 1910"	1	1003	1388	"Diptera"	"Acartophthalmidae"	"Acartophthalmus bicolor"
"59"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	25	1003	1388	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"60"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	4	1003	1389	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"61"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	4	1003	1896	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"62"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	2	1004	1898	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"63"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	1004	1899	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"64"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	7	1005	1419	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"65"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	10	1005	1901	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"66"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	2	1006	1424	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"67"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	3	1006	1426	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"68"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	4	1007	1981	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"69"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	1008	1339	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"70"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	1008	1340	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"71"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	3	1008	1345	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"72"	"Acartophthalmus"	"bicolor"	"Oldenberg, 1910"	1	1008	1351	"Diptera"	"Acartophthalmidae"	"Acartophthalmus bicolor"
"73"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	1008	1483	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"74"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	1008	1484	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"75"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	1008	1486	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"76"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	4	1008	1739	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"77"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	2	1008	1741	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"78"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	1008	1747	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"79"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	1008	2000	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"80"	"Acartophthalmus"	"bicolor"	"Oldenberg, 1910"	51	2003	2031	"Diptera"	"Acartophthalmidae"	"Acartophthalmus bicolor"
"81"	"Acartophthalmus"	"bicolor"	"Oldenberg, 1910"	9	2003	2034	"Diptera"	"Acartophthalmidae"	"Acartophthalmus bicolor"
"82"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	3	2003	2034	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"83"	"Acartophthalmus"	"bicolor"	"Oldenberg, 1910"	17	2003	2036	"Diptera"	"Acartophthalmidae"	"Acartophthalmus bicolor"
"84"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	2003	2036	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"85"	"Acartophthalmus"	"bicolor"	"Oldenberg, 1910"	2	2003	2037	"Diptera"	"Acartophthalmidae"	"Acartophthalmus bicolor"
"86"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	5	2003	2037	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"87"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	5	2003	2038	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"88"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	2046	2058	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"89"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	2	2046	2059	"Diptera"	"Acartophthalmidae"	"Acartophthalmus nigrinus"
"141"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	43	1170	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"210"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	43	1170	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"310"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	43	1170	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"410"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	43	1170	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"510"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	43	1170	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"610"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	43	1170	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"710"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	43	1170	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"810"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	43	1169	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"910"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	43	1908	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"1010"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	43	1908	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"1110"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	43	1908	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"1210"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	2046	2052	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
