taxon;records;samples
1;Acartophthalmidae;358;79
2;Adeliini;140;63
3;Adelognathinae;503;204
4;Anomaloninae;32;15
5;Anthomyzidae;549;79
6;Asilidae;269;57
7;Asteiidae;151;54
8;Auchenorrhyncha excl Delphacidae;2171;66
9;Aulacigastridae;73;15
10;Banchini;218;49
11;Bethylidae;13;9
12;Brachycyrtinae;10;4
13;Chloropidae;1419;36
14;Chrysididae;41;14
15;Clusiidae;54;15
16;Coleoptera;5018;103
17;Conopidae;87;30
18;Dermaptera;102;15
19;Diacritinae;97;17
20;Diplazontinae;2788;320
21;Dixidae;11;8
22;Dolichopodidae;43148;390
23;Drosophilidae;7405;356
24;Dryinidae+Embolemidae;480;89
25;Dryomyzidae;176;11
26;Eumeninae;53;30
27;Eupelmidae;618;65
28;Evaniidae;325;98
29;Figitidae excl Charipinae;1094;165
30;Formicidae;147;12
31;Gasteruptiidae+Aulacidae;50;32
32;Heleomyzidae+Odiniidae;4921;267
33;Heloridae;136;52
34;Ichneumoninae excl Phaeogenini;5659;423
35;Ismaridae;260;112
36;Lauxaniidae;352;42
37;Lonchaeidae;386;126
38;Macrolepidoptera;425;30
39;Meteorini;1322;285
40;Microlepidoptera;919;27
41;Milichiidae excl Phyllomyza;738;109
42;Muscidae;565;6
43;Mycetophilidae+Keroplatidae;826;41
44;Mymar;13;7
45;Neorhacodini;25;12
46;Netelia;40;13
47;Odonata;116;43
48;Omphale;189;44
49;Pachyneuridae;10;2
50;Pallopteridae;231;65
51;Phoridae;44132;103
52;Phrudus group;488;129
53;Pimplinae;2224;391
54;Piophilidae;1064;55
55;Platygastridae (s str);3012;251
56;Plecoptera;3097;109
57;Poemeniinae;57;44
58;Pompilidae;2304;296
59;Rhyssinae;5;4
60;Sciomyzidae;1023;144
61;Sepsidae;5223;111
62;Small mycetophiloid families;141;32
63;Small parasitic aculeate families;204;38
64;Sphecidae (s lat);56;23
65;Strepsiptera;208;91
66;Symphyta;2912;333
67;Syrphidae;134;9
68;Tephritidae+Ulidiidae;495;107
69;Therevidae;37;16
70;Thysanoptera;1528;66
71;Trichoptera;3548;108
72;Trixoscelididae;245;36
73;Vespinae;240;36
74;Xoridinae;115;55
