"group";"numSpec";"numSiteObs";"numTraps";"numSamples";"numSp2003";"numSpSmtp";"S1";"S2";"Q1";"Q2";"chao1";"chao1.se";"ace";"ace.se";"chao2";"chao2.se";"jack1";"jack1.se";"jack2";"boot";"boot.se";"preston";"cne";"chao1p";"chao2p";"jack1p";"jack2p"
"Acartophthalmidae";258;40;40;76;1;1;0;0;0;0;1;0;NA;NA;1;0;1;0;1;1;0;NA;1;1;1;1;1
"Adeliini";131;29;29;58;1;1;0;0;0;0;1;0;NA;NA;1;0;1;0;1;1;0;NA;1;1;1;1;1
"Adelognathinae";475;163;48;194;22;18;3;2;5;0;19;1.80803922743762;19.8181011535049;2.02196886483507;27.7916666666667;10.0735540281733;22.8958333333333;2.18948322796854;27.6875;19.9728815348674;1.14665399160193;24.1569683617476;64.2927160493827;19.5277777777778;30.1604938271605;24.6624871399177;29.8238811728395
"Aulacigastridae";58;9;9;11;1;1;0;0;0;0;1;0;NA;NA;1;0;1;0;1;1;0;NA;1;1;1;1;1
"Banchini";208;36;21;48;19;10;3;3;5;2;10.75;1.41347465858611;11.8461538461538;1.66090273152821;15.952380952381;7.21196725279093;14.7619047619048;2.53769763704271;17.5666666666667;12.079324636526;1.58301480853126;NA;17.2;11.7175;16.6666666666667;18.452380952381;21.9583333333333
"Clusiidae";42;18;10;12;11;5;1;0;1;0;5;0.447213595499958;5.46611031956035;0.993394029916808;5;0.402492235949962;5.9;0.9;6.7;5.4112260124;0.600826666456803;6.47457566925383;5;5.2;5.2;6.136;6.968
"Diplazontinae";2449;506;66;299;49;39;5;2;5;5;42.3333333333333;4.11863537875167;42.9074132326727;3.06816044922863;41.4621212121212;2.91961676856714;43.9242424242424;2.20218815965888;43.9988344988345;41.5369411167015;1.43696358973027;49.1693193725126;40.7345297612784;43.029147490686;41.3350865658558;44.6462056462056;44.7220237575267
"Dolichopodidae";41798;1365;69;386;314;173;17;14;31;26;182.066666666667;5.89441065033654;184.765512031132;6.50703671342378;191.212931995541;8.58908892866946;203.550724637681;8.79842646946511;208.777067348679;188.559490211494;5.63692587671387;191.167518494978;194.954121396824;183.824736320403;196.330129454524;210.086601091181;215.480758140956
"Drosophilidae";7384;430;67;356;59;35;6;3;10;2;38.75;4.20202104311416;39.6176;2.54995619272566;59.6268656716418;23.8843280667433;44.8507462686567;3.11507948613602;52.6413387607417;39.0310562104442;1.69538799387339;63.6780591261365;98.4672229001471;39.8887755102041;54.0816326530612;48.512031678343;56.9385909044758
"Dryinidae+Embolemidae";463;134;44;88;33;19;2;0;2;0;20;2.30217288664427;19.7708695881453;2.14374488575608;19.9772727272727;2.25473323249503;20.9545454545455;1.38207234504643;22.8636363636364;19.9388742080379;0.839840729872858;25.8630397579535;21.6779012345679;20.2216066481994;20.2216066481994;21.1867287836817;23.1169730546462
