"group";"known2003";"expert2007";"expert2017";"propCatch";"numSpec";"numSiteObs";"numTraps";"numSamples";"numSp2003";"numSpSmtp";"numNewSmtp";"mr";"S1";"S2";"Q1";"Q2";"chao1";"chao1.se";"ace";"ace.se";"chao2";"chao2.se";"jack1";"jack1.se";"jack2";"boot";"boot.se";"preston";"cne";"chao1p";"chao2p";"jack1p";"jack2p"
"Acartophthalmidae";1;3;3;0.316671343247685;358;48;40;79;1;3;2;3;0;0;0;1;3;0;3;0.816496580927726;3;0;3;0;2.07435897435897;3.13001445781499;0.336714336156369;NA;3;3;3;3;2.07435897435897
"Adeliini";1;4;6;0.218863991662324;140;35;31;63;1;2;1;2;0;0;0;0;2;0;2;0.707106781186548;2;0;2;0;2;2.00127036277699;0.0356195024587575;NA;2;2;2;2;2
"Adelognathinae";22;40;40;0.44293903074518;503;180;51;204;22;25;7;30.4736842105263;6;3;8;2;28.75;4.19897842777937;30.0106467926537;2.58078755756881;40.6862745098039;16.178550074303;32.843137254902;2.77296776935901;38.6462745098039;28.3450013447089;1.5009758650946;35.7320845403357;44.659611952862;30.406;37.8490666666667;36.2062745098039;42.6036530196078
"Aulacigastridae";1;1;2;0.177649343881757;73;15;11;15;1;2;1;2;0;0;0;0;2;0;NA;NA;2;0;2;0;2;2.00017114677747;0.0130811882584027;NA;2;2;2;2;2
"Banchini";19;28;28;0.182386659718603;218;37;21;49;19;11;1;20.8181818181818;3;3;6;2;11.75;1.41436047686247;14.8338752362949;2.11947463570948;19.5714285714286;9.71008312455224;16.7142857142857;2.71052370871575;20.4238095238095;13.438267001167;1.64371372627113;NA;20;12.6239669421488;20.7603305785124;21.6871310507674;26.5003148366785
"Brachycyrtinae";0;0;1;0.694806322737537;10;2;2;4;0;1;1;1;0;0;0;1;1;0;1;0;1;0;1;0;1;1;0;NA;1;1;1;1;1
"Clusiidae";11;11;14;0.0558326509342664;54;24;11;15;11;8;3;17;2;0;2;1;9;2.24845626053867;8.98029556650246;1.18833241140791;9.81818181818182;3.42571703298487;9.81818181818182;1.28564869306645;10.7181818181818;8.90824319901483;0.923071374580936;8.97031429358211;14.6844444444444;9.5625;9.03125;10.4318181818182;11.3880681818182
"Diacritinae";0;0;1;0.466251611310716;97;9;9;17;0;1;1;1;0;0;0;0;1;0;NA;NA;1;0;1;0;1;1;0;NA;1;1;1;1;1
"Diplazontinae";49;80;90;0.370563372126686;2788;643;66;320;49;63;24;79;9;6;11;10;68.1428571428571;4.65016857779778;69.6139846743295;4.12614387998803;68.9583333333333;4.73478924205362;73.8333333333333;4.30673656008581;74.9522144522144;68.5365425450698;2.47078302947543;78.5301870017878;72.9510574247607;69.533527696793;70.0730662635424;76.0842361636012;77.2372277927833
"Dolichopodidae";314;356;360;0.383454432831565;43011;1529;69;388;314;204;31;370.120689655172;24;17;43;29;219.333333333333;8.28047730165925;221.758273428023;7.25032715858891;235.417291354323;12.5407981354683;246.376811594203;10.2389022200892;260.385123614663;224.595834233626;6.53907677781011;230.201282717433;246.03428988594;222.369088811995;244.501069300269;257.323339964005;271.954041664536
