"group";"known2003";"expert2007";"expert2017";"propCatch";"numSpec";"numSiteObs";"numTraps";"numSamples";"numSpSmtp";"S1";"S2";"Q1";"Q2";"chao1";"chao1.se";"ace";"ace.se";"chao2";"chao2.se";"jack1";"jack1.se";"jack2";"boot";"boot.se";"preston";"cne";"chao1p";"chao2p";"jack1p";"jack2p"
"Anomaloninae";40;45;45;0.0390828556539864;32;14;4;15;10;4;3;7;2;11.5;2.21761108245866;14.9677419354839;1.8993611281236;19.1875;9.9813302282311;15.25;3.79967103839267;18.0833333333333;12.34375;1.94830655634579;19.659451827815;40;13.34;25.33;22.7225;26.9441666666667
"Anthomyzidae";18;18;22;0.343060621851659;549;82;33;79;16;2;1;3;5;16.5;1.28584955998324;16.9043400305859;1.91260776237905;16.8727272727273;1.42849397664894;18.9090909090909;2.18181818181818;17.1770833333333;17.7883236403988;1.55977815543319;21.1865005613282;17.522150997151;16.7578125;17.080078125;19.5738636363636;17.7809651692708
"Asilidae";39;39;41;0.12914334911752;269;67;27;57;18;2;2;6;4;18.3333333333333;0.920461993014168;19.7950937950938;2.12561340152794;22.3333333333333;4.64179882117873;23.7777777777778;3.64245654907978;25.7720797720798;20.8047296685438;2.23372498932274;29.1567332698772;26.1280846484935;18.559670781893;23.3333333333333;26.4197530864198;28.6356441911997
"Asteiidae";8;8;8;0.255815055189729;151;42;28;54;5;0;0;0;1;5;0;5;0.894427190999916;5;0;5;0;4.10582010582011;5.12597123920399;0.331935610654337;13.7015169616671;5;5;5;5;4.10582010582011
"Auchenorrhyncha excl Delphacidae";325;355;358;0.0609803421551562;2029;186;11;66;101;30;16;62;22;126.588235294118;12.3341047817367;135.081698478352;6.18245943863722;180.421487603306;27.8045231064188;157.363636363636;31.4550709362307;191.890909090909;125.390317916363;17.2671810270609;169.939703863187;233.348656807637;137.756690520537;252.258431611564;216.662314746326;264.200354688934
"Bethylidae";14;22;25;0.0586242834809797;13;7;6;9;2;1;0;1;0;2;0.353553390593274;NA;NA;2;0.294627825494395;2.83333333333333;0.833333333333333;3.5;2.33489797668038;0.471954787978434;NA;2.66666666666667;2.5;2.5;3.54166666666667;4.375
"Chloropidae";149;150;200;0.039914405774284;1388;172;23;36;54;13;4;23;9;69.6;11.6407433009109;68.4688698469756;4.15825623476402;82.1111111111111;15.91687942891;76;9.58259291405628;89.1561264822134;63.6248968378458;6.11571291031967;63.2983979216291;91.5759922813937;73.6337448559671;93.6860425240055;89.7873799725651;105.330197438692
"Chrysididae";45;80;65;0.0455966649296509;41;18;11;14;9;3;0;5;2;12;4.47911821679223;10.9008;1.35237513024;14.6818181818182;6.9028829765852;13.5454545454545;2.43934688454523;16.1636363636364;11.002725232765;1.29744181377982;11.375237479029;14.9607843137255;13.3333333333333;16.1399176954733;17.7261503928171;21.1524130190797
"Coleoptera";4540;4740;4916;0.0789320418109922;4668;695;16;102;373;133;75;223;78;488.5;26.3242098121555;535.830864744443;12.5250055034901;671.852163461538;55.1897246571383;582.0625;84.2377355687461;713.4875;462.870261750146;45.8781979375549;597.538220463173;958.359309659902;550.608377836396;931.644328626443;790.109607810018;968.509960360529
"Conopidae";27;27;28;0.339850918730317;87;32;17;30;10;5;0;5;0;20;10.170422803404;21.9246031746032;2.22515123579843;19.4117647058824;9.59011059600345;14.7058823529412;3.17429119134872;19.1176470588235;11.8687171919134;1.58421800570486;115.644778070176;183.111111111111;25;25;18.3823529411765;23.8970588235294
