Taxon;Vials;Specimens;CollID
Acarthophthalmidae ;0;0;1593
Acroceridae;0;0;1593
Agromyzidae;1;20;1593
Anthomyiidae;3;141;1593
Anthomyzidae;1;1;1593
Asilidae;1;11;1593
Asteiidae;0;0;1593
Athericidae;0;0;1593
Aulacigasteridae;0;0;1593
Bombyliidae;0;0;1593
Brachystomatidae;0;0;1593
Braulidae;0;0;1593
Calliphoridae;1;12;1593
Camillidae;0;0;1593
Campichoetidae;0;0;1593
Carnidae;0;0;1593
Chamaemyiidae;1;10;1593
Chiropteromyzidae;0;0;1593
Chloropidae;1;58;1593
Chyromyidae;0;0;1593
Clusiidae;1;5;1593
Coelopidae;0;0;1593
Coenomyiidae;0;0;1593
Conopidae;1;4;1593
Diastatidae;1;1;1593
Dolichopodidae;1;143;1593
Drosophilidae;1;10;1593
Dryomyzidae;1;1;1593
Empidoidea;2;268;1593
Ephydridae;1;1;1593
Fanniidae;1;26;1593
Gasterophilidae;0;0;1593
Helcomyzidae;0;0;1593
Heleomyzidae;1;42;1593
Heterocheilidae;0;0;1593
Hippoboscidae;0;0;1593
Hypodermatidae;0;0;1593
Lauxaniidae;1;10;1593
Lonchaeidae;1;2;1593
Lonchopteridae;0;0;1593
Megamerinidae;1;1;1593
Micropezidae;1;2;1593
Milichiidae;1;5;1593
Muscidae;16;854;1593
Nycteribiidae;0;0;1593
Odiniidae;0;0;1593
Oestridae;0;0;1593
Opetiidae;0;0;1593
Opomyzidae;1;5;1593
Pallopteridae;0;0;1593
Periscelididae;0;0;1593
Phaeomyiidae;0;0;1593
Phoridae;0;0;1593
Piophilidae;1;2;1593
Pipunculidae;1;12;1593
Platypezidae;0;0;1593
Platystomatidae;0;0;1593
Pseudopomyzidae;0;0;1593
Psilidae;1;5;1593
Rhagionidae;1;6;1593
Rhinophoridae;0;0;1593
Sarcophagidae;1;17;1593
Scathophagidae;1;22;1593
Scenopinidae;0;0;1593
Sciomyzidae;1;76;1593
Sepsidae;1;18;1593
Sphaeroceridae;1;26;1593
Stenomicridae;0;0;1593
Stratiomyidae;0;0;1593
Strongylophthalmyiidae;0;0;1593
Syrphidae;13;160;1593
Tabanidae;1;5;1593
Tachinidae;1;114;1593
Tanypezidae;0;0;1593
Tephritidae;0;0;1593
Tethinidae;0;0;1593
Therevidae;0;0;1593
Trixoscelididae;0;0;1593
Ulidiidae;0;0;1593
Xylomyidae;0;0;1593
Xylophagidae;0;0;1593
Acarthophthalmidae ;0;0;1286
Acroceridae;0;0;1286
Agromyzidae;1;2;1286
Anthomyiidae;1;19;1286
Anthomyzidae;0;0;1286
Asilidae;0;0;1286
Asteiidae;0;0;1286
Athericidae;0;0;1286
Aulacigasteridae;0;0;1286
Bombyliidae;0;0;1286
Brachystomatidae;0;0;1286
Braulidae;0;0;1286
Calliphoridae;0;0;1286
Camillidae;0;0;1286
Campichoetidae;0;0;1286
Carnidae;0;0;1286
Chamaemyiidae;0;0;1286
Chiropteromyzidae;0;0;1286
Chloropidae;1;8;1286
Chyromyidae;0;0;1286
Clusiidae;1;5;1286
Coelopidae;0;0;1286
Coenomyiidae;0;0;1286
Conopidae;0;0;1286
Diastatidae;1;1;1286
Dolichopodidae;1;17;1286
Drosophilidae;1;1;1286
Dryomyzidae;0;0;1286
Empidoidea;1;209;1286
Ephydridae;0;0;1286
Fanniidae;1;2;1286
Gasterophilidae;0;0;1286
Helcomyzidae;0;0;1286
Heleomyzidae;1;2;1286
Heterocheilidae;0;0;1286
Hippoboscidae;0;0;1286
Hypodermatidae;0;0;1286
Lauxaniidae;0;0;1286
Lonchaeidae;0;0;1286
Lonchopteridae;0;0;1286
Megamerinidae;0;0;1286
Micropezidae;0;0;1286
Milichiidae;1;1;1286
Muscidae;2;288;1286
Nycteribiidae;0;0;1286
Odiniidae;0;0;1286
Oestridae;0;0;1286
Opetiidae;0;0;1286
Opomyzidae;0;0;1286
Pallopteridae;0;0;1286
Periscelididae;0;0;1286
Phaeomyiidae;0;0;1286
Phoridae;0;0;1286
Piophilidae;0;0;1286
Pipunculidae;1;6;1286
Platypezidae;0;0;1286
Platystomatidae;0;0;1286
Pseudopomyzidae;0;0;1286
Psilidae;1;1;1286
Rhagionidae;0;0;1286
Rhinophoridae;0;0;1286
Sarcophagidae;0;0;1286
Scathophagidae;1;7;1286
Scenopinidae;0;0;1286
Sciomyzidae;0;0;1286
Sepsidae;0;0;1286
Sphaeroceridae;1;4;1286
Stenomicridae;0;0;1286
Stratiomyidae;0;0;1286
Strongylophthalmyiidae;0;0;1286
Syrphidae;1;2;1286
