Taxon;Vials;Specimens;CollID
Acari;2;783;1593
Annelida;0;0;1593
Araneae;1;22;1593
Auchenorrhyncha;1;104;1593
Blattodea;1;1;1593
Brachycera (excl. Phoridae);31;2096;1593
Coleoptera;1;105;1593
Collembola;1;292;1593
Dermaptera;0;0;1593
Ephemeroptera;0;0;1593
Heteroptera;1;15;1593
Hymenoptera;23;3366;1593
Isopoda;0;0;1593
Lepidoptera;1;295;1593
Mecoptera;1;5;1593
Megaloptera;0;0;1593
Mollusca;0;0;1593
Myriapoda;0;0;1593
Nematocera;9;9979;1593
Neuroptera;1;12;1593
Odonata;1;1;1593
Opiliones;0;0;1593
Orthoptera;0;0;1593
Phoridae;8;5907;1593
Phthiraptera;0;0;1593
Plecoptera;0;0;1593
Pseudoscorpionida;0;0;1593
Psocoptera;0;0;1593
Raphidioptera;0;0;1593
Siphonaptera;0;0;1593
Sternorrhyncha;1;178;1593
Strepsiptera;1;1;1593
Thysanoptera;1;4;1593
Trichoptera;2;147;1593
Acari;1;121;1286
Annelida;0;0;1286
Araneae;1;18;1286
Auchenorrhyncha;1;214;1286
Blattodea;1;1;1286
Brachycera (excl. Phoridae);9;579;1286
Coleoptera;1;305;1286
Collembola;1;188;1286
Dermaptera;0;0;1286
Ephemeroptera;0;0;1286
Heteroptera;1;17;1286
Hymenoptera;7;1015;1286
Isopoda;0;0;1286
Lepidoptera;1;128;1286
Mecoptera;0;0;1286
Megaloptera;0;0;1286
Mollusca;0;0;1286
Myriapoda;0;0;1286
Nematocera;11;13707;1286
Neuroptera;1;5;1286
Odonata;0;0;1286
Opiliones;1;5;1286
Orthoptera;0;0;1286
Phoridae;1;573;1286
Phthiraptera;0;0;1286
Plecoptera;1;4;1286
Pseudoscorpionida;0;0;1286
Psocoptera;1;4;1286
Raphidioptera;1;3;1286
Siphonaptera;0;0;1286
Sternorrhyncha;1;6;1286
Strepsiptera;0;0;1286
Thysanoptera;1;60;1286
Trichoptera;1;2;1286
Acari;1;51;932
Annelida;0;0;932
Araneae;1;61;932
Auchenorrhyncha;1;103;932
Blattodea;0;0;932
Brachycera (excl. Phoridae);4;265;932
Coleoptera;1;54;932
Collembola;1;168;932
Dermaptera;1;5;932
Ephemeroptera;0;0;932
Heteroptera;1;34;932
Hymenoptera;3;0;932
Isopoda;0;0;932
Lepidoptera;1;14;932
Mecoptera;0;0;932
Megaloptera;0;0;932
Mollusca;0;0;932
Myriapoda;0;0;932
Nematocera;4;2687;932
Neuroptera;1;1;932
Odonata;0;0;932
Opiliones;1;12;932
Orthoptera;0;0;932
Phoridae;1;411;932
Phthiraptera;0;0;932
Plecoptera;0;0;932
Pseudoscorpionida;0;0;932
Psocoptera;1;30;932
Raphidioptera;0;0;932
Siphonaptera;0;0;932
Sternorrhyncha;1;38;932
Strepsiptera;0;0;932
Thysanoptera;1;1;932
Trichoptera;1;3;932
Acari;1;14;2112
Annelida;0;0;2112
Araneae;1;16;2112
Auchenorrhyncha;1;51;2112
Blattodea;0;0;2112
Brachycera (excl. Phoridae);2;172;2112
Coleoptera;1;10;2112
Collembola;1;172;2112
Dermaptera;1;8;2112
Ephemeroptera;0;0;2112
Heteroptera;1;1;2112
Hymenoptera;4;2448;2112
Isopoda;0;0;2112
Lepidoptera;0;0;2112
Mecoptera;0;0;2112
Megaloptera;0;0;2112
Mollusca;0;0;2112
Myriapoda;0;0;2112
Nematocera;8;2780;2112
Neuroptera;1;1;2112
Odonata;0;0;2112
Opiliones;1;3;2112
Orthoptera;1;1;2112
Phoridae;1;438;2112
Phthiraptera;0;0;2112
Plecoptera;0;0;2112
Pseudoscorpionida;0;0;2112
Psocoptera;1;7;2112
Raphidioptera;0;0;2112
Siphonaptera;0;0;2112
Sternorrhyncha;1;20;2112
Strepsiptera;0;0;2112
Thysanoptera;1;1;2112
Trichoptera;0;0;2112
Acari;1;223;1081
Annelida;0;0;1081
Araneae;1;17;1081
Auchenorrhyncha;1;21;1081
Blattodea;0;0;1081
Brachycera (excl. Phoridae);7;264;1081
Coleoptera;3;110;1081
Collembola;1;272;1081
Dermaptera;0;0;1081
Ephemeroptera;0;0;1081
Heteroptera;1;7;1081
Hymenoptera;14;801;1081
Isopoda;1;6;1081
Lepidoptera;1;130;1081
Mecoptera;0;0;1081
