Event ID,Taxon,Number of vials,Deaccessioned
Event ID 1308,Acaenitinae,1,NULL
Event ID 1346,Acaenitinae,1,NULL
Event ID 1610,Acaenitinae,1,NULL
Event ID 1673,Acaenitinae,1,NULL
Event ID 1725,Acaenitinae,2,NULL
Event ID 1728,Acaenitinae,4,NULL
Event ID 3055,Acaenitinae,1,NULL
Event ID 378,Acaenitinae,1,NULL
Event ID 396,Acaenitinae,1,NULL
Event ID 831,Acaenitinae,1,NULL
Event ID 834,Acaenitinae,1,NULL
Event ID 909,Acaenitinae,1,NULL
Event ID 961,Acaenitinae,1,NULL
Event ID 101,Acari,2,NULL
Event ID 1010,Acari,1,NULL
Event ID 1011,Acari,1,NULL
Event ID 1012,Acari,1,NULL
Event ID 1013,Acari,1,NULL
Event ID 102,Acari,1,NULL
Event ID 1020,Acari,1,NULL
Event ID 1021,Acari,1,NULL
Event ID 1024,Acari,1,NULL
Event ID 1025,Acari,1,NULL
Event ID 1026,Acari,1,NULL
Event ID 1029,Acari,1,NULL
Event ID 1030,Acari,1,NULL
Event ID 1031,Acari,1,NULL
Event ID 1032,Acari,2,NULL
Event ID 1033,Acari,1,NULL
Event ID 1034,Acari,2,NULL
Event ID 1035,Acari,3,1
Event ID 1035,Acari,1,NULL
Event ID 1036,Acari,1,1
Event ID 1036,Acari,2,NULL
Event ID 1037,Acari,2,1
Event ID 1037,Acari,1,NULL
Event ID 1040,Acari,1,1
Event ID 1041,Acari,1,NULL
Event ID 1042,Acari,1,NULL
Event ID 1043,Acari,1,NULL
Event ID 1044,Acari,1,NULL
Event ID 1045,Acari,1,NULL
Event ID 1049,Acari,1,NULL
Event ID 105,Acari,1,NULL
Event ID 1051,Acari,1,NULL
Event ID 1054,Acari,1,NULL
Event ID 1055,Acari,1,NULL
Event ID 1056,Acari,2,NULL
Event ID 1057,Acari,1,NULL
Event ID 1058,Acari,1,NULL
Event ID 1059,Acari,3,NULL
Event ID 1060,Acari,3,NULL
Event ID 1062,Acari,1,NULL
Event ID 1064,Acari,2,NULL
Event ID 1065,Acari,1,NULL
Event ID 1066,Acari,1,NULL
Event ID 1067,Acari,1,NULL
Event ID 1068,Acari,1,1
Event ID 1069,Acari,2,1
Event ID 1070,Acari,2,NULL
Event ID 1071,Acari,1,1
Event ID 1072,Acari,1,NULL
Event ID 1073,Acari,1,NULL
Event ID 1074,Acari,1,NULL
Event ID 1075,Acari,1,NULL
Event ID 1078,Acari,1,NULL
Event ID 1079,Acari,3,NULL
Event ID 1080,Acari,1,NULL
Event ID 1081,Acari,1,NULL
Event ID 1082,Acari,1,NULL
Event ID 1084,Acari,1,NULL
Event ID 1087,Acari,1,NULL
Event ID 1088,Acari,1,NULL
Event ID 1091,Acari,1,NULL
Event ID 1093,Acari,1,NULL
Event ID 1095,Acari,1,1
Event ID 1095,Acari,1,NULL
Event ID 1096,Acari,4,NULL
Event ID 1097,Acari,1,NULL
Event ID 1098,Acari,2,NULL
Event ID 1100,Acari,10,NULL
Event ID 1101,Acari,1,NULL
Event ID 1102,Acari,1,NULL
Event ID 1103,Acari,2,NULL
Event ID 1104,Acari,1,NULL
Event ID 1105,Acari,1,NULL
Event ID 1106,Acari,4,NULL
Event ID 1107,Acari,1,1
Event ID 1107,Acari,1,NULL
Event ID 1108,Acari,1,NULL
Event ID 1109,Acari,1,NULL
Event ID 1112,Acari,1,1
Event ID 1113,Acari,2,NULL
Event ID 1115,Acari,5,NULL
Event ID 1116,Acari,1,NULL
Event ID 1117,Acari,1,NULL
Event ID 1119,Acari,1,NULL
Event ID 1120,Acari,2,NULL
Event ID 1121,Acari,2,NULL
Event ID 1123,Acari,1,1
Event ID 1129,Acari,1,NULL
Event ID 1130,Acari,1,NULL
Event ID 1131,Acari,1,NULL
Event ID 1133,Acari,1,NULL
